k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.25000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.12500000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.06250000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.03125000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.01562500|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00781250|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00390625|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00195312|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00097656|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00048828|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      12|[-3.5001147080619157, 0.9999073805299767, -0.0001598995692408, -0.0004063636672087, 1.699874485841778, -5.09238442315e-05, -5.03655036782e-05, 7.14090004749e-05]|1562.7639713878859311|      0.00097656|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      13|[-3.5001147080619157, 0.9999073805299767, -0.0001598995692408, -0.0004063636672087, 1.699874485841778, -5.09238442315e-05, -5.03655036782e-05, 7.14090004749e-05]|1562.7639713878859311|      0.00048828|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[-3.5001147080619157, 0.9999073805299767, -0.0001598995692408, -0.0004063636672087, 1.699874485841778, -5.09238442315e-05, -5.03655036782e-05, 7.14090004749e-05]|1562.7639713878859311|      0.00024414|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      15|[-3.5001147080619157, 0.9999073805299767, -0.0001598995692408, -0.0004063636672087, 1.699874485841778, -5.09238442315e-05, -5.03655036782e-05, 7.14090004749e-05]|1562.7639713878859311|      0.00012207|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      16|[-3.5001147080619157, 0.9999073805299767, -0.0001598995692408, -0.0004063636672087, 1.699874485841778, -5.09238442315e-05, -5.03655036782e-05, 7.14090004749e-05]|1562.7639713878859311|      0.00006104|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      17|[-3.5001147080619157, 0.9999073805299767, -0.0001598995692408, -0.0004063636672087, 1.699874485841778, -5.09238442315e-05, -5.03655036782e-05, 7.14090004749e-05]|1562.7639713878859311|      0.00003052|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      18|[-3.5001181416029086, 0.9999143079632571, -0.0001714088481759, -0.0004204868536303, 1.6998655746849014, -5.87854002221e-05, -4.80562143306e-05, 5.1582993667e-05]|1429.3844290382946838|      0.00006104|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      19|[-3.5001181416029086, 0.9999143079632571, -0.0001714088481759, -0.0004204868536303, 1.6998655746849014, -5.87854002221e-05, -4.80562143306e-05, 5.1582993667e-05]|1429.3844290382946838|      0.00003052|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      20|[-3.5001181416029086, 0.9999143079632571, -0.0001714088481759, -0.0004204868536303, 1.6998655746849014, -5.87854002221e-05, -4.80562143306e-05, 5.1582993667e-05]|1429.3844290382946838|      0.00001526|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      21|[-3.5001212119153906, 0.9999181028293802, -0.0001767663822289, -0.0004179987977078, 1.699871544835184, -6.30493139462e-05, -5.082884612e-05, 6.21942179573e-05]|1358.1262177065568721|      0.00003052|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      22|[-3.5001212119153906, 0.9999181028293802, -0.0001767663822289, -0.0004179987977078, 1.699871544835184, -6.30493139462e-05, -5.082884612e-05, 6.21942179573e-05]|1358.1262177065568721|      0.00001526|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      23|[-3.5001212119153906, 0.9999181028293802, -0.0001767663822289, -0.0004179987977078, 1.699871544835184, -6.30493139462e-05, -5.082884612e-05, 6.21942179573e-05]|1358.1262177065568721|      0.00000763|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      24|[-3.500121229299683, 0.9999182837128866, -0.0001769400373283, -0.0004187796607409, 1.6998714683847311, -6.31434655719e-05, -5.08516025511e-05, 5.46100561954e-05]|1293.8925566167438319|      0.00001526|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      25|[-3.500121229299683, 0.9999182837128866, -0.0001769400373283, -0.0004187796607409, 1.6998714683847311, -6.31434655719e-05, -5.08516025511e-05, 5.46100561954e-05]|1293.8925566167438319|      0.00000763|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      26|[-3.500121229299683, 0.9999182837128866, -0.0001769400373283, -0.0004187796607409, 1.6998714683847311, -6.31434655719e-05, -5.08516025511e-05, 5.46100561954e-05]|1293.8925566167438319|      0.00000381|[442, 0, 26, 52]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      27|[-3.5001214452321547, 0.99991851337181, -0.000177186057832, -0.0004190977979507, 1.699871576553251, -6.35182350182e-05, -5.07117326894e-05, 5.83675941736e-05]|1236.5661272341149015|      0.00000763|[459, 0, 27, 54]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      28|[-3.5001214452321547, 0.99991851337181, -0.000177186057832, -0.0004190977979507, 1.699871576553251, -6.35182350182e-05, -5.07117326894e-05, 5.83675941736e-05]|1236.5661272341149015|      0.00000381|[476, 0, 28, 56]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      29|[-3.5001214452321547, 0.99991851337181, -0.000177186057832, -0.0004190977979507, 1.699871576553251, -6.35182350182e-05, -5.07117326894e-05, 5.83675941736e-05]|1236.5661272341149015|      0.00000191|[493, 0, 29, 58]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
