k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[19.063998364248466, 1.9038736134558296, 1.7078923960925518, 2.126724009790346, 0.3152164431082639]|8393.0185546875000000|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[20.217482820414578, 2.8828645816999954, 1.3555619890804884, 3.3472268300369965, 0.6271241915599601]|3663.3557128906250000|      4.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[20.217482820414578, 2.8828645816999954, 1.3555619890804884, 3.3472268300369965, 0.6271241915599601]|3663.3557128906250000|      2.00000000|[21, 0, 0, 7]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[20.217482820414578, 2.8828645816999954, 1.3555619890804884, 3.3472268300369965, 0.6271241915599601]|3663.3557128906250000|      1.00000000|[29, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[20.217482820414578, 2.8828645816999954, 1.3555619890804884, 3.3472268300369965, 0.6271241915599601]|3663.3557128906250000|      0.50000000|[37, 0, 0, 13]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[20.217482820414578, 2.8828645816999954, 1.3555619890804884, 3.3472268300369965, 0.6271241915599601]|3663.3557128906250000|      0.25000000|[45, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[20.086496457039804, 2.817638017624905, 1.4305797271593566, 3.3035339699207813, 0.4439539404349341]|3327.9162597656250000|      0.50000000|[51, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[20.086496457039804, 2.817638017624905, 1.4305797271593566, 3.3035339699207813, 0.4439539404349341]|3327.9162597656250000|      0.25000000|[59, 0, 0, 21]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[20.26139223279059, 2.8700330940709513, 1.3113817045589888, 3.2645251492922656, 0.5598692841564501]|3041.1992187500000000|      0.50000000|[65, 0, 0, 23]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[20.26139223279059, 2.8700330940709513, 1.3113817045589888, 3.2645251492922656, 0.5598692841564501]|3041.1992187500000000|      0.25000000|[73, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
