k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.50000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=0
       2|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.25000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.12500000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.06250000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.03125000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.01562500|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00781250|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[0.4969986060139626, 1.502054554639917, -1.0002475200302396, 0.0167822015133136, 0.0186786097890442]|  0.2879471851581823|      0.01562500|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[0.4969986060139626, 1.502054554639917, -1.0002475200302396, 0.0167822015133136, 0.0186786097890442]|  0.2879471851581823|      0.00781250|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[0.4977604192000416, 1.4975501720970223, -0.9951039672167317, 0.0130884243250308, 0.0189339710326905]|  0.1847843667954037|      0.01562500|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[0.4977604192000416, 1.4975501720970223, -0.9951039672167317, 0.0130884243250308, 0.0189339710326905]|  0.1847843667954037|      0.00781250|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[0.4977604192000416, 1.4975501720970223, -0.9951039672167317, 0.0130884243250308, 0.0189339710326905]|  0.1847843667954037|      0.00390625|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[0.4977604192000416, 1.4975501720970223, -0.9951039672167317, 0.0130884243250308, 0.0189339710326905]|  0.1847843667954037|      0.00195312|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[0.4978465328870407, 1.4970673184936556, -0.9945523716183448, 0.0148939246725431, 0.0190341952175223]|  0.1668421721853749|      0.00390625|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      15|[0.4978465328870407, 1.4970673184936556, -0.9945523716183448, 0.0148939246725431, 0.0190341952175223]|  0.1668421721853749|      0.00195312|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      16|[0.4978465328870407, 1.4970673184936556, -0.9945523716183448, 0.0148939246725431, 0.0190341952175223]|  0.1668421721853749|      0.00097656|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[0.4976874369269211, 1.496741812693987, -0.9946958891237578, 0.0140477794092075, 0.019327196386866]|  0.1554438897386355|      0.00195312|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
