k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.033513014086395, 149.90370910093282, -100.11326111994981, 100.08310195410589, 200.192085795279]|84592.7347889489028603|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[47.34777203876918, 150.10429551537203, -100.07120940803632, 101.137825135847, 200.25399797422668]|79180.1166504777938826|      4.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[43.63210566969486, 148.95820020334264, -100.66266678170521, 101.38429745133621, 199.56863781904957]|67487.7173644235735992|      8.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       4|[35.9386243459065, 148.83779690521087, -100.68619607456736, 103.57070238522246, 199.69081802928804]|46838.9443438000598690|     16.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       5|[19.9744562819346, 148.13946504313608, -100.71975253083585, 103.64588280346604, 200.49759712211727]|16412.1006946892739506|     32.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[-11.747351499960992, 146.38403773587396, -104.52758054705414, 104.02741536320565, 200.51386740632518]|5755.1745507294035633|     64.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       7|[-11.747351499960992, 146.38403773587396, -104.52758054705414, 104.02741536320565, 200.51386740632518]|5755.1745507294035633|     32.00000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[-11.747351499960992, 146.38403773587396, -104.52758054705414, 104.02741536320565, 200.51386740632518]|5755.1745507294035633|     16.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[4.089195092012121, 144.88060676297476, -105.69008060893624, 102.88843135844492, 201.05681896311037]|2186.1356620166443463|     32.00000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
      10|[4.089195092012121, 144.88060676297476, -105.69008060893624, 102.88843135844492, 201.05681896311037]|2186.1356620166443463|     16.00000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[4.089195092012121, 144.88060676297476, -105.69008060893624, 102.88843135844492, 201.05681896311037]|2186.1356620166443463|      8.00000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[-0.0576187218078825, 144.49661603606992, -111.36102076429404, 106.25184094274812, 199.272330230243]|1055.0026605869193190|     16.00000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      13|[-3.893729838256477, 133.50771864374295, -122.32837302856682, 105.90675359277385, 199.62797701485871]|695.7296486172003824|     32.00000000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      14|[-3.893729838256477, 133.50771864374295, -122.32837302856682, 105.90675359277385, 199.62797701485871]|695.7296486172003824|     16.00000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      15|[-3.893729838256477, 133.50771864374295, -122.32837302856682, 105.90675359277385, 199.62797701485871]|695.7296486172003824|      8.00000000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      16|[1.3882660118904466, 134.43773895369367, -120.97978740049601, 106.61270634785363, 193.89050984079438]|215.8548080426114097|     16.00000000|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      17|[1.3882660118904466, 134.43773895369367, -120.97978740049601, 106.61270634785363, 193.89050984079438]|215.8548080426114097|      8.00000000|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
