k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.50000000|[71, 10, 1, 6]                                                             |  | used linear model with 81 points | iterate failure | actual_k=2
       2|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.25000000|[142, 20, 2, 12]                                                           |  | used linear model with 81 points | iterate failure | actual_k=2
       3|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.12500000|[213, 30, 3, 18]                                                           |  | used linear model with 81 points | iterate failure | actual_k=2
       4|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.06250000|[284, 40, 4, 24]                                                           |  | used linear model with 81 points | iterate failure | actual_k=2
       5|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.03125000|[355, 50, 5, 30]                                                           |  | used linear model with 81 points | iterate failure | actual_k=2
       6|[1.0215345489932186, 0.0238594377023093, 0.0072609376881794, 0.0190581705396042, 0.4248987927925761, 0.0197801247767612, 0.7996604573245165, 0.0178157309640584, 0.2192985570394526, 0.0233514901920913, 2.693427964468008, 0.0217403729731526, 0.8045787133343608, 0.0273149434044158, 2.2684263925531702, 0.0228335860931395, 14.35290894900533, 0.0364358884174181, 12.157139760088816, 0.031828636458693, 0.2721385731165335, 0.0173169616644175, 0.2434713646910904, 0.0159039872890496, 1.1620914241454714, 0.0234046795436599, 0.1805936563636737, 0.0196973435242419, 0.1164984608786393, 0.0189686055761535, 3.7470636353963043, 0.0155656865506248, 0.8345984981080633, 0.0185346361942352, 0.1575444919860351, 0.0183946287853672, 0.3849247916618895, 0.0139092408818834, 0.9223316865942569, 0.0178285461623471, 0.2585850763597123, 0.0190777855369912, 2.0679181538180744, 0.0201593387486778, 1.9442023182473354, 0.025726201224891, 1.483776901382971, 0.0197514637675837, 0.4782042250011717, 0.0165861233441104, 0.4945351837006672, 0.0189081497289447, 0.3330972863260436, 0.0182378952875492, 0.839957911112338, 0.0158875777522953, 0.4590175397171489, 0.0143434203609199, 0.4901111889028951, 0.0215871542741241, 0.9848030461099243, 0.0157207524123983, -0.0244770586078692, 0.0192334603678964, 0.2638667868608131, 0.0253068059504234]|2458048.0675036110915244|      0.06250000|[426, 60, 6, 36]                                                           |  | used linear model with 81 points | iterate success | actual_k=2
       7|[1.0215345489932186, 0.0238594377023093, 0.0072609376881794, 0.0190581705396042, 0.4248987927925761, 0.0197801247767612, 0.7996604573245165, 0.0178157309640584, 0.2192985570394526, 0.0233514901920913, 2.693427964468008, 0.0217403729731526, 0.8045787133343608, 0.0273149434044158, 2.2684263925531702, 0.0228335860931395, 14.35290894900533, 0.0364358884174181, 12.157139760088816, 0.031828636458693, 0.2721385731165335, 0.0173169616644175, 0.2434713646910904, 0.0159039872890496, 1.1620914241454714, 0.0234046795436599, 0.1805936563636737, 0.0196973435242419, 0.1164984608786393, 0.0189686055761535, 3.7470636353963043, 0.0155656865506248, 0.8345984981080633, 0.0185346361942352, 0.1575444919860351, 0.0183946287853672, 0.3849247916618895, 0.0139092408818834, 0.9223316865942569, 0.0178285461623471, 0.2585850763597123, 0.0190777855369912, 2.0679181538180744, 0.0201593387486778, 1.9442023182473354, 0.025726201224891, 1.483776901382971, 0.0197514637675837, 0.4782042250011717, 0.0165861233441104, 0.4945351837006672, 0.0189081497289447, 0.3330972863260436, 0.0182378952875492, 0.839957911112338, 0.0158875777522953, 0.4590175397171489, 0.0143434203609199, 0.4901111889028951, 0.0215871542741241, 0.9848030461099243, 0.0157207524123983, -0.0244770586078692, 0.0192334603678964, 0.2638667868608131, 0.0253068059504234]|2458048.0675036110915244|      0.03125000|[497, 70, 7, 42]                                                           |  | used linear model with 81 points | iterate failure | actual_k=2
       8|[1.021191390030735, 0.0231005111743933, 0.0071099301427465, 0.0195360727575346, 0.4284413910555833, 0.016376932554357, 0.8010126232990289, 0.018539895260556, 0.2226479822417391, 0.0197596848161742, 2.6969800005165956, 0.0233747568541507, 0.8010698335629219, 0.0256407328821261, 2.265386882509128, 0.0248790176139466, 14.353104757596634, 0.0440841082100167, 12.155068700077889, 0.0390098794380857, 0.2767958092813111, 0.0253321841213254, 0.2406923616476395, 0.0152291809988206, 1.1577374718765017, 0.0200085227511336, 0.18139461108472, 0.019447652646164, 0.115341860689705, 0.0218320982570925, 3.751755163519663, 0.0219111781490555, 0.8357349357344226, 0.0179363463532255, 0.1500796589702049, 0.0152324727562185, 0.3861347485701005, 0.0186570895723728, 0.9242776631359759, 0.0148471393009169, 0.2600787908875273, 0.0207195992081749, 2.0682701021551773, 0.0229986905795299, 1.946979144649693, 0.027314480873132, 1.4919335304849959, 0.027017547206175, 0.4780725769820483, 0.015851652662227, 0.5013217154316015, 0.0140437896898505, 0.3373807696325526, 0.0133655794924762, 0.8372621756193827, 0.0181226106260344, 0.4594715261096937, 0.0120313307344176, 0.4842838855473672, 0.0218518150343526, 0.9861851463906685, 0.0115821981819474, -0.0165664231254422, 0.0274489399756579, 0.2611456786965477, 0.0238139563029498]|2156361.1290818932466209|      0.06250000|[568, 80, 8, 48]                                                           |  | used linear model with 81 points | iterate success | actual_k=2
       9|[1.021191390030735, 0.0231005111743933, 0.0071099301427465, 0.0195360727575346, 0.4284413910555833, 0.016376932554357, 0.8010126232990289, 0.018539895260556, 0.2226479822417391, 0.0197596848161742, 2.6969800005165956, 0.0233747568541507, 0.8010698335629219, 0.0256407328821261, 2.265386882509128, 0.0248790176139466, 14.353104757596634, 0.0440841082100167, 12.155068700077889, 0.0390098794380857, 0.2767958092813111, 0.0253321841213254, 0.2406923616476395, 0.0152291809988206, 1.1577374718765017, 0.0200085227511336, 0.18139461108472, 0.019447652646164, 0.115341860689705, 0.0218320982570925, 3.751755163519663, 0.0219111781490555, 0.8357349357344226, 0.0179363463532255, 0.1500796589702049, 0.0152324727562185, 0.3861347485701005, 0.0186570895723728, 0.9242776631359759, 0.0148471393009169, 0.2600787908875273, 0.0207195992081749, 2.0682701021551773, 0.0229986905795299, 1.946979144649693, 0.027314480873132, 1.4919335304849959, 0.027017547206175, 0.4780725769820483, 0.015851652662227, 0.5013217154316015, 0.0140437896898505, 0.3373807696325526, 0.0133655794924762, 0.8372621756193827, 0.0181226106260344, 0.4594715261096937, 0.0120313307344176, 0.4842838855473672, 0.0218518150343526, 0.9861851463906685, 0.0115821981819474, -0.0165664231254422, 0.0274489399756579, 0.2611456786965477, 0.0238139563029498]|2156361.1290818932466209|      0.03125000|[639, 90, 9, 54]                                                           |  | used linear model with 81 points | iterate failure | actual_k=2
      10|[1.021191390030735, 0.0231005111743933, 0.0071099301427465, 0.0195360727575346, 0.4284413910555833, 0.016376932554357, 0.8010126232990289, 0.018539895260556, 0.2226479822417391, 0.0197596848161742, 2.6969800005165956, 0.0233747568541507, 0.8010698335629219, 0.0256407328821261, 2.265386882509128, 0.0248790176139466, 14.353104757596634, 0.0440841082100167, 12.155068700077889, 0.0390098794380857, 0.2767958092813111, 0.0253321841213254, 0.2406923616476395, 0.0152291809988206, 1.1577374718765017, 0.0200085227511336, 0.18139461108472, 0.019447652646164, 0.115341860689705, 0.0218320982570925, 3.751755163519663, 0.0219111781490555, 0.8357349357344226, 0.0179363463532255, 0.1500796589702049, 0.0152324727562185, 0.3861347485701005, 0.0186570895723728, 0.9242776631359759, 0.0148471393009169, 0.2600787908875273, 0.0207195992081749, 2.0682701021551773, 0.0229986905795299, 1.946979144649693, 0.027314480873132, 1.4919335304849959, 0.027017547206175, 0.4780725769820483, 0.015851652662227, 0.5013217154316015, 0.0140437896898505, 0.3373807696325526, 0.0133655794924762, 0.8372621756193827, 0.0181226106260344, 0.4594715261096937, 0.0120313307344176, 0.4842838855473672, 0.0218518150343526, 0.9861851463906685, 0.0115821981819474, -0.0165664231254422, 0.0274489399756579, 0.2611456786965477, 0.0238139563029498]|2156361.1290818932466209|      0.01562500|[710, 100, 10, 60]                                                         |  | used linear model with 81 points | iterate failure | actual_k=2
      11|[1.0195928001620762, 0.0225048937529571, 0.0079934512637782, 0.0186779669639903, 0.4276826669003847, 0.0175075985382777, 0.8020510565311681, 0.0186666214398776, 0.2200760723559228, 0.0226775329667632, 2.697398696014547, 0.0231724414284716, 0.8016289809746805, 0.0262067141125325, 2.265181368187284, 0.0237579786289887, 14.354271922334108, 0.0515194405911332, 12.155617393531623, 0.0481760835097984, 0.2779655649081906, 0.0244998235931929, 0.2400070284805638, 0.0156928357651797, 1.1595287318635266, 0.0202756345986971, 0.1809906351129909, 0.0198192060451753, 0.1141766915200184, 0.0214818180370619, 3.752019279047285, 0.0260711030689644, 0.8367796688552651, 0.0171181269985536, 0.1480924895849797, 0.0153500148413428, 0.3859792071941044, 0.0218947298799536, 0.9247544399799871, 0.0153589496834383, 0.2614901005801442, 0.0217426308033598, 2.0692094410495088, 0.0236602470065612, 1.9475697632168745, 0.0296265826115771, 1.4918338684861463, 0.027923537984422, 0.4789157453948921, 0.0161030324599268, 0.5022692069043179, 0.0120062262343674, 0.3383358942347126, 0.0151524697797407, 0.8359806545304919, 0.018028489088319, 0.4607120050992266, 0.0109633760274866, 0.4831500254842359, 0.0215609727139107, 0.9872569256008896, 0.0118461839497517, -0.0177755646272289, 0.0259841694542347, 0.2588510317767663, 0.0236902268703311]|1962097.5006162903737277|      0.03125000|[781, 110, 11, 66]                                                         |  | used linear model with 81 points | iterate success | actual_k=2
