k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.604676431323778, 0.0529365622417117, 0.1347814169702204, 0.7824561069744159, -0.0059129934723499, -0.0030159484175869, -0.006471044846659, 0.0186285606021446, -0.0106775168569688, -0.00741379045702, 0.002584014274531, -0.0101855682009262, -0.0137255388373862, -0.0083292552302103, 0.0026641257572305, 0.0060974768703266, 0.0079779985347532, 0.0016265878834774, 0.0026406750725266, 0.0055152106318252, -0.0025426469221202, 0.0059997208459038]| 13.1520252227783203|      2.00000000|[96, 32, 0, 2]                                                             |  | trying linear partial model with 49 points | iterate success | actual_k=16
       2|[1.8260239373172364, 0.1023387725974795, 0.3875932431169092, 2.330583458725177, -0.0784260300643547, 0.0242096666707089, 0.0099972427725317, 0.0117191380448196, 0.0083401649670579, -0.0434842519870951, 0.0237604479834964, -0.0183941089891395, 0.0044527599355399, -0.0345116563252004, 0.0689338931637366, -0.1300511794858756, 0.0266709686272527, -0.01027733327783, 0.0044208920702084, -0.0768900086017566, 0.0066465882066992, 0.0798049659778037]| 12.2748765945434570|      4.00000000|[189, 64, 0, 4]                                                            |  | trying linear partial model with 49 points | iterate success | actual_k=16
       3|[1.8260239373172364, 0.1023387725974795, 0.3875932431169092, 2.330583458725177, -0.0784260300643547, 0.0242096666707089, 0.0099972427725317, 0.0117191380448196, 0.0083401649670579, -0.0434842519870951, 0.0237604479834964, -0.0183941089891395, 0.0044527599355399, -0.0345116563252004, 0.0689338931637366, -0.1300511794858756, 0.0266709686272527, -0.01027733327783, 0.0044208920702084, -0.0768900086017566, 0.0066465882066992, 0.0798049659778037]| 12.2748765945434570|      2.00000000|[282, 96, 0, 6]                                                            |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       4|[1.8260239373172364, 0.1023387725974795, 0.3875932431169092, 2.330583458725177, -0.0784260300643547, 0.0242096666707089, 0.0099972427725317, 0.0117191380448196, 0.0083401649670579, -0.0434842519870951, 0.0237604479834964, -0.0183941089891395, 0.0044527599355399, -0.0345116563252004, 0.0689338931637366, -0.1300511794858756, 0.0266709686272527, -0.01027733327783, 0.0044208920702084, -0.0768900086017566, 0.0066465882066992, 0.0798049659778037]| 12.2748765945434570|      1.00000000|[378, 128, 0, 8]                                                           |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       5|[1.8260239373172364, 0.1023387725974795, 0.3875932431169092, 2.330583458725177, -0.0784260300643547, 0.0242096666707089, 0.0099972427725317, 0.0117191380448196, 0.0083401649670579, -0.0434842519870951, 0.0237604479834964, -0.0183941089891395, 0.0044527599355399, -0.0345116563252004, 0.0689338931637366, -0.1300511794858756, 0.0266709686272527, -0.01027733327783, 0.0044208920702084, -0.0768900086017566, 0.0066465882066992, 0.0798049659778037]| 12.2748765945434570|      0.50000000|[473, 160, 0, 10]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       6|[1.5180609765505044, 0.075637815074735, 0.3165403112703249, 1.944665525488675, -0.0880202365352643, 0.0238987514260777, 0.0202525776832046, 0.0132098525316528, 0.0073240247443607, -0.0415021911339342, 0.0292872672521451, -0.011383110859795, 0.0066929458941253, -0.042612245359848, 0.0680800070636364, -0.1311587335623585, 0.0266423055329007, -0.0168728259459555, 0.0093688560540074, -0.0815760993677889, 0.0108366217926975, 0.080444910812592]| 12.1449098587036133|      1.00000000|[568, 192, 0, 12]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
       7|[1.5180609765505044, 0.075637815074735, 0.3165403112703249, 1.944665525488675, -0.0880202365352643, 0.0238987514260777, 0.0202525776832046, 0.0132098525316528, 0.0073240247443607, -0.0415021911339342, 0.0292872672521451, -0.011383110859795, 0.0066929458941253, -0.042612245359848, 0.0680800070636364, -0.1311587335623585, 0.0266423055329007, -0.0168728259459555, 0.0093688560540074, -0.0815760993677889, 0.0108366217926975, 0.080444910812592]| 12.1449098587036133|      0.50000000|[663, 224, 0, 14]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       8|[1.5180609765505044, 0.075637815074735, 0.3165403112703249, 1.944665525488675, -0.0880202365352643, 0.0238987514260777, 0.0202525776832046, 0.0132098525316528, 0.0073240247443607, -0.0415021911339342, 0.0292872672521451, -0.011383110859795, 0.0066929458941253, -0.042612245359848, 0.0680800070636364, -0.1311587335623585, 0.0266423055329007, -0.0168728259459555, 0.0093688560540074, -0.0815760993677889, 0.0108366217926975, 0.080444910812592]| 12.1449098587036133|      0.25000000|[756, 256, 0, 16]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       9|[1.5180609765505044, 0.075637815074735, 0.3165403112703249, 1.944665525488675, -0.0880202365352643, 0.0238987514260777, 0.0202525776832046, 0.0132098525316528, 0.0073240247443607, -0.0415021911339342, 0.0292872672521451, -0.011383110859795, 0.0066929458941253, -0.042612245359848, 0.0680800070636364, -0.1311587335623585, 0.0266423055329007, -0.0168728259459555, 0.0093688560540074, -0.0815760993677889, 0.0108366217926975, 0.080444910812592]| 12.1449098587036133|      0.12500000|[850, 288, 0, 18]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      10|[1.5180609765505044, 0.075637815074735, 0.3165403112703249, 1.944665525488675, -0.0880202365352643, 0.0238987514260777, 0.0202525776832046, 0.0132098525316528, 0.0073240247443607, -0.0415021911339342, 0.0292872672521451, -0.011383110859795, 0.0066929458941253, -0.042612245359848, 0.0680800070636364, -0.1311587335623585, 0.0266423055329007, -0.0168728259459555, 0.0093688560540074, -0.0815760993677889, 0.0108366217926975, 0.080444910812592]| 12.1449098587036133|      0.06250000|[944, 320, 0, 20]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      11|[1.5180609765505044, 0.075637815074735, 0.3165403112703249, 1.944665525488675, -0.0880202365352643, 0.0238987514260777, 0.0202525776832046, 0.0132098525316528, 0.0073240247443607, -0.0415021911339342, 0.0292872672521451, -0.011383110859795, 0.0066929458941253, -0.042612245359848, 0.0680800070636364, -0.1311587335623585, 0.0266423055329007, -0.0168728259459555, 0.0093688560540074, -0.0815760993677889, 0.0108366217926975, 0.080444910812592]| 12.1449098587036133|      0.03125000|[1038, 352, 0, 22]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
