k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.50000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.25000000|[49, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.12500000|[73, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[999.9852014659787, 1000.0059065325242, 399.98381030988634, 39.98689196192747, 0.6770867569514798, 0.2827965549033179, -0.0888116757986285]|1705157.6250000000000000|      0.25000000|[97, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       5|[999.9852014659787, 1000.0059065325242, 399.98381030988634, 39.98689196192747, 0.6770867569514798, 0.2827965549033179, -0.0888116757986285]|1705157.6250000000000000|      0.12500000|[121, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[999.9852014659787, 1000.0059065325242, 399.98381030988634, 39.98689196192747, 0.6770867569514798, 0.2827965549033179, -0.0888116757986285]|1705157.6250000000000000|      0.06250000|[145, 48, 0, 12]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[999.9694022887059, 1000.0106193638156, 399.9795489621768, 39.985929687464406, 0.7187973674460952, 0.2930870036900637, -0.0467442085797363]|1311969.0000000000000000|      0.12500000|[169, 56, 0, 14]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       8|[999.9694022887059, 1000.0106193638156, 399.9795489621768, 39.985929687464406, 0.7187973674460952, 0.2930870036900637, -0.0467442085797363]|1311969.0000000000000000|      0.06250000|[193, 64, 0, 16]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[999.9694022887059, 1000.0106193638156, 399.9795489621768, 39.985929687464406, 0.7187973674460952, 0.2930870036900637, -0.0467442085797363]|1311969.0000000000000000|      0.03125000|[217, 72, 1, 19]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[999.9711448379184, 1000.0070111547286, 399.9759278077385, 39.97999869076445, 0.7330759758655963, 0.2688147849181761, -0.0576619970736448]|1262964.9083520856220275|      0.06250000|[242, 80, 2, 22]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      11|[999.9711448379184, 1000.0070111547286, 399.9759278077385, 39.97999869076445, 0.7330759758655963, 0.2688147849181761, -0.0576619970736448]|1262964.9083520856220275|      0.03125000|[267, 88, 2, 24]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      12|[999.9711448379184, 1000.0070111547286, 399.9759278077385, 39.97999869076445, 0.7330759758655963, 0.2688147849181761, -0.0576619970736448]|1262964.9083520856220275|      0.01562500|[291, 96, 2, 26]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      13|[999.9686648437332, 1000.0048799468863, 399.9765445360397, 39.98027720000225, 0.7477390831309031, 0.2701276228140461, -0.0536296245999196]|1232987.5000000000000000|      0.03125000|[315, 104, 2, 28]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      14|[999.9686648437332, 1000.0048799468863, 399.9765445360397, 39.98027720000225, 0.7477390831309031, 0.2701276228140461, -0.0536296245999196]|1232987.5000000000000000|      0.01562500|[339, 112, 2, 30]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      15|[999.9699696471537, 1000.0045981620447, 399.9819656450139, 39.99217628143069, 0.7511552859183003, 0.2732495365241937, -0.0606982427313661]|1221801.0000000000000000|      0.03125000|[363, 120, 2, 32]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      16|[999.9699696471537, 1000.0045981620447, 399.9819656450139, 39.99217628143069, 0.7511552859183003, 0.2732495365241937, -0.0606982427313661]|1221801.0000000000000000|      0.01562500|[387, 128, 2, 34]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      17|[999.9734985918615, 1000.0039460158686, 399.9796322225036, 39.9917690529875, 0.7643990473447486, 0.2744639568700421, -0.0537140355107437]|1205272.1250000000000000|      0.03125000|[411, 136, 2, 36]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      18|[999.9586627660148, 999.9948486524142, 399.96755173478664, 39.99805026472834, 0.7854413076282283, 0.2811182322685808, -0.0525956231100829]|1186906.5000000000000000|      0.06250000|[435, 144, 2, 38]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      19|[999.9586627660148, 999.9948486524142, 399.96755173478664, 39.99805026472834, 0.7854413076282283, 0.2811182322685808, -0.0525956231100829]|1186906.5000000000000000|      0.03125000|[459, 152, 3, 41]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      20|[999.9560025064278, 999.9899506679528, 399.9474101331878, 39.98596737655678, 0.7836347304078236, 0.288069218504672, -0.0710952186382453]|1169124.2500000000000000|      0.06250000|[484, 160, 3, 43]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      21|[999.9560025064278, 999.9899506679528, 399.9474101331878, 39.98596737655678, 0.7836347304078236, 0.288069218504672, -0.0710952186382453]|1169124.2500000000000000|      0.03125000|[508, 168, 3, 45]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      22|[999.9560025064278, 999.9899506679528, 399.9474101331878, 39.98596737655678, 0.7836347304078236, 0.288069218504672, -0.0710952186382453]|1169124.2500000000000000|      0.01562500|[532, 176, 3, 47]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      23|[999.9556397427477, 999.9880763193606, 399.9520207519599, 39.98671691221146, 0.7969195126020492, 0.2870197966281902, -0.0646851085389181]|1142797.2500000000000000|      0.03125000|[556, 184, 3, 49]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      24|[999.9556397427477, 999.9880763193606, 399.9520207519599, 39.98671691221146, 0.7969195126020492, 0.2870197966281902, -0.0646851085389181]|1142797.2500000000000000|      0.01562500|[580, 192, 3, 51]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      25|[999.9494397967662, 999.9926607348243, 399.947660317335, 39.987535600633805, 0.8010825980208827, 0.2845024701187228, -0.0765734463484209]|1136335.3750000000000000|      0.03125000|[604, 200, 3, 53]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      26|[999.9572371052229, 999.9931350137884, 399.94249161180704, 39.9788694381022, 0.8263072167468856, 0.2814896538524944, -0.0635979618214241]|1112821.0141703109256923|      0.06250000|[628, 208, 4, 56]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      27|[999.9572371052229, 999.9931350137884, 399.94249161180704, 39.9788694381022, 0.8263072167468856, 0.2814896538524944, -0.0635979618214241]|1112821.0141703109256923|      0.03125000|[653, 216, 5, 59]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      28|[999.9572371052229, 999.9931350137884, 399.94249161180704, 39.9788694381022, 0.8263072167468856, 0.2814896538524944, -0.0635979618214241]|1112821.0141703109256923|      0.01562500|[678, 224, 5, 61]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      29|[999.9590633081965, 999.9996494116892, 399.9417907554352, 39.98280083036417, 0.8331454101328514, 0.2816560605638507, -0.0752441029394055]|1079255.4105373835191131|      0.03125000|[702, 232, 6, 64]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      30|[999.9590633081965, 999.9996494116892, 399.9417907554352, 39.98280083036417, 0.8331454101328514, 0.2816560605638507, -0.0752441029394055]|1079255.4105373835191131|      0.01562500|[727, 240, 6, 66]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      31|[999.9578894879214, 1000.0076383248555, 399.9438010483746, 39.97804267101757, 0.8423362693293679, 0.2830867986042965, -0.083352109797052]|1067831.0000000000000000|      0.03125000|[751, 248, 6, 68]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      32|[999.9578894879214, 1000.0076383248555, 399.9438010483746, 39.97804267101757, 0.8423362693293679, 0.2830867986042965, -0.083352109797052]|1067831.0000000000000000|      0.01562500|[775, 256, 7, 71]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
