k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.538831648326924, -0.4985491233085606, -1.2488720965717346, -1.2655593749278582, -0.5910214057474759, -1.3761295985586273, -1.0473436335037092, -1.1825481444282062, -1.1416790974571756, -1.1975765442151463]|  4.9115774426723258|      2.00000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=0
       2|[0.538831648326924, -0.4985491233085606, -1.2488720965717346, -1.2655593749278582, -0.5910214057474759, -1.3761295985586273, -1.0473436335037092, -1.1825481444282062, -1.1416790974571756, -1.1975765442151463]|  4.9115774426723258|      1.00000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       3|[0.538831648326924, -0.4985491233085606, -1.2488720965717346, -1.2655593749278582, -0.5910214057474759, -1.3761295985586273, -1.0473436335037092, -1.1825481444282062, -1.1416790974571756, -1.1975765442151463]|  4.9115774426723258|      0.50000000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       4|[0.538831648326924, -0.4985491233085606, -1.2488720965717346, -1.2655593749278582, -0.5910214057474759, -1.3761295985586273, -1.0473436335037092, -1.1825481444282062, -1.1416790974571756, -1.1975765442151463]|  4.9115774426723258|      0.25000000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       5|[0.5192379089866394, -0.723767846251491, -1.2166837078079047, -1.2914404123135879, -0.6533348600606794, -1.3545135817947942, -1.031031266769857, -1.2286335473174894, -1.0875761339700283, -1.1931737437369636]|  1.7105415314008585|      0.50000000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       6|[0.5192379089866394, -0.723767846251491, -1.2166837078079047, -1.2914404123135879, -0.6533348600606794, -1.3545135817947942, -1.031031266769857, -1.2286335473174894, -1.0875761339700283, -1.1931737437369636]|  1.7105415314008585|      0.25000000|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       7|[0.5192379089866394, -0.723767846251491, -1.2166837078079047, -1.2914404123135879, -0.6533348600606794, -1.3545135817947942, -1.031031266769857, -1.2286335473174894, -1.0875761339700283, -1.1931737437369636]|  1.7105415314008585|      0.12500000|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       8|[0.4794200556595671, -0.7971180268272027, -1.2756544767597886, -1.242861782611544, -0.6636296701455341, -1.3782753485843011, -0.9991188324998638, -1.2182010079949708, -1.0788020253208714, -1.2239474941656587]|  1.5087692986461787|      0.25000000|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=0
       9|[0.4794200556595671, -0.7971180268272027, -1.2756544767597886, -1.242861782611544, -0.6636296701455341, -1.3782753485843011, -0.9991188324998638, -1.2182010079949708, -1.0788020253208714, -1.2239474941656587]|  1.5087692986461787|      0.12500000|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
      10|[0.4794200556595671, -0.7971180268272027, -1.2756544767597886, -1.242861782611544, -0.6636296701455341, -1.3782753485843011, -0.9991188324998638, -1.2182010079949708, -1.0788020253208714, -1.2239474941656587]|  1.5087692986461787|      0.06250000|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      11|[0.4969581539148825, -0.8064644707978919, -1.2709344663422635, -1.2914314059553536, -0.6793227498850867, -1.3610781517776924, -0.9820086406054391, -1.2175674405917944, -1.0755605531227213, -1.2070851473971447]|  1.3029617733442009|      0.12500000|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      12|[0.4310491202674131, -0.7920644760891273, -1.2374402489876453, -1.2897077528009322, -0.7587017056533054, -1.383738896072133, -0.9518295367986351, -1.2262849512543808, -1.1134278036559457, -1.2337979897606626]|  0.8872564632906501|      0.25000000|[156, 0, 12, 48]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      13|[0.4310491202674131, -0.7920644760891273, -1.2374402489876453, -1.2897077528009322, -0.7587017056533054, -1.383738896072133, -0.9518295367986351, -1.2262849512543808, -1.1134278036559457, -1.2337979897606626]|  0.8872564632906501|      0.12500000|[169, 0, 13, 52]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      14|[0.4217853181775659, -0.8481631807652117, -1.2284634417085494, -1.2060728368872435, -0.8237135150883202, -1.3706026847297617, -0.9383240323074455, -1.2115636715392946, -1.0912466724450758, -1.2286480041841283]|  0.6176567736734552|      0.25000000|[182, 0, 14, 56]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      15|[0.4217853181775659, -0.8481631807652117, -1.2284634417085494, -1.2060728368872435, -0.8237135150883202, -1.3706026847297617, -0.9383240323074455, -1.2115636715392946, -1.0912466724450758, -1.2286480041841283]|  0.6176567736734552|      0.12500000|[195, 0, 15, 60]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      16|[0.4217853181775659, -0.8481631807652117, -1.2284634417085494, -1.2060728368872435, -0.8237135150883202, -1.3706026847297617, -0.9383240323074455, -1.2115636715392946, -1.0912466724450758, -1.2286480041841283]|  0.6176567736734552|      0.06250000|[208, 0, 16, 64]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      17|[0.3929311061999414, -0.8450579621213247, -1.242724252485087, -1.2292359873809366, -0.8657656801196862, -1.3620797402449605, -0.9414486796353068, -1.2325358840341363, -1.0873227563320373, -1.2243911976938617]|  0.4175685242914128|      0.12500000|[221, 0, 17, 68]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      18|[0.3929311061999414, -0.8450579621213247, -1.242724252485087, -1.2292359873809366, -0.8657656801196862, -1.3620797402449605, -0.9414486796353068, -1.2325358840341363, -1.0873227563320373, -1.2243911976938617]|  0.4175685242914128|      0.06250000|[234, 0, 18, 72]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      19|[0.3768687350395531, -0.8360775899187055, -1.2410525218804203, -1.222511650157421, -0.8797647567162303, -1.3626329778489155, -0.9129756227499511, -1.249443537596074, -1.0636693641780266, -1.1835592878886951]|  0.3771879097816505|      0.12500000|[247, 0, 19, 76]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      20|[0.3768687350395531, -0.8360775899187055, -1.2410525218804203, -1.222511650157421, -0.8797647567162303, -1.3626329778489155, -0.9129756227499511, -1.249443537596074, -1.0636693641780266, -1.1835592878886951]|  0.3771879097816505|      0.06250000|[260, 0, 20, 80]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      21|[0.3480396084070933, -0.8519023350901941, -1.2280807096889483, -1.1933546988850836, -0.917642769875203, -1.3765704768446199, -0.9144914892511034, -1.2438514968776166, -1.0654655247342018, -1.1717051554310898]|  0.2859986489762245|      0.12500000|[273, 0, 21, 84]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      22|[0.3027957846828098, -0.8845286662503992, -1.2351255653515778, -1.204278918310206, -0.9963160395796469, -1.3209734787232263, -0.956680403771368, -1.2216286756573442, -1.0810542716087002, -1.1950990324478035]|  0.2035279849493874|      0.25000000|[286, 0, 22, 88]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      23|[0.3027957846828098, -0.8845286662503992, -1.2351255653515778, -1.204278918310206, -0.9963160395796469, -1.3209734787232263, -0.956680403771368, -1.2216286756573442, -1.0810542716087002, -1.1950990324478035]|  0.2035279849493874|      0.12500000|[299, 0, 23, 92]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      24|[0.3027957846828098, -0.8845286662503992, -1.2351255653515778, -1.204278918310206, -0.9963160395796469, -1.3209734787232263, -0.956680403771368, -1.2216286756573442, -1.0810542716087002, -1.1950990324478035]|  0.2035279849493874|      0.06250000|[312, 0, 24, 96]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      25|[0.3027957846828098, -0.8845286662503992, -1.2351255653515778, -1.204278918310206, -0.9963160395796469, -1.3209734787232263, -0.956680403771368, -1.2216286756573442, -1.0810542716087002, -1.1950990324478035]|  0.2035279849493874|      0.03125000|[325, 0, 25, 100]                                                          |  | used linear model with 13 points | iterate failure | actual_k=0
