k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1663771513900463, 0.0888214959637089, 0.5200794813675534, -0.3296675089276418, 0.6655808364810472, 0.0258730641846721, 0.0838275864638234, -0.3370728569238617, 0.1447536234424685]|173085.0875276491860859|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[0.1663771513900463, 0.0888214959637089, 0.5200794813675534, -0.3296675089276418, 0.6655808364810472, 0.0258730641846721, 0.0838275864638234, -0.3370728569238617, 0.1447536234424685]|173085.0875276491860859|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.1663771513900463, 0.0888214959637089, 0.5200794813675534, -0.3296675089276418, 0.6655808364810472, 0.0258730641846721, 0.0838275864638234, -0.3370728569238617, 0.1447536234424685]|173085.0875276491860859|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.1414409316049616, 0.1840233811565198, 0.4787265797773775, 0.0875298054280435, 0.7833142163684428, -0.0905477700277422, 0.1334268103123422, -0.5218229029772109, 0.1214404829091308]|37317.9500175298235263|      1.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       5|[0.1414409316049616, 0.1840233811565198, 0.4787265797773775, 0.0875298054280435, 0.7833142163684428, -0.0905477700277422, 0.1334268103123422, -0.5218229029772109, 0.1214404829091308]|37317.9500175298235263|      0.50000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.1414409316049616, 0.1840233811565198, 0.4787265797773775, 0.0875298054280435, 0.7833142163684428, -0.0905477700277422, 0.1334268103123422, -0.5218229029772109, 0.1214404829091308]|37317.9500175298235263|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.1414409316049616, 0.1840233811565198, 0.4787265797773775, 0.0875298054280435, 0.7833142163684428, -0.0905477700277422, 0.1334268103123422, -0.5218229029772109, 0.1214404829091308]|37317.9500175298235263|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.1349438457265428, 0.1893846691031529, 0.4865583411266266, 0.0051747879963953, 0.8110525783986466, -0.0032828872186412, 0.1207898087713499, -0.5136429872064522, 0.1313992857927378]|1443.7765934061289954|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[0.1349438457265428, 0.1893846691031529, 0.4865583411266266, 0.0051747879963953, 0.8110525783986466, -0.0032828872186412, 0.1207898087713499, -0.5136429872064522, 0.1313992857927378]|1443.7765934061289954|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[0.1349438457265428, 0.1893846691031529, 0.4865583411266266, 0.0051747879963953, 0.8110525783986466, -0.0032828872186412, 0.1207898087713499, -0.5136429872064522, 0.1313992857927378]|1443.7765934061289954|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[0.1817302301381724, 0.1886663375828754, 0.484299199974739, 0.0185353271492513, 0.81942589539631, 0.0183120258444238, 0.1238507323153112, -0.531618404475427, 0.1056267631836756]|864.5118340587370085|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[0.1817302301381724, 0.1886663375828754, 0.484299199974739, 0.0185353271492513, 0.81942589539631, 0.0183120258444238, 0.1238507323153112, -0.531618404475427, 0.1056267631836756]|864.5118340587370085|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[0.1817302301381724, 0.1886663375828754, 0.484299199974739, 0.0185353271492513, 0.81942589539631, 0.0183120258444238, 0.1238507323153112, -0.531618404475427, 0.1056267631836756]|864.5118340587370085|      0.03125000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[0.1807188290353933, 0.1832865712327561, 0.4938157090824526, 0.0187774513500403, 0.8401319557974101, 0.0129895046055124, 0.1062139710400728, -0.5228556490035081, 0.1089529788544576]|655.0652780991921418|      0.06250000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      15|[0.1807188290353933, 0.1832865712327561, 0.4938157090824526, 0.0187774513500403, 0.8401319557974101, 0.0129895046055124, 0.1062139710400728, -0.5228556490035081, 0.1089529788544576]|655.0652780991921418|      0.03125000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[0.1807188290353933, 0.1832865712327561, 0.4938157090824526, 0.0187774513500403, 0.8401319557974101, 0.0129895046055124, 0.1062139710400728, -0.5228556490035081, 0.1089529788544576]|655.0652780991921418|      0.01562500|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[0.1816015814943064, 0.1811327563515231, 0.4949608088600245, 0.0086751133678653, 0.8496371994461387, 0.0174857124086769, 0.1102479053663677, -0.5248216168572186, 0.1111095435220147]|384.2361478575082856|      0.03125000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      18|[0.1816015814943064, 0.1811327563515231, 0.4949608088600245, 0.0086751133678653, 0.8496371994461387, 0.0174857124086769, 0.1102479053663677, -0.5248216168572186, 0.1111095435220147]|384.2361478575082856|      0.01562500|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[0.1816015814943064, 0.1811327563515231, 0.4949608088600245, 0.0086751133678653, 0.8496371994461387, 0.0174857124086769, 0.1102479053663677, -0.5248216168572186, 0.1111095435220147]|384.2361478575082856|      0.00781250|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[0.1822495251583725, 0.1797742177950482, 0.4982218180270903, 0.0103722386804242, 0.8545624117344626, 0.013085536912024, 0.1099544884527121, -0.5257790419748486, 0.1119053238353315]|339.7987359634134350|      0.01562500|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[0.1822495251583725, 0.1797742177950482, 0.4982218180270903, 0.0103722386804242, 0.8545624117344626, 0.013085536912024, 0.1099544884527121, -0.5257790419748486, 0.1119053238353315]|339.7987359634134350|      0.00781250|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[0.1830246075035329, 0.179332357949739, 0.49808664645577, 0.0051013904758997, 0.8600374220805663, 0.0142926077306158, 0.1105421285205209, -0.5253042513770185, 0.1125652830191988]|289.5836902489468230|      0.01562500|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[0.1830246075035329, 0.179332357949739, 0.49808664645577, 0.0051013904758997, 0.8600374220805663, 0.0142926077306158, 0.1105421285205209, -0.5253042513770185, 0.1125652830191988]|289.5836902489468230|      0.00781250|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[0.1797166171418295, 0.1804718574720215, 0.4981821148934059, 0.0067913142212815, 0.8653094126673075, 0.0151747290258448, 0.1065035962006348, -0.525920989734101, 0.1133818662309779]|251.8840194525053278|      0.01562500|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[0.1750906170000305, 0.1754449326687125, 0.5008287852734341, 0.0132907450760479, 0.874195815816199, 0.0134890504689576, 0.1102482535537762, -0.5241439941122628, 0.1203985224089089]|224.5751483345268582|      0.03125000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      26|[0.1750906170000305, 0.1754449326687125, 0.5008287852734341, 0.0132907450760479, 0.874195815816199, 0.0134890504689576, 0.1102482535537762, -0.5241439941122628, 0.1203985224089089]|224.5751483345268582|      0.01562500|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[0.1750906170000305, 0.1754449326687125, 0.5008287852734341, 0.0132907450760479, 0.874195815816199, 0.0134890504689576, 0.1102482535537762, -0.5241439941122628, 0.1203985224089089]|224.5751483345268582|      0.00781250|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      28|[0.1757130521752691, 0.1749395333105779, 0.5004192339166356, 0.0078025960127597, 0.8783211330631183, 0.0166406966622842, 0.11108521170962, -0.5247038395251403, 0.1218613100832151]|189.8504223706944742|      0.01562500|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      29|[0.1757130521752691, 0.1749395333105779, 0.5004192339166356, 0.0078025960127597, 0.8783211330631183, 0.0166406966622842, 0.11108521170962, -0.5247038395251403, 0.1218613100832151]|189.8504223706944742|      0.00781250|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      30|[0.1757130521752691, 0.1749395333105779, 0.5004192339166356, 0.0078025960127597, 0.8783211330631183, 0.0166406966622842, 0.11108521170962, -0.5247038395251403, 0.1218613100832151]|189.8504223706944742|      0.00390625|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      31|[0.1751261270575555, 0.1748398504528192, 0.5007928442830851, 0.0096071711218085, 0.8789311909896732, 0.0133189300714122, 0.1113230565456938, -0.5247870634369447, 0.1220575113138941]|169.1302881206311781|      0.00781250|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      32|[0.174158945765378, 0.1746390026011596, 0.500318946442656, 0.0069812402204787, 0.8841734081339951, 0.0114507250136529, 0.1067360048654846, -0.5257003278807764, 0.1217522922294874]|137.0519593295437346|      0.01562500|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      33|[0.174158945765378, 0.1746390026011596, 0.500318946442656, 0.0069812402204787, 0.8841734081339951, 0.0114507250136529, 0.1067360048654846, -0.5257003278807764, 0.1217522922294874]|137.0519593295437346|      0.00781250|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      34|[0.174158945765378, 0.1746390026011596, 0.500318946442656, 0.0069812402204787, 0.8841734081339951, 0.0114507250136529, 0.1067360048654846, -0.5257003278807764, 0.1217522922294874]|137.0519593295437346|      0.00390625|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      35|[0.1744984672854282, 0.1732847197749129, 0.5009929187703799, 0.0072888229723384, 0.887436309357016, 0.0115168571002012, 0.107106845181997, -0.5265808630062998, 0.1228462866933598]|123.6012383379450199|      0.00781250|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      36|[0.1744984672854282, 0.1732847197749129, 0.5009929187703799, 0.0072888229723384, 0.887436309357016, 0.0115168571002012, 0.107106845181997, -0.5265808630062998, 0.1228462866933598]|123.6012383379450199|      0.00390625|[576, 36, 36, 72]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      37|[0.1750942192162531, 0.1749998242757232, 0.5026425294148192, 0.0053279769426918, 0.889565455458918, 0.0111268239707893, 0.1069173273067948, -0.5265151214316853, 0.1236651425265522]|115.4076431413780739|      0.00781250|[592, 37, 37, 74]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      38|[0.1750942192162531, 0.1749998242757232, 0.5026425294148192, 0.0053279769426918, 0.889565455458918, 0.0111268239707893, 0.1069173273067948, -0.5265151214316853, 0.1236651425265522]|115.4076431413780739|      0.00390625|[608, 38, 38, 76]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      39|[0.1750499465449004, 0.1760985081311809, 0.5035967964530218, 0.0075496770648657, 0.8913172358188629, 0.0123150799317102, 0.1066446783976047, -0.5261772901234926, 0.1255450339295673]|110.7543422819578751|      0.00781250|[624, 39, 39, 78]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      40|[0.1750499465449004, 0.1760985081311809, 0.5035967964530218, 0.0075496770648657, 0.8913172358188629, 0.0123150799317102, 0.1066446783976047, -0.5261772901234926, 0.1255450339295673]|110.7543422819578751|      0.00390625|[640, 40, 40, 80]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      41|[0.1750847958613336, 0.1756364375275082, 0.502852540851034, 0.007233644417796, 0.8930270100445561, 0.0114596031378764, 0.1036196159153079, -0.526448280689638, 0.126774125038228]|102.9872539723365179|      0.00781250|[656, 41, 41, 82]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      42|[0.1750847958613336, 0.1756364375275082, 0.502852540851034, 0.007233644417796, 0.8930270100445561, 0.0114596031378764, 0.1036196159153079, -0.526448280689638, 0.126774125038228]|102.9872539723365179|      0.00390625|[672, 42, 42, 84]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      43|[0.1750847958613336, 0.1756364375275082, 0.502852540851034, 0.007233644417796, 0.8930270100445561, 0.0114596031378764, 0.1036196159153079, -0.526448280689638, 0.126774125038228]|102.9872539723365179|      0.00195312|[688, 43, 43, 86]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
