k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.50000000|[29, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.25000000|[57, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.12500000|[85, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.06250000|[113, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.03125000|[141, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.01562500|[169, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00781250|[197, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.0047492217832287, -0.0012186177035129, 0.0001904650807328, -0.0003707827734199, 0.0002912262505523, 0.0015412076073235, 0.0014900267314783, -0.0013846047889857, -0.0008006500429043, -0.0038307893305691, 0.0005077610980771, -0.0024434950725963, 0.0019820957026279, -0.0021757539695779, 0.999870642028369]|2134.5900878906250000|      0.01562500|[225, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       9|[-0.0047492217832287, -0.0012186177035129, 0.0001904650807328, -0.0003707827734199, 0.0002912262505523, 0.0015412076073235, 0.0014900267314783, -0.0013846047889857, -0.0008006500429043, -0.0038307893305691, 0.0005077610980771, -0.0024434950725963, 0.0019820957026279, -0.0021757539695779, 0.999870642028369]|2134.5900878906250000|      0.00781250|[253, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.0047492217832287, -0.0012186177035129, 0.0001904650807328, -0.0003707827734199, 0.0002912262505523, 0.0015412076073235, 0.0014900267314783, -0.0013846047889857, -0.0008006500429043, -0.0038307893305691, 0.0005077610980771, -0.0024434950725963, 0.0019820957026279, -0.0021757539695779, 0.999870642028369]|2134.5900878906250000|      0.00390625|[281, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-0.0022462771556464, -0.00163588376116, -0.0009555245491557, -0.0016309276413709, -0.0012485689820889, 0.0013449819906859, 0.0010501345406535, -0.0021480185550781, -0.0014951539973575, -0.0034381512866699, 0.0014733028537665, -0.0023355986230993, 0.0010525457372555, -0.0024007068491668, 1.0003583197536534]|2115.1191406250000000|      0.00781250|[309, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      12|[-0.0022462771556464, -0.00163588376116, -0.0009555245491557, -0.0016309276413709, -0.0012485689820889, 0.0013449819906859, 0.0010501345406535, -0.0021480185550781, -0.0014951539973575, -0.0034381512866699, 0.0014733028537665, -0.0023355986230993, 0.0010525457372555, -0.0024007068491668, 1.0003583197536534]|2115.1191406250000000|      0.00390625|[337, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[-0.0022462771556464, -0.00163588376116, -0.0009555245491557, -0.0016309276413709, -0.0012485689820889, 0.0013449819906859, 0.0010501345406535, -0.0021480185550781, -0.0014951539973575, -0.0034381512866699, 0.0014733028537665, -0.0023355986230993, 0.0010525457372555, -0.0024007068491668, 1.0003583197536534]|2115.1191406250000000|      0.00195312|[365, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.0022462771556464, -0.00163588376116, -0.0009555245491557, -0.0016309276413709, -0.0012485689820889, 0.0013449819906859, 0.0010501345406535, -0.0021480185550781, -0.0014951539973575, -0.0034381512866699, 0.0014733028537665, -0.0023355986230993, 0.0010525457372555, -0.0024007068491668, 1.0003583197536534]|2115.1191406250000000|      0.00097656|[393, 28, 0, 28]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[-0.0027622968352876, -0.0022535699227705, -0.0011548697390625, -0.0014226724253974, -0.0012547029882997, 0.0015843051364777, 0.0011560078156476, -0.0021623698749136, -0.0013119563100465, -0.0032523406669262, 0.001384099060993, -0.0024771734787516, 0.0009376183432595, -0.0025465047443384, 1.0005115245192813]|2114.3798828125000000|      0.00195312|[421, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      16|[-0.0027622968352876, -0.0022535699227705, -0.0011548697390625, -0.0014226724253974, -0.0012547029882997, 0.0015843051364777, 0.0011560078156476, -0.0021623698749136, -0.0013119563100465, -0.0032523406669262, 0.001384099060993, -0.0024771734787516, 0.0009376183432595, -0.0025465047443384, 1.0005115245192813]|2114.3798828125000000|      0.00097656|[450, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[-0.0022384766588298, -0.0025767346185428, -0.0010838132613939, -0.0013454775251741, -0.0010778606359836, 0.0018558113173044, 0.0012051160283788, -0.0019240653745782, -0.0012281042065998, -0.003014795019464, 0.0011448422919324, -0.0024699241782057, 0.0009712577354494, -0.0029893627784322, 1.0007972577109532]|2113.7495117187500000|      0.00195312|[478, 34, 0, 34]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
