k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.50000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=0
       2|[1.2965390815852456, 2.30711463668269, 1.201834943416999, 0.9223044882657238, 0.9117947365727697, 1.114852373087268]|  0.6085694838759886|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[1.2965390815852456, 2.30711463668269, 1.201834943416999, 0.9223044882657238, 0.9117947365727697, 1.114852373087268]|  0.6085694838759886|      0.50000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[1.2965390815852456, 2.30711463668269, 1.201834943416999, 0.9223044882657238, 0.9117947365727697, 1.114852373087268]|  0.6085694838759886|      0.25000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[1.2661983705955178, 2.29724891472799, 1.1165862599134713, 0.9271170920561673, 1.0847627320483015, 0.9590522378697454]|  0.5199255135831322|      0.50000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[1.2661983705955178, 2.29724891472799, 1.1165862599134713, 0.9271170920561673, 1.0847627320483015, 0.9590522378697454]|  0.5199255135831322|      0.25000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[1.2493068752215812, 2.218175259890969, 1.2135934878067935, 0.7815953336592433, 1.2280881998663926, 0.8895334609890088]|  0.3833775775138585|      0.50000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       8|[1.2493068752215812, 2.218175259890969, 1.2135934878067935, 0.7815953336592433, 1.2280881998663926, 0.8895334609890088]|  0.3833775775138585|      0.25000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[1.281885914682262, 2.325818985030139, 1.202027555773254, 0.5864372409364472, 1.2182794929439662, 0.9969335166476919]|  0.3570371604612904|      0.50000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
      10|[1.281885914682262, 2.325818985030139, 1.202027555773254, 0.5864372409364472, 1.2182794929439662, 0.9969335166476919]|  0.3570371604612904|      0.25000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[1.281885914682262, 2.325818985030139, 1.202027555773254, 0.5864372409364472, 1.2182794929439662, 0.9969335166476919]|  0.3570371604612904|      0.12500000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[1.3593203670528782, 2.344732245769212, 1.1955865819086657, 0.6271954385863383, 1.2956286523716796, 0.9571141134613944]|  0.2912225451634228|      0.25000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      13|[1.3593203670528782, 2.344732245769212, 1.1955865819086657, 0.6271954385863383, 1.2956286523716796, 0.9571141134613944]|  0.2912225451634228|      0.12500000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[1.3593203670528782, 2.344732245769212, 1.1955865819086657, 0.6271954385863383, 1.2956286523716796, 0.9571141134613944]|  0.2912225451634228|      0.06250000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      15|[1.3787725128925048, 2.3145282610837628, 1.2255089986917156, 0.6090308478396513, 1.3326095907609639, 0.9618775307294715]|  0.2859569353276065|      0.12500000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      16|[1.3787725128925048, 2.3145282610837628, 1.2255089986917156, 0.6090308478396513, 1.3326095907609639, 0.9618775307294715]|  0.2859569353276065|      0.06250000|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[1.3887497546535714, 2.319502337407659, 1.2328794494882285, 0.6052314333496235, 1.393249219344482, 0.967880826608186]|  0.2843570863137668|      0.12500000|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      18|[1.3887497546535714, 2.319502337407659, 1.2328794494882285, 0.6052314333496235, 1.393249219344482, 0.967880826608186]|  0.2843570863137668|      0.06250000|[162, 0, 18, 54]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      19|[1.3887497546535714, 2.319502337407659, 1.2328794494882285, 0.6052314333496235, 1.393249219344482, 0.967880826608186]|  0.2843570863137668|      0.03125000|[171, 0, 19, 57]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      20|[1.3887497546535714, 2.319502337407659, 1.2328794494882285, 0.6052314333496235, 1.393249219344482, 0.967880826608186]|  0.2843570863137668|      0.01562500|[180, 0, 20, 60]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
