k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|1827.7085714285710765|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3148808928264324, 0.0825428004784589, 0.271227162296153, -0.0601626751852769, 0.1210939960993426, 0.2861832707481593, 0.1305001600568164, -0.1323099926874514, 0.125790842148483, -0.0252816228218534, 0.1828386702036251, 0.1617007873959981, 0.0163021055451775, 0.1360957249402213, 0.1989523506733985, 0.1309607865316856, 0.1445311498440525, 0.1145897902628253, 0.0368173853090213, 0.1662983022514921, 0.0945730280961874, -0.0410059384176219, 0.2454282578562431, 0.0661899800015411, 0.22427160018159, 0.1032057511768412, 0.1325993554791107, 0.0649241937216013, 0.1226742155402131, 0.0717272599625428, 0.128883209539438, -0.0364296239252902, 0.1357305626455017, 0.161912183999288, -0.0121575550526397, 0.1524733924659799, 0.0736150600777653, 0.0956405366353267, 0.0641631607636824, 0.0438249649132803, 0.0673917212474372, 0.0277984056003561, -0.0404331106309781, -0.0149172870471561, 0.1380762433235226, 0.206228022800776, 0.3084811941546445, -0.0091997137190107, 0.124583074237996, 0.0828838130484804]|1750.3179901048260945|      2.00000000|[65, 0, 1, 2]                                                              |  | used linear model with 65 points | iterate success | actual_k=0
       2|[0.0421490127027534, 0.5407478926587542, 0.3982792331719666, 0.1308152560260419, 0.2389507406142081, 0.454409939726071, 0.5893082200613919, 0.1806532122002294, 0.3468937340526675, -0.0142112992614541, 0.0658964836917222, 0.4225134299026263, 0.2732473501198451, 0.4369498707880183, 0.511465680147883, 0.5455551768855169, 0.1797371136513158, 0.0757198764919995, 0.3999940624489239, 0.3672121447037139, 0.4025122829588254, 0.1055502523712894, 0.520181687877982, 0.0197432632094001, 0.3841947385147024, 0.529495202069997, 0.0608782075188735, 0.3837973841394605, 0.6447757892864645, 0.5152027302421167, 0.3837207451254271, 0.3475112335183999, 0.4102201051077542, 0.593855439710717, 0.4067749168326729, 0.4378427430109149, 0.5071962250556186, 0.0686254606178429, 0.1573096204438438, 0.2664241883833193, 0.152853305785138, 0.2519424035934023, 0.348125143360937, 0.3522273254661659, 0.3323886281709766, 0.5410045894685309, 0.3163664908884142, 0.1368321482131725, 0.1684748833260262, 0.4124908177627866]|1586.1363881960528488|      4.00000000|[130, 0, 2, 4]                                                             |  | used linear model with 65 points | iterate success | actual_k=0
       3|[0.0628636378286253, 1.1711362760779247, 0.8185079510527349, 0.4233245212241031, 0.6201502282465616, 0.916693189863786, 1.1213314816289208, 0.9450831098768497, 0.664109698284552, 1.0032639399009116, 0.6035210114882406, 0.9585366348176078, 0.0985245604966721, 1.291428493148131, 0.6882747097229687, 1.3708762156647145, 1.1265980148302206, 0.3587032945690266, 0.4173232951422893, 1.0718908441357864, 0.5988805104682843, 0.1024834209397963, 0.7034933208164005, 0.9752139657743363, 0.9241416491890297, 0.9274250121936554, 0.1677243451771406, 1.1205637947238218, 0.9081337802091707, 1.533607386158726, 0.4620673423315922, 0.4485044153846265, 0.5835106578863389, 1.5249101571713393, 1.1981561604175925, 1.028049455540232, 0.8564734097394666, 0.3530826287919077, 0.5676483405292149, 0.7002095387414979, 0.99193621731319, 0.4969098048534202, -0.3037442442921811, 1.2767001557129545, 0.953774211373862, 0.9392872301571883, 0.8397243873819079, 0.8900526119583925, 0.6896838497333571, 0.8712196524709159]|1279.0604642983278154|      8.00000000|[195, 0, 3, 6]                                                             |  | used linear model with 65 points | iterate success | actual_k=0
       4|[0.5444742016519906, 3.1991255782239154, 3.0196118839969337, 0.1955111071263162, 2.049272624867867, 1.1611663744034957, 2.0895108912869027, 1.4915172630555433, 2.7329053519597766, 2.482785375100942, 1.6719081546724914, 1.811148620249356, 2.056739669355401, 2.2623631062731704, -0.3207829553563057, 1.2951311976228204, 0.3753847019894517, 0.6037595547672554, 0.730506031020947, 0.5382233220335939, 1.6035534927981878, 0.3876307682528436, 0.759957270298368, -0.7774518699437875, 1.4759825927372519, 2.0202638026238544, 0.6498498597982931, 1.5326042017920862, 1.532474503582708, 3.1913753168600487, 0.9859386883558978, 0.9810180084502574, 1.632126745243459, 2.1028256355366994, 0.5852418231964763, 3.165244301725166, 0.7191431153834242, 0.1642570520230034, 2.2495461208864693, 2.763881835673602, 0.788895649928398, 0.1912261358977173, -0.1605255787870277, 1.7882222841618274, 2.1396690907686664, 1.7485607082916546, -1.8750416623450148, 1.8629737604864391, 0.8714236522635466, 2.3427204609368717]|985.1899805503971947|     16.00000000|[260, 0, 4, 8]                                                             |  | used linear model with 65 points | iterate success | actual_k=0
       5|[0.5444742016519906, 3.1991255782239154, 3.0196118839969337, 0.1955111071263162, 2.049272624867867, 1.1611663744034957, 2.0895108912869027, 1.4915172630555433, 2.7329053519597766, 2.482785375100942, 1.6719081546724914, 1.811148620249356, 2.056739669355401, 2.2623631062731704, -0.3207829553563057, 1.2951311976228204, 0.3753847019894517, 0.6037595547672554, 0.730506031020947, 0.5382233220335939, 1.6035534927981878, 0.3876307682528436, 0.759957270298368, -0.7774518699437875, 1.4759825927372519, 2.0202638026238544, 0.6498498597982931, 1.5326042017920862, 1.532474503582708, 3.1913753168600487, 0.9859386883558978, 0.9810180084502574, 1.632126745243459, 2.1028256355366994, 0.5852418231964763, 3.165244301725166, 0.7191431153834242, 0.1642570520230034, 2.2495461208864693, 2.763881835673602, 0.788895649928398, 0.1912261358977173, -0.1605255787870277, 1.7882222841618274, 2.1396690907686664, 1.7485607082916546, -1.8750416623450148, 1.8629737604864391, 0.8714236522635466, 2.3427204609368717]|985.1899805503971947|      8.00000000|[325, 0, 5, 10]                                                            |  | used linear model with 65 points | iterate failure | actual_k=0
       6|[0.5216319086919045, 4.083625451860178, 2.7520434742479463, 0.5878492939677782, 3.638106859438297, 2.4352045842513452, 2.9520886395821764, 0.3298695102726514, 2.374673929750072, 3.1699806924927425, 1.5803119155938028, 1.6010760380982207, 2.311393363512331, 1.818267505623263, -0.1085927941880618, 1.8546621417818172, 1.1904579234029633, -0.052587030226235, -0.1275919292663467, 1.4664139962114873, 2.815434129364091, 0.2134266979230803, 1.9194618506580916, 1.4238412145472505, 1.9314807638960159, -0.6914637008468385, 1.6402082650185807, 4.729133711091279, -0.2955594841787152, 3.603589693130294, 2.2758654947398096, 1.8125512249988494, 1.2295653191631033, 1.9511195413997764, 0.6006621205098759, 2.8406330155191983, 1.2051776111675763, 1.6769543674455414, 3.3996802284955785, 3.305919733822879, 0.7379620370627452, 1.468562784445935, -0.7688375135695644, 1.2649710693805587, 0.7759580444104532, 1.522337389956919, 0.7292404466732361, 2.3474313505098436, 1.9189191074301495, 0.4104361079797687]|881.3633224090356180|     16.00000000|[390, 0, 6, 12]                                                            |  | used linear model with 65 points | iterate success | actual_k=0
       7|[0.5216319086919045, 4.083625451860178, 2.7520434742479463, 0.5878492939677782, 3.638106859438297, 2.4352045842513452, 2.9520886395821764, 0.3298695102726514, 2.374673929750072, 3.1699806924927425, 1.5803119155938028, 1.6010760380982207, 2.311393363512331, 1.818267505623263, -0.1085927941880618, 1.8546621417818172, 1.1904579234029633, -0.052587030226235, -0.1275919292663467, 1.4664139962114873, 2.815434129364091, 0.2134266979230803, 1.9194618506580916, 1.4238412145472505, 1.9314807638960159, -0.6914637008468385, 1.6402082650185807, 4.729133711091279, -0.2955594841787152, 3.603589693130294, 2.2758654947398096, 1.8125512249988494, 1.2295653191631033, 1.9511195413997764, 0.6006621205098759, 2.8406330155191983, 1.2051776111675763, 1.6769543674455414, 3.3996802284955785, 3.305919733822879, 0.7379620370627452, 1.468562784445935, -0.7688375135695644, 1.2649710693805587, 0.7759580444104532, 1.522337389956919, 0.7292404466732361, 2.3474313505098436, 1.9189191074301495, 0.4104361079797687]|881.3633224090356180|      8.00000000|[455, 0, 7, 14]                                                            |  | used linear model with 65 points | iterate failure | actual_k=0
       8|[0.5216319086919045, 4.083625451860178, 2.7520434742479463, 0.5878492939677782, 3.638106859438297, 2.4352045842513452, 2.9520886395821764, 0.3298695102726514, 2.374673929750072, 3.1699806924927425, 1.5803119155938028, 1.6010760380982207, 2.311393363512331, 1.818267505623263, -0.1085927941880618, 1.8546621417818172, 1.1904579234029633, -0.052587030226235, -0.1275919292663467, 1.4664139962114873, 2.815434129364091, 0.2134266979230803, 1.9194618506580916, 1.4238412145472505, 1.9314807638960159, -0.6914637008468385, 1.6402082650185807, 4.729133711091279, -0.2955594841787152, 3.603589693130294, 2.2758654947398096, 1.8125512249988494, 1.2295653191631033, 1.9511195413997764, 0.6006621205098759, 2.8406330155191983, 1.2051776111675763, 1.6769543674455414, 3.3996802284955785, 3.305919733822879, 0.7379620370627452, 1.468562784445935, -0.7688375135695644, 1.2649710693805587, 0.7759580444104532, 1.522337389956919, 0.7292404466732361, 2.3474313505098436, 1.9189191074301495, 0.4104361079797687]|881.3633224090356180|      4.00000000|[520, 0, 8, 16]                                                            |  | used linear model with 65 points | iterate failure | actual_k=0
       9|[0.8292977891725843, 4.141605187717045, 2.565908362623574, 0.6057520587515216, 3.028050964493768, 2.2039122589484603, 3.0889950964835764, 0.8813470875111222, 2.5068043858001614, 3.416427280104656, 1.8226460215823765, 1.6343927426029274, 2.4249416363680902, 2.358046729441245, -0.1296095080413148, 2.514701364273862, 0.8901784609552559, 0.6472335581856905, -0.0213461161339741, -0.3291032353719565, 1.203216177857182, 0.1341296546429912, 1.909098228695303, 1.9688141727450723, 2.0382357317526156, 0.0780225740333059, 2.3126849793752693, 4.443213215061522, 0.2421134165209939, 3.3018984211498457, 1.8174014840599293, 1.8865486046930109, 1.3490486568690327, 2.1410990874858373, 0.8367248743819826, 3.300198580150145, 1.5651271970936425, 0.9832675015401794, 3.3257595564442446, 3.0082789772257645, 1.3241945992790818, 2.497440962261631, -0.397970008321215, 1.8635768953025003, 2.100218153274234, 1.4909927721051288, 1.0756618423469735, 2.2348989916539908, 1.6661659788247953, 1.3683879216715449]|805.7795098331250756|      8.00000000|[585, 0, 9, 18]                                                            |  | used linear model with 65 points | iterate success | actual_k=0
      10|[0.8292977891725843, 4.141605187717045, 2.565908362623574, 0.6057520587515216, 3.028050964493768, 2.2039122589484603, 3.0889950964835764, 0.8813470875111222, 2.5068043858001614, 3.416427280104656, 1.8226460215823765, 1.6343927426029274, 2.4249416363680902, 2.358046729441245, -0.1296095080413148, 2.514701364273862, 0.8901784609552559, 0.6472335581856905, -0.0213461161339741, -0.3291032353719565, 1.203216177857182, 0.1341296546429912, 1.909098228695303, 1.9688141727450723, 2.0382357317526156, 0.0780225740333059, 2.3126849793752693, 4.443213215061522, 0.2421134165209939, 3.3018984211498457, 1.8174014840599293, 1.8865486046930109, 1.3490486568690327, 2.1410990874858373, 0.8367248743819826, 3.300198580150145, 1.5651271970936425, 0.9832675015401794, 3.3257595564442446, 3.0082789772257645, 1.3241945992790818, 2.497440962261631, -0.397970008321215, 1.8635768953025003, 2.100218153274234, 1.4909927721051288, 1.0756618423469735, 2.2348989916539908, 1.6661659788247953, 1.3683879216715449]|805.7795098331250756|      4.00000000|[650, 0, 10, 20]                                                           |  | used linear model with 65 points | iterate failure | actual_k=0
      11|[1.2861736481505235, 3.879847574985139, 2.692541030498652, 0.9823562067321865, 3.5403266003438443, 2.682081416817654, 2.8289064708828957, 0.9132334290565365, 2.008498397970481, 3.761115973962156, 2.094699007193632, 2.791835661774819, 2.4545578208353676, 3.1483517765479405, -0.2763908660744028, 2.4341319107947865, 0.4696504562710055, -0.7914172729288016, 0.6330434954997243, 0.8493881994283796, 1.185506285094956, 0.5543706296944947, 2.8403784188112953, 1.094108761919654, 2.0460216786645393, 0.8336255399414971, 3.044737759058476, 3.737336768413648, 0.5515193664243876, 4.11202947998705, 1.851390650786685, 2.0526508368224654, 1.363739418593118, 2.7118833913980063, 1.4320766333234327, 3.995112004050255, 2.4012399689918795, 1.656318144450256, 3.1817686005534775, 3.2436238895905354, 1.4636800030878376, 2.80251892959222, 0.424297758975502, 1.670852751079426, 2.6055935425640477, 1.964898140226993, 0.2997093728839023, 2.3327054706115082, 1.7137327356686323, 1.3944817354187542]|697.6484726399257852|      8.00000000|[715, 0, 11, 22]                                                           |  | used linear model with 65 points | iterate success | actual_k=0
