k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[29, 4, 1, 3]                                                              |  | used linear model with 33 points | iterate failure | actual_k=2
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[58, 8, 2, 6]                                                              |  | used linear model with 33 points | iterate failure | actual_k=2
       3|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.12500000|[87, 12, 3, 9]                                                             |  | used linear model with 33 points | iterate failure | actual_k=2
       4|[100.01779810087223, 0.0061560706297282, 0.2299109733631665, 0.9105336052522843, 100.01704659310695, 0.0246037268073481, 0.2036686384410571, 0.7787914606124582, 100.0069530208794, 0.0142303273459668, 0.2966101020462265, 0.7709491489524227, 100.02516245610478, 0.135005184966753, 0.3304745601749429, 0.6424907328025079, 100.02657862158017, 0.29460838378238, 0.4582505953935673, 0.2855589654481713, 99.9944415848353, 0.5776429238323638, 0.6305403313416627, 0.0035498677276969, 299.9811584100328, 299.9651878076469, 299.98874275595443, 300.01602235775357, 300.0040190651362]|512.0301837443814748|      0.25000000|[116, 16, 4, 12]                                                           |  | used linear model with 33 points | iterate success | actual_k=2
       5|[100.01779810087223, 0.0061560706297282, 0.2299109733631665, 0.9105336052522843, 100.01704659310695, 0.0246037268073481, 0.2036686384410571, 0.7787914606124582, 100.0069530208794, 0.0142303273459668, 0.2966101020462265, 0.7709491489524227, 100.02516245610478, 0.135005184966753, 0.3304745601749429, 0.6424907328025079, 100.02657862158017, 0.29460838378238, 0.4582505953935673, 0.2855589654481713, 99.9944415848353, 0.5776429238323638, 0.6305403313416627, 0.0035498677276969, 299.9811584100328, 299.9651878076469, 299.98874275595443, 300.01602235775357, 300.0040190651362]|512.0301837443814748|      0.12500000|[145, 20, 5, 15]                                                           |  | used linear model with 33 points | iterate failure | actual_k=2
       6|[99.99152663656916, 0.0458602777189765, 0.2558621846382197, 0.9473240926922764, 100.00905694747613, 0.0234542268550891, 0.216051525252024, 0.77617502258272, 100.01812589136784, 0.0158000839016501, 0.280581698359443, 0.7704059603241831, 100.0075571927112, 0.1252292731571869, 0.3154876123253678, 0.6196857444734714, 100.0456779821549, 0.2780446320815087, 0.4213172186978742, 0.2937898861716447, 99.98805035403096, 0.6346780664020242, 0.6134784652098414, 0.0391406535938243, 299.9811976938333, 299.98105669041524, 299.99071270101524, 300.05470601976333, 299.9740759569438]|371.4885947783026836|      0.25000000|[174, 24, 6, 18]                                                           |  | used linear model with 33 points | iterate success | actual_k=2
       7|[99.99152663656916, 0.0458602777189765, 0.2558621846382197, 0.9473240926922764, 100.00905694747613, 0.0234542268550891, 0.216051525252024, 0.77617502258272, 100.01812589136784, 0.0158000839016501, 0.280581698359443, 0.7704059603241831, 100.0075571927112, 0.1252292731571869, 0.3154876123253678, 0.6196857444734714, 100.0456779821549, 0.2780446320815087, 0.4213172186978742, 0.2937898861716447, 99.98805035403096, 0.6346780664020242, 0.6134784652098414, 0.0391406535938243, 299.9811976938333, 299.98105669041524, 299.99071270101524, 300.05470601976333, 299.9740759569438]|371.4885947783026836|      0.12500000|[203, 28, 7, 21]                                                           |  | used linear model with 33 points | iterate failure | actual_k=2
       8|[99.97175396168761, 0.0738673717402906, 0.2717878655816579, 0.937456375748582, 100.00353768871321, 0.0539547851095798, 0.2066731694228375, 0.787178808965014, 100.02611010074907, -0.0171214803577663, 0.3099516180314437, 0.8171202995718255, 100.0015631296721, 0.1038379003653745, 0.3012860375169565, 0.643490421698781, 100.03971963321308, 0.2463143678387323, 0.4028263312593239, 0.2740152866361005, 100.01032587458789, 0.6049092175459987, 0.6646619406177995, 0.0244141296863747, 299.9819603724298, 299.9759055551187, 299.98337211261685, 300.0524915143875, 300.01141803460564]|307.6342102992466607|      0.25000000|[232, 32, 8, 24]                                                           |  | used linear model with 33 points | iterate success | actual_k=2
       9|[99.97175396168761, 0.0738673717402906, 0.2717878655816579, 0.937456375748582, 100.00353768871321, 0.0539547851095798, 0.2066731694228375, 0.787178808965014, 100.02611010074907, -0.0171214803577663, 0.3099516180314437, 0.8171202995718255, 100.0015631296721, 0.1038379003653745, 0.3012860375169565, 0.643490421698781, 100.03971963321308, 0.2463143678387323, 0.4028263312593239, 0.2740152866361005, 100.01032587458789, 0.6049092175459987, 0.6646619406177995, 0.0244141296863747, 299.9819603724298, 299.9759055551187, 299.98337211261685, 300.0524915143875, 300.01141803460564]|307.6342102992466607|      0.12500000|[261, 36, 9, 27]                                                           |  | used linear model with 33 points | iterate failure | actual_k=2
      10|[99.99765152385909, 0.1404098098153171, 0.2691511068237371, 0.9409319942358867, 99.99929104801623, 0.0908720505961952, 0.2315113152584066, 0.8071702777868489, 100.0011587959926, -0.0209273638415832, 0.2828022168437311, 0.8011605920118869, 100.04164148917889, 0.0931859544944363, 0.295649796698394, 0.6314291984032817, 100.01648005749838, 0.2520922022579448, 0.4036028315437317, 0.2670775468238171, 100.00826310419846, 0.612430098130041, 0.611064407751366, 0.0055665113116569, 299.9836572666063, 299.9706950623288, 299.96254312223937, 300.0384471352083, 300.0148792172679]|250.0237623057683436|      0.25000000|[290, 40, 10, 30]                                                          |  | used linear model with 33 points | iterate success | actual_k=2
      11|[99.99765152385909, 0.1404098098153171, 0.2691511068237371, 0.9409319942358867, 99.99929104801623, 0.0908720505961952, 0.2315113152584066, 0.8071702777868489, 100.0011587959926, -0.0209273638415832, 0.2828022168437311, 0.8011605920118869, 100.04164148917889, 0.0931859544944363, 0.295649796698394, 0.6314291984032817, 100.01648005749838, 0.2520922022579448, 0.4036028315437317, 0.2670775468238171, 100.00826310419846, 0.612430098130041, 0.611064407751366, 0.0055665113116569, 299.9836572666063, 299.9706950623288, 299.96254312223937, 300.0384471352083, 300.0148792172679]|250.0237623057683436|      0.12500000|[319, 44, 11, 33]                                                          |  | used linear model with 33 points | iterate failure | actual_k=2
