k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.00357717308354, 149.94648047016145, -100.06422995460414, 1.0123173019546414, 2.000083245305454]|84512.0703125000000000|      2.00000000|[29, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[49.00357717308354, 149.94648047016145, -100.06422995460414, 1.0123173019546414, 2.000083245305454]|84512.0703125000000000|      1.00000000|[57, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[48.092325367650666, 149.9234267226663, -99.83776873284309, 1.3210826087915817, 2.149976447800214]|81578.3046875000000000|      2.00000000|[85, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[46.10064104298015, 149.80743838204629, -99.97804074238762, 1.3134394915337178, 2.147609635835421]|75222.0312500000000000|      4.00000000|[113, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | iterate success | actual_k=2
       5|[46.10064104298015, 149.80743838204629, -99.97804074238762, 1.3134394915337178, 2.147609635835421]|75222.0312500000000000|      2.00000000|[141, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[44.109648595757974, 149.71229309669474, -100.114314220701, 1.4035717095119324, 2.161828361879999]|69136.3906250000000000|      4.00000000|[169, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       7|[44.109648595757974, 149.71229309669474, -100.114314220701, 1.4035717095119324, 2.161828361879999]|69136.3906250000000000|      2.00000000|[197, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[44.109648595757974, 149.71229309669474, -100.114314220701, 1.4035717095119324, 2.161828361879999]|69136.3906250000000000|      1.00000000|[225, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[43.113611009539405, 149.64969246733529, -100.1774689463791, 1.4046655777284107, 2.161071975384252]|66189.0000000000000000|      2.00000000|[253, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[41.1490042838375, 149.55509717965248, -100.46657590004453, 1.6232389234071094, 2.164945833430484]|60544.7343750000000000|      4.00000000|[281, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      11|[41.1490042838375, 149.55509717965248, -100.46657590004453, 1.6232389234071094, 2.164945833430484]|60544.7343750000000000|      2.00000000|[309, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[39.15654557353015, 149.4162170342463, -100.56677710687859, 1.6510494374817828, 2.1623216405565144]|55110.1601562500000000|      4.00000000|[337, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      13|[39.15654557353015, 149.4162170342463, -100.56677710687859, 1.6510494374817828, 2.1623216405565144]|55110.1601562500000000|      2.00000000|[365, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[37.16611213526611, 149.27478129767817, -100.701553569553, 1.6487691229886328, 2.1614466910688304]|49938.3906250000000000|      4.00000000|[393, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      15|[37.16611213526611, 149.27478129767817, -100.701553569553, 1.6487691229886328, 2.1614466910688304]|49938.3906250000000000|      2.00000000|[421, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      16|[37.16611213526611, 149.27478129767817, -100.701553569553, 1.6487691229886328, 2.1614466910688304]|49938.3906250000000000|      1.00000000|[449, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      17|[36.17086000089229, 149.20489134722425, -100.76928580934984, 1.6478259572870453, 2.1612518052957848]|47451.4375000000000000|      2.00000000|[477, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      18|[34.27555550057914, 148.89051609756746, -100.80045037057985, 2.1744288726324017, 2.33648648556498]|42884.2148437500000000|      4.00000000|[505, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      19|[34.27555550057914, 148.89051609756746, -100.80045037057985, 2.1744288726324017, 2.33648648556498]|42884.2148437500000000|      2.00000000|[533, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      20|[32.285239545674315, 148.75416888524964, -100.94197319734825, 2.1765044665531366, 2.3408245447866123]|38359.7890625000000000|      4.00000000|[561, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      21|[32.285239545674315, 148.75416888524964, -100.94197319734825, 2.1765044665531366, 2.3408245447866123]|38359.7890625000000000|      2.00000000|[589, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
