k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0]                                                                 |  6.5000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.7784206655042187, 0.4371413572155238, 1.277941389071125]                     |  1.0799059894753027|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[1.7784206655042187, 0.4371413572155238, 1.277941389071125]                     |  1.0799059894753027|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.7784206655042187, 0.4371413572155238, 1.277941389071125]                     |  1.0799059894753027|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[1.7784206655042187, 0.4371413572155238, 1.277941389071125]                     |  1.0799059894753027|      0.25000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[1.7784206655042187, 0.4371413572155238, 1.277941389071125]                     |  1.0799059894753027|      0.12500000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[1.7784206655042187, 0.4371413572155238, 1.277941389071125]                     |  1.0799059894753027|      0.06250000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[1.7784206655042187, 0.4371413572155238, 1.277941389071125]                     |  1.0799059894753027|      0.03125000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[1.7784206655042187, 0.4371413572155238, 1.277941389071125]                     |  1.0799059894753027|      0.01562500|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[1.7781837464807848, 0.4260534657711589, 1.2669348838267565]                    |  1.0490308421132002|      0.03125000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[1.7743731927426363, 0.4070801302988657, 1.2423980804232055]                    |  0.9953003938104767|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[1.8118722424824443, 0.3604462743032815, 1.2243604879121603]                    |  0.9172286327339224|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[1.812601068307846, 0.237455495613775, 1.2020504639259548]                      |  0.7931120518710023|      0.25000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[1.812601068307846, 0.237455495613775, 1.2020504639259548]                      |  0.7931120518710023|      0.12500000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[1.812601068307846, 0.237455495613775, 1.2020504639259548]                      |  0.7931120518710023|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[1.812601068307846, 0.237455495613775, 1.2020504639259548]                      |  0.7931120518710023|      0.03125000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
