k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      0.50000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       2|[10.82487930897663, 3.0390840827348127, 0.6458165305544783, 39.97320761860522, -0.5755453004306843, -1.2935746848045877, 25.22877879972796, -0.3918021955242222, 1.0542728727157118]|1012.4731410419944950|      1.00000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate success | actual_k=1
       3|[10.82487930897663, 3.0390840827348127, 0.6458165305544783, 39.97320761860522, -0.5755453004306843, -1.2935746848045877, 25.22877879972796, -0.3918021955242222, 1.0542728727157118]|1012.4731410419944950|      0.50000000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=1
       4|[10.876035025117325, 3.0587750769330224, 0.6884542693147664, 40.094832892710905, -0.3983703285708067, -1.1959715665210928, 25.526788102534614, -0.6361260660260247, 0.8518781203695944]|923.9913755148581913|      1.00000000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       5|[10.876035025117325, 3.0587750769330224, 0.6884542693147664, 40.094832892710905, -0.3983703285708067, -1.1959715665210928, 25.526788102534614, -0.6361260660260247, 0.8518781203695944]|923.9913755148581913|      0.50000000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       6|[10.743125263562973, 3.067053695116749, 0.5199548823030021, 40.34499895505419, -0.5468714492177695, -1.2272866538636533, 25.82567822430348, -0.7756733576309005, 0.7546701547551042]|871.8379985477405398|      1.00000000|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       7|[10.743125263562973, 3.067053695116749, 0.5199548823030021, 40.34499895505419, -0.5468714492177695, -1.2272866538636533, 25.82567822430348, -0.7756733576309005, 0.7546701547551042]|871.8379985477405398|      0.50000000|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       8|[10.743125263562973, 3.067053695116749, 0.5199548823030021, 40.34499895505419, -0.5468714492177695, -1.2272866538636533, 25.82567822430348, -0.7756733576309005, 0.7546701547551042]|871.8379985477405398|      0.25000000|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       9|[10.743125263562973, 3.067053695116749, 0.5199548823030021, 40.34499895505419, -0.5468714492177695, -1.2272866538636533, 25.82567822430348, -0.7756733576309005, 0.7546701547551042]|871.8379985477405398|      0.12500000|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
      10|[10.733847704834405, 3.043971216954729, 0.4473314660633571, 40.387715409095016, -0.4837515911867062, -1.2466210037574088, 25.883300368159492, -0.7622159093124483, 0.7615927360884209]|869.1781485645226439|      0.25000000|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      11|[10.733847704834405, 3.043971216954729, 0.4473314660633571, 40.387715409095016, -0.4837515911867062, -1.2466210037574088, 25.883300368159492, -0.7622159093124483, 0.7615927360884209]|869.1781485645226439|      0.12500000|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
