k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.50000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.25000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.12500000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.06250000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.03125000|[25, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.01562500|[30, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.00781250|[34, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[1.197307832393978, -1.1961243942299868, 0.9737736792769303]                    |  0.0000885880726855|      0.01562500|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[1.197307832393978, -1.1961243942299868, 0.9737736792769303]                    |  0.0000885880726855|      0.00781250|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[1.197307832393978, -1.1961243942299868, 0.9737736792769303]                    |  0.0000885880726855|      0.00390625|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[1.1956185873794063, -1.1993680945912417, 0.9724012186000294]                   |  0.0000756620647735|      0.00781250|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[1.1956185873794063, -1.1993680945912417, 0.9724012186000294]                   |  0.0000756620647735|      0.00390625|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[1.1956185873794063, -1.1993680945912417, 0.9724012186000294]                   |  0.0000756620647735|      0.00195312|[61, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[1.1956185873794063, -1.1993680945912417, 0.9724012186000294]                   |  0.0000756620647735|      0.00097656|[66, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[1.195309161395265, -1.1992463310374435, 0.971483011916482]                     |  0.0000695397393429|      0.00195312|[71, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
