k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.50000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       2|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.25000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       3|[1.0631486277713957, -1.1566595149112324, -1.11926309708429, -1.0823257555481394, -1.0575956025478888, -0.9979909142017093, -1.0279138787162314, -1.0327811563413003, -1.0028852137540496, -1.0882350706499133]|  1.9527914237612225|      0.50000000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       4|[1.0631486277713957, -1.1566595149112324, -1.11926309708429, -1.0823257555481394, -1.0575956025478888, -0.9979909142017093, -1.0279138787162314, -1.0327811563413003, -1.0028852137540496, -1.0882350706499133]|  1.9527914237612225|      0.25000000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       5|[1.0631486277713957, -1.1566595149112324, -1.11926309708429, -1.0823257555481394, -1.0575956025478888, -0.9979909142017093, -1.0279138787162314, -1.0327811563413003, -1.0028852137540496, -1.0882350706499133]|  1.9527914237612225|      0.12500000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       6|[1.0507636957454403, -1.1555927968141655, -1.1151719448410862, -1.0606622149753708, -1.0488688436271163, -1.0378712441030244, -1.1108185101235777, -1.0769923192269937, -1.0310443307137547, -1.1490387820468846]|  0.5200858992725755|      0.25000000|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       7|[1.0507636957454403, -1.1555927968141655, -1.1151719448410862, -1.0606622149753708, -1.0488688436271163, -1.0378712441030244, -1.1108185101235777, -1.0769923192269937, -1.0310443307137547, -1.1490387820468846]|  0.5200858992725755|      0.12500000|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       8|[1.0770551817105383, -1.196429677406025, -1.0862812167623646, -1.1061072763070952, -1.1004255974753314, -1.0659543373558424, -1.0892341059067332, -1.0624841769651778, -1.089921436449198, -1.0963459560662]|  0.1504404113150933|      0.25000000|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=0
       9|[1.0770551817105383, -1.196429677406025, -1.0862812167623646, -1.1061072763070952, -1.1004255974753314, -1.0659543373558424, -1.0892341059067332, -1.0624841769651778, -1.089921436449198, -1.0963459560662]|  0.1504404113150933|      0.12500000|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
      10|[1.0770551817105383, -1.196429677406025, -1.0862812167623646, -1.1061072763070952, -1.1004255974753314, -1.0659543373558424, -1.0892341059067332, -1.0624841769651778, -1.089921436449198, -1.0963459560662]|  0.1504404113150933|      0.06250000|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      11|[1.0590108788465236, -1.227796791736068, -1.0897074861968996, -1.0930701306273232, -1.1152214280855248, -1.0788056469840552, -1.1030660388955247, -1.0866174766589785, -1.0907997600246997, -1.1317926490546562]|  0.0586863807358014|      0.12500000|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      12|[1.0590108788465236, -1.227796791736068, -1.0897074861968996, -1.0930701306273232, -1.1152214280855248, -1.0788056469840552, -1.1030660388955247, -1.0866174766589785, -1.0907997600246997, -1.1317926490546562]|  0.0586863807358014|      0.06250000|[156, 0, 12, 48]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      13|[1.0475870625740102, -1.2187121057512815, -1.0912756989052121, -1.1128126818757362, -1.1151410069675614, -1.1161838299094458, -1.144792445597534, -1.0937707221157675, -1.0855484512799713, -1.1409585682511014]|  0.0201930777212792|      0.12500000|[169, 0, 13, 52]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      14|[1.0475870625740102, -1.2187121057512815, -1.0912756989052121, -1.1128126818757362, -1.1151410069675614, -1.1161838299094458, -1.144792445597534, -1.0937707221157675, -1.0855484512799713, -1.1409585682511014]|  0.0201930777212792|      0.06250000|[182, 0, 14, 56]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      15|[1.0434757059132287, -1.2058590310146433, -1.1165268213305675, -1.1368136899222985, -1.1387402905250832, -1.1104585838472174, -1.134836381342064, -1.132477446415064, -1.0936893950777116, -1.1249222241861134]|  0.0036853870045106|      0.12500000|[195, 0, 15, 60]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      16|[1.0434757059132287, -1.2058590310146433, -1.1165268213305675, -1.1368136899222985, -1.1387402905250832, -1.1104585838472174, -1.134836381342064, -1.132477446415064, -1.0936893950777116, -1.1249222241861134]|  0.0036853870045106|      0.06250000|[208, 0, 16, 64]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      17|[1.0434757059132287, -1.2058590310146433, -1.1165268213305675, -1.1368136899222985, -1.1387402905250832, -1.1104585838472174, -1.134836381342064, -1.132477446415064, -1.0936893950777116, -1.1249222241861134]|  0.0036853870045106|      0.03125000|[221, 0, 17, 68]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      18|[1.0490142552664912, -1.1945446312338897, -1.1072291042851474, -1.136858057898825, -1.1330095209340096, -1.1075050712898942, -1.1388223893517802, -1.1424585106569118, -1.1119549943772566, -1.140437211789445]|  0.0006615899773314|      0.06250000|[234, 0, 18, 72]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      19|[1.0490142552664912, -1.1945446312338897, -1.1072291042851474, -1.136858057898825, -1.1330095209340096, -1.1075050712898942, -1.1388223893517802, -1.1424585106569118, -1.1119549943772566, -1.140437211789445]|  0.0006615899773314|      0.03125000|[247, 0, 19, 76]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      20|[1.0490142552664912, -1.1945446312338897, -1.1072291042851474, -1.136858057898825, -1.1330095209340096, -1.1075050712898942, -1.1388223893517802, -1.1424585106569118, -1.1119549943772566, -1.140437211789445]|  0.0006615899773314|      0.01562500|[260, 0, 20, 80]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      21|[1.0490142552664912, -1.1945446312338897, -1.1072291042851474, -1.136858057898825, -1.1330095209340096, -1.1075050712898942, -1.1388223893517802, -1.1424585106569118, -1.1119549943772566, -1.140437211789445]|  0.0006615899773314|      0.00781250|[273, 0, 21, 84]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      22|[1.0516279952171967, -1.1932120594203892, -1.1051305571353687, -1.1400937724188984, -1.1362805257319462, -1.1095849002795204, -1.142099313553718, -1.1445267136721957, -1.1146955190022902, -1.1404890896689859]|  0.0004040932795620|      0.01562500|[286, 0, 22, 88]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      23|[1.0516279952171967, -1.1932120594203892, -1.1051305571353687, -1.1400937724188984, -1.1362805257319462, -1.1095849002795204, -1.142099313553718, -1.1445267136721957, -1.1146955190022902, -1.1404890896689859]|  0.0004040932795620|      0.00781250|[299, 0, 23, 92]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      24|[1.0524175218970209, -1.1936969781037459, -1.1036937156736297, -1.14141422768867, -1.1422998250996117, -1.1134571423043536, -1.1421881993728806, -1.1454811534345053, -1.1165542285931087, -1.1413658232479875]|  0.0002776168208954|      0.01562500|[312, 0, 24, 96]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      25|[1.0524175218970209, -1.1936969781037459, -1.1036937156736297, -1.14141422768867, -1.1422998250996117, -1.1134571423043536, -1.1421881993728806, -1.1454811534345053, -1.1165542285931087, -1.1413658232479875]|  0.0002776168208954|      0.00781250|[325, 0, 25, 100]                                                          |  | used linear model with 13 points | iterate failure | actual_k=0
