k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.06250000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.03125000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.01562500|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00781250|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00390625|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00195312|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00097656|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00048828|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00024414|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00012207|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00006104|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00003052|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00001526|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[2.0000029000897244, -0.0999932222007902, 0.0029992173276858, -0.001004861824457, 2.24190035073e-05]|10350.8180839350843598|      0.00003052|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      18|[2.0000029000897244, -0.0999932222007902, 0.0029992173276858, -0.001004861824457, 2.24190035073e-05]|10350.8180839350843598|      0.00001526|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[2.0000029000897244, -0.0999932222007902, 0.0029992173276858, -0.001004861824457, 2.24190035073e-05]|10350.8180839350843598|      0.00000763|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[2.0000035301574393, -0.0999915181853724, 0.0029973922840098, -0.0010029221748813, 2.93337690238e-05]|4327.8037659461851945|      0.00001526|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[2.0000035301574393, -0.0999915181853724, 0.0029973922840098, -0.0010029221748813, 2.93337690238e-05]|4327.8037659461851945|      0.00000763|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[2.0000035301574393, -0.0999915181853724, 0.0029973922840098, -0.0010029221748813, 2.93337690238e-05]|4327.8037659461851945|      0.00000381|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[2.000003705865072, -0.0999910890823526, 0.0029970957013808, -0.001003305971643, 2.55785524595e-05]|2399.4945052602879514|      0.00000763|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      24|[2.000003705865072, -0.0999910890823526, 0.0029970957013808, -0.001003305971643, 2.55785524595e-05]|2399.4945052602879514|      0.00000381|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[2.000003705865072, -0.0999910890823526, 0.0029970957013808, -0.001003305971643, 2.55785524595e-05]|2399.4945052602879514|      0.00000191|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
