k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1168962252504184, -0.0388205002006131, -0.042592622826163, -0.0707230682333023, 0.8407381250681824, -0.0361765379256069, -0.3474263483761642, -0.3702911318561642, 0.1097380092314103]|9973.7021484375000000|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[-0.1168962252504184, -0.0388205002006131, -0.042592622826163, -0.0707230682333023, 0.8407381250681824, -0.0361765379256069, -0.3474263483761642, -0.3702911318561642, 0.1097380092314103]|9973.7021484375000000|      1.00000000|[21, 0, 0, 5]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[-0.1168962252504184, -0.0388205002006131, -0.042592622826163, -0.0707230682333023, 0.8407381250681824, -0.0361765379256069, -0.3474263483761642, -0.3702911318561642, 0.1097380092314103]|9973.7021484375000000|      0.50000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[-0.1168962252504184, -0.0388205002006131, -0.042592622826163, -0.0707230682333023, 0.8407381250681824, -0.0361765379256069, -0.3474263483761642, -0.3702911318561642, 0.1097380092314103]|9973.7021484375000000|      0.25000000|[45, 0, 0, 11]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[-0.1458345761634845, -0.0751747557919238, -0.1270447941195142, 0.0270038952009319, 0.9574316684461446, 0.0219267752330037, -0.4783049921729183, -0.3096683303226823, 0.1862918451551489]|3853.8837890625000000|      0.50000000|[53, 0, 0, 13]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[-0.1458345761634845, -0.0751747557919238, -0.1270447941195142, 0.0270038952009319, 0.9574316684461446, 0.0219267752330037, -0.4783049921729183, -0.3096683303226823, 0.1862918451551489]|3853.8837890625000000|      0.25000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[-0.1458345761634845, -0.0751747557919238, -0.1270447941195142, 0.0270038952009319, 0.9574316684461446, 0.0219267752330037, -0.4783049921729183, -0.3096683303226823, 0.1862918451551489]|3853.8837890625000000|      0.12500000|[77, 0, 0, 19]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[-0.1458345761634845, -0.0751747557919238, -0.1270447941195142, 0.0270038952009319, 0.9574316684461446, 0.0219267752330037, -0.4783049921729183, -0.3096683303226823, 0.1862918451551489]|3853.8837890625000000|      0.06250000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[-0.1221220424330459, -0.0520160019036208, -0.0965402960696341, 0.0055271316672771, 0.9768330825643949, -0.0075293906187219, -0.4874545587231115, -0.3160589899176882, 0.1794196974064244]|593.2952880859375000|      0.12500000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[-0.1221220424330459, -0.0520160019036208, -0.0965402960696341, 0.0055271316672771, 0.9768330825643949, -0.0075293906187219, -0.4874545587231115, -0.3160589899176882, 0.1794196974064244]|593.2952880859375000|      0.06250000|[109, 0, 0, 27]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
