k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[19.40503405489483, 2.248954239369419, 2.2454288276911836, 1.4844318013827604, 0.7079285717281647]|5429.0471405035850694|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[19.40503405489483, 2.248954239369419, 2.2454288276911836, 1.4844318013827604, 0.7079285717281647]|5429.0471405035850694|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[19.40503405489483, 2.248954239369419, 2.2454288276911836, 1.4844318013827604, 0.7079285717281647]|5429.0471405035850694|      0.50000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[19.40503405489483, 2.248954239369419, 2.2454288276911836, 1.4844318013827604, 0.7079285717281647]|5429.0471405035850694|      0.25000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[19.426776125696957, 2.277341601013456, 2.387175475906004, 1.495972333712689, 0.5054535266249922]|3750.2765376424194983|      0.50000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       6|[19.426776125696957, 2.277341601013456, 2.387175475906004, 1.495972333712689, 0.5054535266249922]|3750.2765376424194983|      0.25000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[19.426776125696957, 2.277341601013456, 2.387175475906004, 1.495972333712689, 0.5054535266249922]|3750.2765376424194983|      0.12500000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[19.426776125696957, 2.277341601013456, 2.387175475906004, 1.495972333712689, 0.5054535266249922]|3750.2765376424194983|      0.06250000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[19.434682205946622, 2.3164704658955184, 2.3834670815553576, 1.508920940000544, 0.5516190682623369]|3626.6568954423737523|      0.12500000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
      10|[19.434682205946622, 2.3164704658955184, 2.3834670815553576, 1.508920940000544, 0.5516190682623369]|3626.6568954423737523|      0.06250000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[19.434682205946622, 2.3164704658955184, 2.3834670815553576, 1.508920940000544, 0.5516190682623369]|3626.6568954423737523|      0.03125000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[19.429299216021125, 2.327245525674665, 2.392143995604, 1.5038059439664573, 0.5245999641990714]|3582.7421007488101168|      0.06250000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[19.43408228438761, 2.38259462280039, 2.404631145858908, 1.5251082330797128, 0.5390959381717026]|3485.4781649655637921|      0.12500000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[19.43408228438761, 2.38259462280039, 2.404631145858908, 1.5251082330797128, 0.5390959381717026]|3485.4781649655637921|      0.06250000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[19.43408228438761, 2.38259462280039, 2.404631145858908, 1.5251082330797128, 0.5390959381717026]|3485.4781649655637921|      0.03125000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[19.452976490220404, 2.399210326431475, 2.405568536082029, 1.5272161508713846, 0.5207065972116467]|3432.4751183230769129|      0.06250000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      17|[19.452976490220404, 2.399210326431475, 2.405568536082029, 1.5272161508713846, 0.5207065972116467]|3432.4751183230769129|      0.03125000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
