k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.634005958308641, 9.393930455458783, 9.51078954121009, 9.877064580200615, 0.0583683415977005, -0.0193580082311379, 0.3168527834608876, -0.374313766811861]|1572.1633306353992339|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       2|[8.651698512652509, 8.354912536051584, 8.959126994434131, 8.695668009593241, 0.0592031767595407, -0.0355457025414774, 0.7935183993548085, -0.2069471780651971]|1481.8696974704712375|      4.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       3|[6.874053022716473, 6.443674124058301, 7.122238332888571, 6.740330843383753, 1.247014118889183, 0.4068432744055922, 1.3144568891711454, -0.5411044835627223]|785.0833689030558844|      8.00000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       4|[2.4197465165863363, 2.401353537429121, 3.8711542728539956, 3.7537746520315634, 2.180495034243717, 1.692422014313772, 2.4686593476031833, 1.5739486467297683]|122.8635092574845089|     16.00000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       5|[2.4197465165863363, 2.401353537429121, 3.8711542728539956, 3.7537746520315634, 2.180495034243717, 1.692422014313772, 2.4686593476031833, 1.5739486467297683]|122.8635092574845089|      8.00000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[2.4197465165863363, 2.401353537429121, 3.8711542728539956, 3.7537746520315634, 2.180495034243717, 1.692422014313772, 2.4686593476031833, 1.5739486467297683]|122.8635092574845089|      4.00000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[2.4197465165863363, 2.401353537429121, 3.8711542728539956, 3.7537746520315634, 2.180495034243717, 1.692422014313772, 2.4686593476031833, 1.5739486467297683]|122.8635092574845089|      2.00000000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[2.4197465165863363, 2.401353537429121, 3.8711542728539956, 3.7537746520315634, 2.180495034243717, 1.692422014313772, 2.4686593476031833, 1.5739486467297683]|122.8635092574845089|      1.00000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[1.9983822692737685, 2.0836630958632756, 3.064749399054362, 3.7589102216975943, 2.1140656040787404, 1.9080362425382906, 2.3313914184226476, 1.5356744925993042]|115.1315862667976404|      2.00000000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[2.4842892630214815, 1.6185876328307582, 1.6471917075516003, 3.190288143160783, 1.012803300113962, 1.9025616503043437, 2.3132036322406706, 1.5764041048469843]|109.8331317368154600|      4.00000000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      11|[2.4842892630214815, 1.6185876328307582, 1.6471917075516003, 3.190288143160783, 1.012803300113962, 1.9025616503043437, 2.3132036322406706, 1.5764041048469843]|109.8331317368154600|      2.00000000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
