k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.516346279904953, 3.1639264353078134, 0.2527473331628408, 39.96642318389884, -0.6903304400178399, -1.423926550137284, 25.559278432589178, -0.5254199974182199, 0.8542087501678856]|928.8174709429785025|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[10.516346279904953, 3.1639264353078134, 0.2527473331628408, 39.96642318389884, -0.6903304400178399, -1.423926550137284, 25.559278432589178, -0.5254199974182199, 0.8542087501678856]|928.8174709429785025|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[10.807019075004364, 3.137121082508863, 0.3603746306315034, 40.538657112318454, -0.6125816752486911, -1.2100335800446054, 26.03348687325974, -1.065605008679153, 0.7688452299552689]|877.8370595119154132|      2.00000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       4|[10.807019075004364, 3.137121082508863, 0.3603746306315034, 40.538657112318454, -0.6125816752486911, -1.2100335800446054, 26.03348687325974, -1.065605008679153, 0.7688452299552689]|877.8370595119154132|      1.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[10.807019075004364, 3.137121082508863, 0.3603746306315034, 40.538657112318454, -0.6125816752486911, -1.2100335800446054, 26.03348687325974, -1.065605008679153, 0.7688452299552689]|877.8370595119154132|      0.50000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[10.586749922872064, 3.0848763441058984, 0.3286401062196944, 40.641988019193676, -0.5762516487891497, -1.3095771427640726, 25.848158032297196, -0.9095441845854935, 1.1110981770018593]|866.8090939400955222|      1.00000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       7|[10.586749922872064, 3.0848763441058984, 0.3286401062196944, 40.641988019193676, -0.5762516487891497, -1.3095771427640726, 25.848158032297196, -0.9095441845854935, 1.1110981770018593]|866.8090939400955222|      0.50000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[10.586749922872064, 3.0848763441058984, 0.3286401062196944, 40.641988019193676, -0.5762516487891497, -1.3095771427640726, 25.848158032297196, -0.9095441845854935, 1.1110981770018593]|866.8090939400955222|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[10.593041419634702, 3.0596258718744074, 0.3164354142291311, 40.77227232015321, -0.634516602087825, -1.3258640104187913, 25.99767072626253, -0.8277447807732017, 1.0015782145486414]|855.7109096261056038|      0.50000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[10.593041419634702, 3.0596258718744074, 0.3164354142291311, 40.77227232015321, -0.634516602087825, -1.3258640104187913, 25.99767072626253, -0.8277447807732017, 1.0015782145486414]|855.7109096261056038|      0.25000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[10.614584820522076, 3.1273506452346864, 0.3294897368794034, 40.7099300830964, -0.8115131085217784, -1.3044722848382406, 26.101567742082654, -0.7395788611012062, 1.056706053154252]|848.8155729560536429|      0.50000000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
