k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[0.1117844509180614, 1.0539278766934193, 0.37393164730851, 1.0089842512442853, 1.1582970101569774, 1.217113985803727, 1.1348040586981114, 0.934259095524114]|131.7290370089057774|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[0.7950467247866908, 0.6888515460139766, 0.4386558305239466, 1.2753545042549068, 0.9111124046083183, 1.6708987197541436, 0.9078510063215908, 0.8555120045687006]| 73.1385275427617785|      2.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[0.7950467247866908, 0.6888515460139766, 0.4386558305239466, 1.2753545042549068, 0.9111124046083183, 1.6708987197541436, 0.9078510063215908, 0.8555120045687006]| 73.1385275427617785|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[0.7950467247866908, 0.6888515460139766, 0.4386558305239466, 1.2753545042549068, 0.9111124046083183, 1.6708987197541436, 0.9078510063215908, 0.8555120045687006]| 73.1385275427617785|      0.50000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[0.7950467247866908, 0.6888515460139766, 0.4386558305239466, 1.2753545042549068, 0.9111124046083183, 1.6708987197541436, 0.9078510063215908, 0.8555120045687006]| 73.1385275427617785|      0.25000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[0.8290443750009573, 0.5675183045240753, 0.5290934524012781, 1.266475780208468, 0.9735412222587392, 1.8409653500919834, 0.9510299171288312, 0.9161764482877781]| 68.0559773562371504|      0.50000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       8|[0.6635747640796161, 0.5731112201771993, 0.2869378987901172, 1.201183498038372, 0.6745012020610686, 2.0616809632917166, 0.8044361560788016, 0.9236655424639195]| 60.9472347868351534|      1.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       9|[0.6635747640796161, 0.5731112201771993, 0.2869378987901172, 1.201183498038372, 0.6745012020610686, 2.0616809632917166, 0.8044361560788016, 0.9236655424639195]| 60.9472347868351534|      0.50000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[0.6635747640796161, 0.5731112201771993, 0.2869378987901172, 1.201183498038372, 0.6745012020610686, 2.0616809632917166, 0.8044361560788016, 0.9236655424639195]| 60.9472347868351534|      0.25000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[0.5156836778321469, 0.5850426114260511, 0.2991097934382709, 1.1779792602789516, 0.6306654035199452, 1.9018501728686568, 0.736667769417538, 1.0116386281800658]| 51.5601364312406574|      0.50000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      12|[0.5156836778321469, 0.5850426114260511, 0.2991097934382709, 1.1779792602789516, 0.6306654035199452, 1.9018501728686568, 0.736667769417538, 1.0116386281800658]| 51.5601364312406574|      0.25000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[0.5156836778321469, 0.5850426114260511, 0.2991097934382709, 1.1779792602789516, 0.6306654035199452, 1.9018501728686568, 0.736667769417538, 1.0116386281800658]| 51.5601364312406574|      0.12500000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[0.5156836778321469, 0.5850426114260511, 0.2991097934382709, 1.1779792602789516, 0.6306654035199452, 1.9018501728686568, 0.736667769417538, 1.0116386281800658]| 51.5601364312406574|      0.06250000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[0.5078798854822463, 0.579245737863912, 0.2989912695410123, 1.1634118842458177, 0.6549304430315008, 1.9451997691436569, 0.7440507779697455, 0.9788203994881569]| 49.9963939610508774|      0.12500000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      16|[0.4828426896725206, 0.5245246951328792, 0.252270371826177, 1.0832104756215446, 0.6144850239495875, 1.9848364597821655, 0.7564640539569475, 0.9735621212911286]| 46.8776140468239007|      0.25000000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      17|[0.4828426896725206, 0.5245246951328792, 0.252270371826177, 1.0832104756215446, 0.6144850239495875, 1.9848364597821655, 0.7564640539569475, 0.9735621212911286]| 46.8776140468239007|      0.12500000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      18|[0.4520244558026186, 0.5582059387693802, 0.2716425928766941, 1.0247792045322965, 0.5734372928824306, 2.034079713914527, 0.773009047708094, 1.0468271387085288]| 44.7129401315431423|      0.25000000|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      19|[0.4520244558026186, 0.5582059387693802, 0.2716425928766941, 1.0247792045322965, 0.5734372928824306, 2.034079713914527, 0.773009047708094, 1.0468271387085288]| 44.7129401315431423|      0.12500000|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      20|[0.4520244558026186, 0.5582059387693802, 0.2716425928766941, 1.0247792045322965, 0.5734372928824306, 2.034079713914527, 0.773009047708094, 1.0468271387085288]| 44.7129401315431423|      0.06250000|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      21|[0.458935697581122, 0.5430480172257642, 0.2598168989970394, 1.0134563622740582, 0.5382532487195695, 2.068384070467868, 0.7573897667081506, 1.0733224322126265]| 43.9306014910538565|      0.12500000|[147, 42, 21, 63]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      22|[0.502213217946817, 0.5127052382181286, 0.2361676970974999, 0.9297128537198229, 0.4712152203945918, 2.0646053041304833, 0.7834225691999956, 1.0818681267613286]| 42.3203197816747476|      0.25000000|[154, 44, 22, 66]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      23|[0.502213217946817, 0.5127052382181286, 0.2361676970974999, 0.9297128537198229, 0.4712152203945918, 2.0646053041304833, 0.7834225691999956, 1.0818681267613286]| 42.3203197816747476|      0.12500000|[161, 46, 23, 69]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      24|[0.502213217946817, 0.5127052382181286, 0.2361676970974999, 0.9297128537198229, 0.4712152203945918, 2.0646053041304833, 0.7834225691999956, 1.0818681267613286]| 42.3203197816747476|      0.06250000|[168, 48, 24, 72]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      25|[0.5062866474895413, 0.5000677439804485, 0.23768710318757, 0.8880377048262339, 0.4646191479503451, 2.1053372136091895, 0.7664610446021892, 1.0825991143333529]| 41.0598779572994133|      0.12500000|[175, 50, 25, 75]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      26|[0.5062866474895413, 0.5000677439804485, 0.23768710318757, 0.8880377048262339, 0.4646191479503451, 2.1053372136091895, 0.7664610446021892, 1.0825991143333529]| 41.0598779572994133|      0.06250000|[182, 52, 26, 78]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
