k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9796968736210098, 0.0166570596935056, 0.0088432094340543, 0.1906803868847615, 0.4952816382227441, 0.0952117838693933, 0.7139672630715157, 0.079836047510697, 0.1709326362374716, -0.2650032008671013, 2.7579016080057466, 0.061183744826647, 0.6328202361775926, 0.267821963863797, 2.288248280340955, -0.0408986284982945, 14.337438836210444, 0.2624024771614005, 11.973261622488796, 0.1252695167617298, 0.0800712000178962, 0.1656426473538143, 0.113198433464801, -0.0573338789178353, 1.12873847054988, 0.1302925238431273, 0.1666409748405709, 0.1154487480282164, -0.1537237591423867, -0.1286076380447997, 3.69943940062749, 0.0623751637764781, 1.1210118741673123, -0.0973278800200397, -0.0212619419037348, -0.132785040694255, 0.424676066682831, -0.1192299685752392, 1.0047262789336253, 0.0563910885705964, 0.1636296124896189, 0.0876913710831904, 1.9816513444029908, -0.0505868842206159, 2.009125554529787, 0.0885964464273016, 1.5355676290926756, -0.1508044123329221, 0.5830938351260319, 0.076367060557354, 0.3746323113867741, 0.0060740398199662, 0.2181828322217664, 0.1128001149699837, 0.6832047225489455, 0.0165510697112895, 0.5936671851095375, -0.1823762551073311, 0.4653930388049514, 0.0364224611740544, 0.9540630607868503, 0.0399624498083424, 0.094753977240946, 0.1401407453831143, 0.4227153258838869, 0.1546543896190782]|737998.1875000000000000|      2.00000000|[29, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[1.15803706349692, -0.1586317549337241, -0.1170319070562526, 0.1869077449243889, 0.6400805863044648, -0.2423697208274678, 0.6024306443009012, 0.3368976308947255, -0.0324536691720039, 0.0322760876826922, 2.5686106684956846, -0.1667109218610907, 0.4357719769221254, 0.2994066810706634, 2.016822176288591, -0.4411727903640348, 14.641148448302499, 0.8405899342230228, 12.080347630354694, 0.636516462565627, 0.499365969564508, -0.1381259785928687, 0.1238535270429734, -0.0992112965243008, 0.7501541741636713, 0.0030749524719727, 0.2361144511956213, -0.0334571070391485, 0.053018155739471, 0.0367374147711237, 3.5874155822675946, -0.0699167604502858, 1.1438706651942872, -0.237683224841454, -0.0004038919000086, -0.3248700823800971, 0.6062221627447192, 0.3224359540443979, 1.171746095847396, -0.0072685060345947, 0.015870763044669, 0.0582010714387172, 2.1274219379609938, 0.1261662403738112, 2.0682161252006597, -0.0618849713216247, 1.6888378194484563, -0.0289466362753021, 0.6644908030764709, -0.0630326037160043, 0.7371646531097606, -0.4185106530811723, 0.3034366390448437, 0.3690311984796898, 0.2479089692302573, 0.0418445178227949, 0.1032119414027273, -0.1348433324974438, 0.7644977691198647, 0.1764386265488022, 0.5286412457210545, 0.0055371538939396, -0.4989560162743863, 0.0719615130264001, 0.3252235692998265, 0.2023010162501654]|203687.5000000000000000|      4.00000000|[58, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       3|[1.15803706349692, -0.1586317549337241, -0.1170319070562526, 0.1869077449243889, 0.6400805863044648, -0.2423697208274678, 0.6024306443009012, 0.3368976308947255, -0.0324536691720039, 0.0322760876826922, 2.5686106684956846, -0.1667109218610907, 0.4357719769221254, 0.2994066810706634, 2.016822176288591, -0.4411727903640348, 14.641148448302499, 0.8405899342230228, 12.080347630354694, 0.636516462565627, 0.499365969564508, -0.1381259785928687, 0.1238535270429734, -0.0992112965243008, 0.7501541741636713, 0.0030749524719727, 0.2361144511956213, -0.0334571070391485, 0.053018155739471, 0.0367374147711237, 3.5874155822675946, -0.0699167604502858, 1.1438706651942872, -0.237683224841454, -0.0004038919000086, -0.3248700823800971, 0.6062221627447192, 0.3224359540443979, 1.171746095847396, -0.0072685060345947, 0.015870763044669, 0.0582010714387172, 2.1274219379609938, 0.1261662403738112, 2.0682161252006597, -0.0618849713216247, 1.6888378194484563, -0.0289466362753021, 0.6644908030764709, -0.0630326037160043, 0.7371646531097606, -0.4185106530811723, 0.3034366390448437, 0.3690311984796898, 0.2479089692302573, 0.0418445178227949, 0.1032119414027273, -0.1348433324974438, 0.7644977691198647, 0.1764386265488022, 0.5286412457210545, 0.0055371538939396, -0.4989560162743863, 0.0719615130264001, 0.3252235692998265, 0.2023010162501654]|203687.5000000000000000|      2.00000000|[140, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.15803706349692, -0.1586317549337241, -0.1170319070562526, 0.1869077449243889, 0.6400805863044648, -0.2423697208274678, 0.6024306443009012, 0.3368976308947255, -0.0324536691720039, 0.0322760876826922, 2.5686106684956846, -0.1667109218610907, 0.4357719769221254, 0.2994066810706634, 2.016822176288591, -0.4411727903640348, 14.641148448302499, 0.8405899342230228, 12.080347630354694, 0.636516462565627, 0.499365969564508, -0.1381259785928687, 0.1238535270429734, -0.0992112965243008, 0.7501541741636713, 0.0030749524719727, 0.2361144511956213, -0.0334571070391485, 0.053018155739471, 0.0367374147711237, 3.5874155822675946, -0.0699167604502858, 1.1438706651942872, -0.237683224841454, -0.0004038919000086, -0.3248700823800971, 0.6062221627447192, 0.3224359540443979, 1.171746095847396, -0.0072685060345947, 0.015870763044669, 0.0582010714387172, 2.1274219379609938, 0.1261662403738112, 2.0682161252006597, -0.0618849713216247, 1.6888378194484563, -0.0289466362753021, 0.6644908030764709, -0.0630326037160043, 0.7371646531097606, -0.4185106530811723, 0.3034366390448437, 0.3690311984796898, 0.2479089692302573, 0.0418445178227949, 0.1032119414027273, -0.1348433324974438, 0.7644977691198647, 0.1764386265488022, 0.5286412457210545, 0.0055371538939396, -0.4989560162743863, 0.0719615130264001, 0.3252235692998265, 0.2023010162501654]|203687.5000000000000000|      1.00000000|[220, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.0915754815465255, -0.0844821911004613, -0.2333518915831164, 0.2221155623657517, 0.6306882297801385, -0.1252804319046123, 0.7524042820773886, 0.4287652388555061, 0.1478833717597785, 0.0147012047851893, 2.700535998697918, -0.3441247500333786, 0.5063027365571596, 0.4311840706617469, 2.0724833877376216, -0.6326271412584002, 14.93990621264336, 0.9571202549618774, 12.186995981154693, 0.6796631341184945, 0.3835939959810533, -0.3044930897083509, 0.3398331016623375, -0.0356563073846109, 0.7402500552010085, -0.0940511949459175, 0.23203843251588, -0.1251703083252358, -0.2742507615536711, 0.1155586622971499, 3.5230725045965277, -0.1446961489582085, 1.2413812695545077, -0.0334120925051509, 0.1097368457074912, -0.3735515074949838, 0.5961573116970144, 0.2870573344911924, 0.9646664964019387, -0.2155372138626577, 0.0753265043938107, 0.1393559513019921, 2.185853492472443, 0.0408474317088389, 2.2307179366200462, -0.1962757205997003, 1.6628222249910678, -0.1076925860010768, 0.8038031789050115, -0.1666436149376681, 0.7073390034013495, -0.4860264056725727, 0.4150967608218459, 0.3407628671351663, 0.2617430917116075, 0.2142347086721318, 0.0292567669577167, -0.3270823249103146, 0.7163587898289124, 0.2183052220485731, 0.2926155476173536, -0.121875868990848, -0.5308685588383201, 0.1477752539463639, 0.2558627774532465, 0.2626719426568601]|75815.7734375000000000|      2.00000000|[249, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[1.0915754815465255, -0.0844821911004613, -0.2333518915831164, 0.2221155623657517, 0.6306882297801385, -0.1252804319046123, 0.7524042820773886, 0.4287652388555061, 0.1478833717597785, 0.0147012047851893, 2.700535998697918, -0.3441247500333786, 0.5063027365571596, 0.4311840706617469, 2.0724833877376216, -0.6326271412584002, 14.93990621264336, 0.9571202549618774, 12.186995981154693, 0.6796631341184945, 0.3835939959810533, -0.3044930897083509, 0.3398331016623375, -0.0356563073846109, 0.7402500552010085, -0.0940511949459175, 0.23203843251588, -0.1251703083252358, -0.2742507615536711, 0.1155586622971499, 3.5230725045965277, -0.1446961489582085, 1.2413812695545077, -0.0334120925051509, 0.1097368457074912, -0.3735515074949838, 0.5961573116970144, 0.2870573344911924, 0.9646664964019387, -0.2155372138626577, 0.0753265043938107, 0.1393559513019921, 2.185853492472443, 0.0408474317088389, 2.2307179366200462, -0.1962757205997003, 1.6628222249910678, -0.1076925860010768, 0.8038031789050115, -0.1666436149376681, 0.7073390034013495, -0.4860264056725727, 0.4150967608218459, 0.3407628671351663, 0.2617430917116075, 0.2142347086721318, 0.0292567669577167, -0.3270823249103146, 0.7163587898289124, 0.2183052220485731, 0.2926155476173536, -0.121875868990848, -0.5308685588383201, 0.1477752539463639, 0.2558627774532465, 0.2626719426568601]|75815.7734375000000000|      1.00000000|[330, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.0915754815465255, -0.0844821911004613, -0.2333518915831164, 0.2221155623657517, 0.6306882297801385, -0.1252804319046123, 0.7524042820773886, 0.4287652388555061, 0.1478833717597785, 0.0147012047851893, 2.700535998697918, -0.3441247500333786, 0.5063027365571596, 0.4311840706617469, 2.0724833877376216, -0.6326271412584002, 14.93990621264336, 0.9571202549618774, 12.186995981154693, 0.6796631341184945, 0.3835939959810533, -0.3044930897083509, 0.3398331016623375, -0.0356563073846109, 0.7402500552010085, -0.0940511949459175, 0.23203843251588, -0.1251703083252358, -0.2742507615536711, 0.1155586622971499, 3.5230725045965277, -0.1446961489582085, 1.2413812695545077, -0.0334120925051509, 0.1097368457074912, -0.3735515074949838, 0.5961573116970144, 0.2870573344911924, 0.9646664964019387, -0.2155372138626577, 0.0753265043938107, 0.1393559513019921, 2.185853492472443, 0.0408474317088389, 2.2307179366200462, -0.1962757205997003, 1.6628222249910678, -0.1076925860010768, 0.8038031789050115, -0.1666436149376681, 0.7073390034013495, -0.4860264056725727, 0.4150967608218459, 0.3407628671351663, 0.2617430917116075, 0.2142347086721318, 0.0292567669577167, -0.3270823249103146, 0.7163587898289124, 0.2183052220485731, 0.2926155476173536, -0.121875868990848, -0.5308685588383201, 0.1477752539463639, 0.2558627774532465, 0.2626719426568601]|75815.7734375000000000|      0.50000000|[410, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[1.0915754815465255, -0.0844821911004613, -0.2333518915831164, 0.2221155623657517, 0.6306882297801385, -0.1252804319046123, 0.7524042820773886, 0.4287652388555061, 0.1478833717597785, 0.0147012047851893, 2.700535998697918, -0.3441247500333786, 0.5063027365571596, 0.4311840706617469, 2.0724833877376216, -0.6326271412584002, 14.93990621264336, 0.9571202549618774, 12.186995981154693, 0.6796631341184945, 0.3835939959810533, -0.3044930897083509, 0.3398331016623375, -0.0356563073846109, 0.7402500552010085, -0.0940511949459175, 0.23203843251588, -0.1251703083252358, -0.2742507615536711, 0.1155586622971499, 3.5230725045965277, -0.1446961489582085, 1.2413812695545077, -0.0334120925051509, 0.1097368457074912, -0.3735515074949838, 0.5961573116970144, 0.2870573344911924, 0.9646664964019387, -0.2155372138626577, 0.0753265043938107, 0.1393559513019921, 2.185853492472443, 0.0408474317088389, 2.2307179366200462, -0.1962757205997003, 1.6628222249910678, -0.1076925860010768, 0.8038031789050115, -0.1666436149376681, 0.7073390034013495, -0.4860264056725727, 0.4150967608218459, 0.3407628671351663, 0.2617430917116075, 0.2142347086721318, 0.0292567669577167, -0.3270823249103146, 0.7163587898289124, 0.2183052220485731, 0.2926155476173536, -0.121875868990848, -0.5308685588383201, 0.1477752539463639, 0.2558627774532465, 0.2626719426568601]|75815.7734375000000000|      0.25000000|[491, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[1.0720745709661161, -0.104605273784747, -0.1693211300205433, 0.2261674003003463, 0.6566924839736441, -0.0646380036351361, 0.7326110253762397, 0.4298828246139874, 0.1635550943179198, 0.0332776561714169, 2.7179038113982044, -0.2979220946467678, 0.5070564768232316, 0.436533175695852, 2.0289655242382674, -0.6018001933607927, 14.922502988246253, 1.015741366946218, 12.167204077241061, 0.6754126321805592, 0.3769965931444439, -0.3492238930101123, 0.3001382944184048, -0.032232707130768, 0.7073717193327878, -0.1045425818114561, 0.2034612155168601, -0.1021192223257326, -0.2912432219595721, 0.1200858121745176, 3.516000658452924, -0.1918105164270956, 1.243055205607042, -0.0455782184630971, 0.0988873275256438, -0.3783226290627748, 0.6490755660654739, 0.2756955462383972, 0.9418456638232588, -0.2419595314176287, 0.0571337439512827, 0.1006072950793321, 2.157684882529558, 0.1190282314909663, 2.2484922238639724, -0.1797737665671978, 1.6753428092097489, -0.1152787190354507, 0.7885753180990407, -0.1493648670317203, 0.7281660349359863, -0.4765744594033171, 0.3514470446601824, 0.3605955015859349, 0.3204340977341439, 0.1366588038789551, 0.0535177135031433, -0.2996451497428118, 0.7172934496727039, 0.2356634749458984, 0.2631300997169944, -0.1517687614659945, -0.5306657133318226, 0.1472304843684963, 0.2834421127933352, 0.2933924739991037]|54831.8203125000000000|      0.50000000|[519, 38, 0, 38]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      10|[1.0720745709661161, -0.104605273784747, -0.1693211300205433, 0.2261674003003463, 0.6566924839736441, -0.0646380036351361, 0.7326110253762397, 0.4298828246139874, 0.1635550943179198, 0.0332776561714169, 2.7179038113982044, -0.2979220946467678, 0.5070564768232316, 0.436533175695852, 2.0289655242382674, -0.6018001933607927, 14.922502988246253, 1.015741366946218, 12.167204077241061, 0.6754126321805592, 0.3769965931444439, -0.3492238930101123, 0.3001382944184048, -0.032232707130768, 0.7073717193327878, -0.1045425818114561, 0.2034612155168601, -0.1021192223257326, -0.2912432219595721, 0.1200858121745176, 3.516000658452924, -0.1918105164270956, 1.243055205607042, -0.0455782184630971, 0.0988873275256438, -0.3783226290627748, 0.6490755660654739, 0.2756955462383972, 0.9418456638232588, -0.2419595314176287, 0.0571337439512827, 0.1006072950793321, 2.157684882529558, 0.1190282314909663, 2.2484922238639724, -0.1797737665671978, 1.6753428092097489, -0.1152787190354507, 0.7885753180990407, -0.1493648670317203, 0.7281660349359863, -0.4765744594033171, 0.3514470446601824, 0.3605955015859349, 0.3204340977341439, 0.1366588038789551, 0.0535177135031433, -0.2996451497428118, 0.7172934496727039, 0.2356634749458984, 0.2631300997169944, -0.1517687614659945, -0.5306657133318226, 0.1472304843684963, 0.2834421127933352, 0.2933924739991037]|54831.8203125000000000|      0.25000000|[599, 44, 0, 44]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
