k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.50000000|[98, 6, 1, 8]                                                              |  | used linear model with 104 points | iterate failure | actual_k=1
       2|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.25000000|[196, 12, 2, 16]                                                           |  | used linear model with 104 points | iterate failure | actual_k=1
       3|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.12500000|[294, 18, 3, 24]                                                           |  | used linear model with 104 points | iterate failure | actual_k=1
       4|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.06250000|[392, 24, 4, 32]                                                           |  | used linear model with 104 points | iterate failure | actual_k=1
       5|[0.6008019153059145, 0.0228011200309609, 1.8935404464400947, 0.6504520611407238, 0.0261026326172047, 2.0057150499752026, 1.3009136447662035, 0.0262545721828145, 2.114135091858905, -0.0167352888131234, 0.0140317862084091, 2.1528843501351513, 1.2367505551104614, 0.0200968068976081, 2.2247977205270537, 0.2231825435246208, 0.0147917414412569, 2.2807545750719647, 1.3343121614131626, 0.0248858787355988, 2.383293362519335, 4.502268582956944, 0.0393397034755716, 2.48760211590191, 0.6616485243337107, 0.024990218379959, 2.555412149725264, 4.386395510023625, 0.0579461213658053, 2.701651122866653, 0.2218851238848695, 0.0223337039276753, 2.9396903148455076, 0.2333892096659664, 0.0243202381155393, 2.9713256220337887, 0.7122580829369423, 0.0187558423925182, 3.130606830319018, 0.2015512777583423, 0.0207655793581635, 3.226257620226701, -0.0683506597915745, 0.0203440540349475, 3.245801040215449, 1.3795102330007194, 0.0321357162783977, 3.3873485377988493, 0.2412622525918571, 0.0214552561157529, 3.66757198504236, 0.0597323006159818, 0.0156604014291839, 3.717563582823798, 0.0242032082516924, 0.020245213593464, 3.830877508617292, 0.4189906594554439, 0.0178244166622315, 3.9635896234756367, 0.2556028592805141, 0.0190588829957191, 4.047413475490367, 0.8212820863347476, 0.0153124243426656, 4.1700583240258755, 0.9643280700686891, 0.0269885587785491, 4.42284230359102, 0.7408475372911724, 0.0209846812009958, 4.560190425079546, 0.2216403567879348, 0.0228569389097133, 4.60297672386455, 0.4946742369945758, 0.0124063303217257, 4.711842011919926, 0.0517001994856318, 0.0196307871566476, 4.797162272046527, 0.3668461658206176, 0.0171649765773016, 4.960573067428044, 0.1635399293252207, 0.0134321017008715, 5.398213383800479, 0.2849271334657174, 0.0149643335051709, 5.422431835209516, 0.0997144360048871, 0.0164928941564291, 2.5795368305155164, -0.0091474385118455, 0.0251562601811356, 3.867685032370688, 0.1539731703184803, 0.0254860568884611, 5.195564886822199]|317676.0143159011495300|      0.12500000|[489, 31, 5, 40]                                                           |  | used linear model with 104 points | iterate success | actual_k=1
       6|[0.6008019153059145, 0.0228011200309609, 1.8935404464400947, 0.6504520611407238, 0.0261026326172047, 2.0057150499752026, 1.3009136447662035, 0.0262545721828145, 2.114135091858905, -0.0167352888131234, 0.0140317862084091, 2.1528843501351513, 1.2367505551104614, 0.0200968068976081, 2.2247977205270537, 0.2231825435246208, 0.0147917414412569, 2.2807545750719647, 1.3343121614131626, 0.0248858787355988, 2.383293362519335, 4.502268582956944, 0.0393397034755716, 2.48760211590191, 0.6616485243337107, 0.024990218379959, 2.555412149725264, 4.386395510023625, 0.0579461213658053, 2.701651122866653, 0.2218851238848695, 0.0223337039276753, 2.9396903148455076, 0.2333892096659664, 0.0243202381155393, 2.9713256220337887, 0.7122580829369423, 0.0187558423925182, 3.130606830319018, 0.2015512777583423, 0.0207655793581635, 3.226257620226701, -0.0683506597915745, 0.0203440540349475, 3.245801040215449, 1.3795102330007194, 0.0321357162783977, 3.3873485377988493, 0.2412622525918571, 0.0214552561157529, 3.66757198504236, 0.0597323006159818, 0.0156604014291839, 3.717563582823798, 0.0242032082516924, 0.020245213593464, 3.830877508617292, 0.4189906594554439, 0.0178244166622315, 3.9635896234756367, 0.2556028592805141, 0.0190588829957191, 4.047413475490367, 0.8212820863347476, 0.0153124243426656, 4.1700583240258755, 0.9643280700686891, 0.0269885587785491, 4.42284230359102, 0.7408475372911724, 0.0209846812009958, 4.560190425079546, 0.2216403567879348, 0.0228569389097133, 4.60297672386455, 0.4946742369945758, 0.0124063303217257, 4.711842011919926, 0.0517001994856318, 0.0196307871566476, 4.797162272046527, 0.3668461658206176, 0.0171649765773016, 4.960573067428044, 0.1635399293252207, 0.0134321017008715, 5.398213383800479, 0.2849271334657174, 0.0149643335051709, 5.422431835209516, 0.0997144360048871, 0.0164928941564291, 2.5795368305155164, -0.0091474385118455, 0.0251562601811356, 3.867685032370688, 0.1539731703184803, 0.0254860568884611, 5.195564886822199]|317676.0143159011495300|      0.06250000|[586, 38, 6, 48]                                                           |  | used linear model with 104 points | iterate failure | actual_k=1
       7|[0.6045971426333073, 0.0352069745623749, 1.8936004378772748, 0.6481592428829678, 0.0321327991854676, 2.0184327994294, 1.30384917040145, 0.0316993623099451, 2.1200784486941107, -0.0159647816690942, 0.0137761020985941, 2.1555948564210907, 1.2356027697091678, 0.0330483075282275, 2.215994009138792, 0.2313709444193826, 0.0214947474568005, 2.2823181412504074, 1.3361655334769078, 0.036278065207013, 2.386317758026021, 4.502508697259663, 0.0690629620879531, 2.4803649127180556, 0.658247596289337, 0.0213254398929895, 2.553762157274779, 4.391421029945485, 0.0637535588708976, 2.7025680085736794, 0.2217444336999689, 0.0188114410640894, 2.9488465211596524, 0.2331765567665878, 0.032313674661342, 2.9713785577119585, 0.7149259802778387, 0.0212527718492925, 3.129549533529201, 0.1965449575706482, 0.0266251565725825, 3.2227099683768072, -0.0712127184053576, 0.0209193763146853, 3.2445546492120676, 1.3741310467384, 0.0386536118234393, 3.380164349029312, 0.2473800991475814, 0.0203678275215477, 3.6639596388313462, 0.0625896325838334, 0.0123549811432664, 3.727804139088806, 0.0260865940573729, 0.0144333079345014, 3.8428825156030646, 0.4157147690609519, 0.0227264527506825, 3.9684034439671665, 0.2523133886697722, 0.0204767151978948, 4.045767101859783, 0.8256252718581227, 0.0143130352752055, 4.166597687583113, 0.9609303970991472, 0.0313334233904285, 4.415821091657767, 0.7283174091706762, 0.0262287270139992, 4.552477672463801, 0.2256420027331016, 0.0208016274905007, 4.601619191707044, 0.5067734231276633, 0.0225933739403675, 4.712282439308568, 0.04544876203839, 0.0181033312754566, 4.800828820968412, 0.3683330995099808, 0.0253730599555029, 4.961921098180988, 0.1556411274263601, 0.0155081546875754, 5.390956452513499, 0.2780954588779009, 0.01927478579126, 5.420511350500577, 0.0990606882098769, 0.0145290272239131, 2.5816375931496465, -0.0032908818349924, 0.0249404087662686, 3.871156259411142, 0.1469379434141004, 0.0190522260641841, 5.1903357789795]|277244.2457833936205134|      0.12500000|[684, 44, 7, 56]                                                           |  | used linear model with 104 points | iterate success | actual_k=1
       8|[0.6045971426333073, 0.0352069745623749, 1.8936004378772748, 0.6481592428829678, 0.0321327991854676, 2.0184327994294, 1.30384917040145, 0.0316993623099451, 2.1200784486941107, -0.0159647816690942, 0.0137761020985941, 2.1555948564210907, 1.2356027697091678, 0.0330483075282275, 2.215994009138792, 0.2313709444193826, 0.0214947474568005, 2.2823181412504074, 1.3361655334769078, 0.036278065207013, 2.386317758026021, 4.502508697259663, 0.0690629620879531, 2.4803649127180556, 0.658247596289337, 0.0213254398929895, 2.553762157274779, 4.391421029945485, 0.0637535588708976, 2.7025680085736794, 0.2217444336999689, 0.0188114410640894, 2.9488465211596524, 0.2331765567665878, 0.032313674661342, 2.9713785577119585, 0.7149259802778387, 0.0212527718492925, 3.129549533529201, 0.1965449575706482, 0.0266251565725825, 3.2227099683768072, -0.0712127184053576, 0.0209193763146853, 3.2445546492120676, 1.3741310467384, 0.0386536118234393, 3.380164349029312, 0.2473800991475814, 0.0203678275215477, 3.6639596388313462, 0.0625896325838334, 0.0123549811432664, 3.727804139088806, 0.0260865940573729, 0.0144333079345014, 3.8428825156030646, 0.4157147690609519, 0.0227264527506825, 3.9684034439671665, 0.2523133886697722, 0.0204767151978948, 4.045767101859783, 0.8256252718581227, 0.0143130352752055, 4.166597687583113, 0.9609303970991472, 0.0313334233904285, 4.415821091657767, 0.7283174091706762, 0.0262287270139992, 4.552477672463801, 0.2256420027331016, 0.0208016274905007, 4.601619191707044, 0.5067734231276633, 0.0225933739403675, 4.712282439308568, 0.04544876203839, 0.0181033312754566, 4.800828820968412, 0.3683330995099808, 0.0253730599555029, 4.961921098180988, 0.1556411274263601, 0.0155081546875754, 5.390956452513499, 0.2780954588779009, 0.01927478579126, 5.420511350500577, 0.0990606882098769, 0.0145290272239131, 2.5816375931496465, -0.0032908818349924, 0.0249404087662686, 3.871156259411142, 0.1469379434141004, 0.0190522260641841, 5.1903357789795]|277244.2457833936205134|      0.06250000|[782, 50, 8, 64]                                                           |  | used linear model with 104 points | iterate failure | actual_k=1
       9|[0.606345055553838, 0.0312799508019215, 1.8916026463780036, 0.6598884457135825, 0.0263174142344306, 2.0141401131593373, 1.2973851861979606, 0.0338737300266338, 2.116283034405016, -0.0177182591003993, 0.0056562940173871, 2.1553084816588477, 1.235388807336085, 0.0315927867627964, 2.211549452624332, 0.2244174239267261, 0.0240578612718235, 2.2849400465350294, 1.3226818161672278, 0.03901036635028, 2.379439359245652, 4.4968318064778385, 0.0823767797229331, 2.4798746519710506, 0.6555383457442456, 0.0270872499690385, 2.5613896206638604, 4.39956387966425, 0.0792358093951512, 2.705487086387401, 0.230520892994358, 0.0200370323776874, 2.941718771103103, 0.2363805942458319, 0.0468450263329373, 2.9658674563376275, 0.7137042873649996, 0.0257800114477124, 3.13185555294245, 0.1973781189115734, 0.0306518184786044, 3.2210737004022834, -0.0737737005536921, 0.0189295736289824, 3.232392693796899, 1.3815450986976612, 0.0506933271571096, 3.383121459615709, 0.2452875443751078, 0.0234148784789345, 3.664367264152825, 0.0676094283130864, 0.0144019636930544, 3.724700280000208, 0.0267289079806182, 0.022657980551867, 3.8400659209158934, 0.4143819641620877, 0.0198351630514346, 3.975321564780061, 0.2500012927205039, 0.0277426755248085, 4.042997205536716, 0.826715192886005, 0.0405053917298907, 4.176439727975454, 0.9642944459975986, 0.0339002019042683, 4.41775858721671, 0.7300657060031339, 0.0188889790632122, 4.546374467436824, 0.2211208357732004, 0.0123724013168196, 4.592078216029166, 0.5035372341985753, 0.0305485209869745, 4.717862563176435, 0.0496103861191031, 0.016967952182292, 4.803712831788343, 0.3635964852568238, 0.0209798568283974, 4.965858305024864, 0.1513078943974955, 0.0281865260551413, 5.392506800942383, 0.2762251519818364, 0.0171427896024849, 5.4216320967878175, 0.0970281943628771, 0.0125784576495434, 2.5905237297800014, -0.0025514671800916, 0.0279313975973093, 3.871556548741102, 0.1483965124788774, 0.0172088772474572, 5.187489036771226]|255736.4657665530976374|      0.12500000|[879, 57, 9, 72]                                                           |  | used linear model with 104 points | iterate success | actual_k=1
      10|[0.606345055553838, 0.0312799508019215, 1.8916026463780036, 0.6598884457135825, 0.0263174142344306, 2.0141401131593373, 1.2973851861979606, 0.0338737300266338, 2.116283034405016, -0.0177182591003993, 0.0056562940173871, 2.1553084816588477, 1.235388807336085, 0.0315927867627964, 2.211549452624332, 0.2244174239267261, 0.0240578612718235, 2.2849400465350294, 1.3226818161672278, 0.03901036635028, 2.379439359245652, 4.4968318064778385, 0.0823767797229331, 2.4798746519710506, 0.6555383457442456, 0.0270872499690385, 2.5613896206638604, 4.39956387966425, 0.0792358093951512, 2.705487086387401, 0.230520892994358, 0.0200370323776874, 2.941718771103103, 0.2363805942458319, 0.0468450263329373, 2.9658674563376275, 0.7137042873649996, 0.0257800114477124, 3.13185555294245, 0.1973781189115734, 0.0306518184786044, 3.2210737004022834, -0.0737737005536921, 0.0189295736289824, 3.232392693796899, 1.3815450986976612, 0.0506933271571096, 3.383121459615709, 0.2452875443751078, 0.0234148784789345, 3.664367264152825, 0.0676094283130864, 0.0144019636930544, 3.724700280000208, 0.0267289079806182, 0.022657980551867, 3.8400659209158934, 0.4143819641620877, 0.0198351630514346, 3.975321564780061, 0.2500012927205039, 0.0277426755248085, 4.042997205536716, 0.826715192886005, 0.0405053917298907, 4.176439727975454, 0.9642944459975986, 0.0339002019042683, 4.41775858721671, 0.7300657060031339, 0.0188889790632122, 4.546374467436824, 0.2211208357732004, 0.0123724013168196, 4.592078216029166, 0.5035372341985753, 0.0305485209869745, 4.717862563176435, 0.0496103861191031, 0.016967952182292, 4.803712831788343, 0.3635964852568238, 0.0209798568283974, 4.965858305024864, 0.1513078943974955, 0.0281865260551413, 5.392506800942383, 0.2762251519818364, 0.0171427896024849, 5.4216320967878175, 0.0970281943628771, 0.0125784576495434, 2.5905237297800014, -0.0025514671800916, 0.0279313975973093, 3.871556548741102, 0.1483965124788774, 0.0172088772474572, 5.187489036771226]|255736.4657665530976374|      0.06250000|[976, 64, 10, 80]                                                          |  | used linear model with 104 points | iterate failure | actual_k=1
      11|[0.6064727067875836, 0.0387038423650793, 1.890006349544991, 0.6574481082914029, 0.0264735145117033, 2.0073599277637917, 1.2944850779658568, 0.0458617632677825, 2.1121518040332212, -0.0186656730298928, 0.0141229250218354, 2.1616802378078077, 1.235998305832711, 0.0447399692703588, 2.20875453616504, 0.2202712954323207, 0.0170336869206004, 2.2854661466876394, 1.3191389113361984, 0.0484134040500651, 2.3725086122992765, 4.487174457211912, 0.0971736091661861, 2.482919009601335, 0.6502364210739868, 0.0311299888062451, 2.5581890848383124, 4.400672060930167, 0.0999998916643734, 2.722606768024386, 0.230676602285038, 0.0212445362216445, 2.93948721091022, 0.2357334206682925, 0.042473742488152, 2.959032487391763, 0.7157981789218058, 0.0372956581268756, 3.124538926533349, 0.1983762360257171, 0.0287809516547642, 3.2225618737760406, -0.0767071180037418, 0.0181459368469483, 3.2281974912232574, 1.3822023081345316, 0.0569854121150439, 3.383609515795624, 0.2536783021277222, 0.0236182661849072, 3.6636365981081096, 0.0692904435753368, 0.0176014015937685, 3.7232342835854313, 0.0274266071637703, 0.0279390566780008, 3.8408768247104987, 0.4096441188814335, 0.0261400994709286, 3.9761075652369415, 0.2453732691527657, 0.0245941543868695, 4.0388632323818365, 0.8233468051701315, 0.0435246928383531, 4.179163887142995, 0.9572274292855628, 0.0397914812369301, 4.424172149004411, 0.7390188850114789, 0.0421838266512714, 4.544738352980853, 0.2186251949766405, 0.0153165281903346, 4.59662367308172, 0.5010884496041891, 0.0399161577523126, 4.718789016351805, 0.0418558562676335, 0.0111846100789197, 4.7997406444811865, 0.3588746935263595, 0.0248539275502112, 4.969434735063683, 0.1554731556232866, 0.0272078061144587, 5.389809337820511, 0.2646881299118254, 0.024452236902766, 5.418397873802071, 0.0950974575854368, 0.0183131256698048, 2.5958622390292083, -0.0030851565943093, 0.0307455407432273, 3.865189094374713, 0.1464690631861834, 0.0117413198884031, 5.183819238998411]|231851.0977634074806701|      0.12500000|[1073, 71, 11, 88]                                                         |  | used linear model with 104 points | iterate success | actual_k=1
