k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[31, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[19.98711089666156, 1.991613116151206, 2.117828135244156, 2.0338615613498257, 0.6844929890125084]|4783.8989257812500000|      1.00000000|[61, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       3|[19.98711089666156, 1.991613116151206, 2.117828135244156, 2.0338615613498257, 0.6844929890125084]|4783.8989257812500000|      0.50000000|[91, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[20.117968832438116, 2.0272681016157263, 2.0061663809598027, 2.4970947690058027, 0.6170276600596453]|4034.8825683593750000|      1.00000000|[121, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | iterate success | actual_k=1
       5|[20.117968832438116, 2.0272681016157263, 2.0061663809598027, 2.4970947690058027, 0.6170276600596453]|4034.8825683593750000|      0.50000000|[151, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[20.117968832438116, 2.0272681016157263, 2.0061663809598027, 2.4970947690058027, 0.6170276600596453]|4034.8825683593750000|      0.25000000|[181, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[20.117968832438116, 2.0272681016157263, 2.0061663809598027, 2.4970947690058027, 0.6170276600596453]|4034.8825683593750000|      0.12500000|[211, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[20.146546279911732, 2.1307052598961773, 2.023142574384253, 2.500013397845768, 0.5552832332239555]|3599.4541015625000000|      0.25000000|[241, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       9|[20.146546279911732, 2.1307052598961773, 2.023142574384253, 2.500013397845768, 0.5552832332239555]|3599.4541015625000000|      0.12500000|[271, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[20.162190451836633, 2.219424504309294, 1.9493136750685283, 2.506612124044209, 0.5103955289616918]|3482.5847167968750000|      0.25000000|[301, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      11|[20.162190451836633, 2.219424504309294, 1.9493136750685283, 2.506612124044209, 0.5103955289616918]|3482.5847167968750000|      0.12500000|[331, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[20.162190451836633, 2.219424504309294, 1.9493136750685283, 2.506612124044209, 0.5103955289616918]|3482.5847167968750000|      0.06250000|[361, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
