k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.419950959040856, -0.5074015003921302, -0.5533956303824882, -0.236403668304935, -0.028816250302941, -0.0204597390241496, -0.0035086255352877]|630505.8854993468848988|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[10.36860350313854, 0.2596824622881219, -1.4341690767796167, -1.184493546203502, 0.013851882840425, -0.5155524910399933, -0.7716667223091196]|45749.2600052522248006|      4.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[10.36860350313854, 0.2596824622881219, -1.4341690767796167, -1.184493546203502, 0.013851882840425, -0.5155524910399933, -0.7716667223091196]|45749.2600052522248006|      2.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[9.729828998863281, -0.3809469309865915, -0.3763906716618688, -2.1446649694213953, -0.4424039975296273, -1.455435278474799, -0.9934497567688729]|42177.6097953111384413|      4.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[11.528215409253733, -1.307436621144069, -1.6305078665637645, -5.3471232354423375, -0.5975325364532287, -1.2411510581111163, -1.0877455579211335]|28266.4427163665677654|      8.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       6|[10.457739122456637, -2.451845447513721, -8.576948653880244, -5.992146897231619, -4.111221066804718, -1.8905080979360662, -0.7596568990552135]|17245.6469077276451571|     16.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[10.457739122456637, -2.451845447513721, -8.576948653880244, -5.992146897231619, -4.111221066804718, -1.8905080979360662, -0.7596568990552135]|17245.6469077276451571|      8.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[10.457739122456637, -2.451845447513721, -8.576948653880244, -5.992146897231619, -4.111221066804718, -1.8905080979360662, -0.7596568990552135]|17245.6469077276451571|      4.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[10.457739122456637, -2.451845447513721, -8.576948653880244, -5.992146897231619, -4.111221066804718, -1.8905080979360662, -0.7596568990552135]|17245.6469077276451571|      2.00000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[10.457739122456637, -2.451845447513721, -8.576948653880244, -5.992146897231619, -4.111221066804718, -1.8905080979360662, -0.7596568990552135]|17245.6469077276451571|      1.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[10.457739122456637, -2.451845447513721, -8.576948653880244, -5.992146897231619, -4.111221066804718, -1.8905080979360662, -0.7596568990552135]|17245.6469077276451571|      0.50000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[10.615004773563454, -2.4620827612591665, -8.51345478919182, -5.844928855204776, -4.080459978944852, -2.0027676637432896, -0.3284845031433368]|8155.1694091542885872|      1.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[10.615004773563454, -2.4620827612591665, -8.51345478919182, -5.844928855204776, -4.080459978944852, -2.0027676637432896, -0.3284845031433368]|8155.1694091542885872|      0.50000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[10.615004773563454, -2.4620827612591665, -8.51345478919182, -5.844928855204776, -4.080459978944852, -2.0027676637432896, -0.3284845031433368]|8155.1694091542885872|      0.25000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[10.615004773563454, -2.4620827612591665, -8.51345478919182, -5.844928855204776, -4.080459978944852, -2.0027676637432896, -0.3284845031433368]|8155.1694091542885872|      0.12500000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[10.572343690064613, -2.4767860476463253, -8.462402061106635, -5.870371849364012, -4.155108166338422, -1.971551485899841, -0.3900338060402503]|6633.1555573508021553|      0.25000000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      17|[10.572343690064613, -2.4767860476463253, -8.462402061106635, -5.870371849364012, -4.155108166338422, -1.971551485899841, -0.3900338060402503]|6633.1555573508021553|      0.12500000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      18|[10.572343690064613, -2.4767860476463253, -8.462402061106635, -5.870371849364012, -4.155108166338422, -1.971551485899841, -0.3900338060402503]|6633.1555573508021553|      0.06250000|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      19|[10.572343690064613, -2.4767860476463253, -8.462402061106635, -5.870371849364012, -4.155108166338422, -1.971551485899841, -0.3900338060402503]|6633.1555573508021553|      0.03125000|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      20|[10.572343690064613, -2.4767860476463253, -8.462402061106635, -5.870371849364012, -4.155108166338422, -1.971551485899841, -0.3900338060402503]|6633.1555573508021553|      0.01562500|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      21|[10.579905927984125, -2.48306385575083, -8.46359367076268, -5.873063390147349, -4.149052757105671, -1.9802042382686762, -0.3952625609741204]|6631.8460442012465137|      0.03125000|[147, 42, 21, 63]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
