k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[1.1382271468124106, -1.1438892311905933, -1.3271459681319673, -1.1608933276262368, -1.0121852873267814, -1.1328863049229667, -1.1791229258023253, -1.0806382003907664, -1.1441407997818036, -0.9896736087361571]|  0.6600780978679796|      1.00000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
       3|[1.1382271468124106, -1.1438892311905933, -1.3271459681319673, -1.1608933276262368, -1.0121852873267814, -1.1328863049229667, -1.1791229258023253, -1.0806382003907664, -1.1441407997818036, -0.9896736087361571]|  0.6600780978679796|      0.50000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[1.1382271468124106, -1.1438892311905933, -1.3271459681319673, -1.1608933276262368, -1.0121852873267814, -1.1328863049229667, -1.1791229258023253, -1.0806382003907664, -1.1441407997818036, -0.9896736087361571]|  0.6600780978679796|      0.25000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       5|[1.1382271468124106, -1.1438892311905933, -1.3271459681319673, -1.1608933276262368, -1.0121852873267814, -1.1328863049229667, -1.1791229258023253, -1.0806382003907664, -1.1441407997818036, -0.9896736087361571]|  0.6600780978679796|      0.12500000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       6|[1.1791601418351414, -1.15128559747415, -1.2583964214186623, -1.154221918452546, -1.0270250749227077, -1.1062866962386373, -1.151081732307787, -1.032556455962219, -1.1472931718307198, -1.0610032463571635]|  0.2166553708754586|      0.25000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       7|[1.1791601418351414, -1.15128559747415, -1.2583964214186623, -1.154221918452546, -1.0270250749227077, -1.1062866962386373, -1.151081732307787, -1.032556455962219, -1.1472931718307198, -1.0610032463571635]|  0.2166553708754586|      0.12500000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[1.1791601418351414, -1.15128559747415, -1.2583964214186623, -1.154221918452546, -1.0270250749227077, -1.1062866962386373, -1.151081732307787, -1.032556455962219, -1.1472931718307198, -1.0610032463571635]|  0.2166553708754586|      0.06250000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[1.188414213451931, -1.1482192686420156, -1.204806464046595, -1.1459708817301146, -1.0341543026291486, -1.127245704179376, -1.1596214651830172, -1.046592500195875, -1.1485513335223945, -1.0505332797780578]|  0.0659414177121247|      0.12500000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
      10|[1.188414213451931, -1.1482192686420156, -1.204806464046595, -1.1459708817301146, -1.0341543026291486, -1.127245704179376, -1.1596214651830172, -1.046592500195875, -1.1485513335223945, -1.0505332797780578]|  0.0659414177121247|      0.06250000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[1.1919119693662488, -1.1431092912549399, -1.190569047662188, -1.154015052486662, -1.0780338764504234, -1.1559736998117824, -1.15512642090979, -1.040534701906041, -1.173869127862965, -1.0628573757287427]|  0.0175563085252343|      0.12500000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
