k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]                              | 51.0855557048649089|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3053032808601111, -0.0664952220687551, 0.782067374985517, 0.7574426516066186, 0.3088559541869138, 0.1690591697280175, 0.8929064986818732, 1.3076309380871427, 0.9971017531565504, 0.9900113153371952]| 29.6583452769100937|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[0.3053032808601111, -0.0664952220687551, 0.782067374985517, 0.7574426516066186, 0.3088559541869138, 0.1690591697280175, 0.8929064986818732, 1.3076309380871427, 0.9971017531565504, 0.9900113153371952]| 29.6583452769100937|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.3053032808601111, -0.0664952220687551, 0.782067374985517, 0.7574426516066186, 0.3088559541869138, 0.1690591697280175, 0.8929064986818732, 1.3076309380871427, 0.9971017531565504, 0.9900113153371952]| 29.6583452769100937|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.3053032808601111, -0.0664952220687551, 0.782067374985517, 0.7574426516066186, 0.3088559541869138, 0.1690591697280175, 0.8929064986818732, 1.3076309380871427, 0.9971017531565504, 0.9900113153371952]| 29.6583452769100937|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.3549533451992299, -0.1883220909586651, 0.7736579207615106, 0.8766359687108392, 0.2590647529744931, 0.2658653818491916, 0.9310221215118648, 1.3770328400972125, 0.9227254022503303, 1.07523717210065]| 15.5481600806906499|      0.50000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       6|[0.3549533451992299, -0.1883220909586651, 0.7736579207615106, 0.8766359687108392, 0.2590647529744931, 0.2658653818491916, 0.9310221215118648, 1.3770328400972125, 0.9227254022503303, 1.07523717210065]| 15.5481600806906499|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.3295158125798727, -0.304575703249631, 0.8313508676787095, 0.7868471867649968, 0.3385551546049034, 0.3235232909797178, 0.9244681268397416, 1.4801943868070209, 0.9672432146812564, 0.9542525679139731]|  5.1385087024024276|      0.50000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[0.3295158125798727, -0.304575703249631, 0.8313508676787095, 0.7868471867649968, 0.3385551546049034, 0.3235232909797178, 0.9244681268397416, 1.4801943868070209, 0.9672432146812564, 0.9542525679139731]|  5.1385087024024276|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[0.3295158125798727, -0.304575703249631, 0.8313508676787095, 0.7868471867649968, 0.3385551546049034, 0.3235232909797178, 0.9244681268397416, 1.4801943868070209, 0.9672432146812564, 0.9542525679139731]|  5.1385087024024276|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[0.3295158125798727, -0.304575703249631, 0.8313508676787095, 0.7868471867649968, 0.3385551546049034, 0.3235232909797178, 0.9244681268397416, 1.4801943868070209, 0.9672432146812564, 0.9542525679139731]|  5.1385087024024276|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[0.3295158125798727, -0.304575703249631, 0.8313508676787095, 0.7868471867649968, 0.3385551546049034, 0.3235232909797178, 0.9244681268397416, 1.4801943868070209, 0.9672432146812564, 0.9542525679139731]|  5.1385087024024276|      0.03125000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[0.3423038223089755, -0.3088393770716105, 0.8405669659890757, 0.803024625883543, 0.3269357020236482, 0.3336202305296065, 0.9157847189113449, 1.4727872909753983, 0.9660620697197633, 0.9453316500062942]|  4.5375091125815894|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      13|[0.3423038223089755, -0.3088393770716105, 0.8405669659890757, 0.803024625883543, 0.3269357020236482, 0.3336202305296065, 0.9157847189113449, 1.4727872909753983, 0.9660620697197633, 0.9453316500062942]|  4.5375091125815894|      0.03125000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[0.3511848846036935, -0.3167938350146544, 0.842689984476492, 0.8083592646892294, 0.3404012420660709, 0.3385736108280697, 0.9045169444212566, 1.4666563030248048, 0.962952694185263, 0.9658590350376368]|  4.2070115276953519|      0.06250000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      15|[0.3511848846036935, -0.3167938350146544, 0.842689984476492, 0.8083592646892294, 0.3404012420660709, 0.3385736108280697, 0.9045169444212566, 1.4666563030248048, 0.962952694185263, 0.9658590350376368]|  4.2070115276953519|      0.03125000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[0.3511848846036935, -0.3167938350146544, 0.842689984476492, 0.8083592646892294, 0.3404012420660709, 0.3385736108280697, 0.9045169444212566, 1.4666563030248048, 0.962952694185263, 0.9658590350376368]|  4.2070115276953519|      0.01562500|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[0.3511848846036935, -0.3167938350146544, 0.842689984476492, 0.8083592646892294, 0.3404012420660709, 0.3385736108280697, 0.9045169444212566, 1.4666563030248048, 0.962952694185263, 0.9658590350376368]|  4.2070115276953519|      0.00781250|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[0.3477408192809554, -0.3199554007179486, 0.8443070109374737, 0.8088410738697205, 0.3434692127973098, 0.3409727988330524, 0.9026969427587728, 1.462926236180851, 0.9610390810439322, 0.9653347350404271]|  4.1368217934003244|      0.01562500|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
