k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.06250000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.03125000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.01562500|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00781250|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.4963365068407398, 1.4972188730117373, -1.0010294890369502, 0.016115857251322, 0.0188101474034727]|  0.2346298965696834|      0.01562500|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[0.4963365068407398, 1.4972188730117373, -1.0010294890369502, 0.016115857251322, 0.0188101474034727]|  0.2346298965696834|      0.00781250|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[0.4963365068407398, 1.4972188730117373, -1.0010294890369502, 0.016115857251322, 0.0188101474034727]|  0.2346298965696834|      0.00390625|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[0.4963365068407398, 1.4972188730117373, -1.0010294890369502, 0.016115857251322, 0.0188101474034727]|  0.2346298965696834|      0.00195312|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[0.4962629777326326, 1.4973971884343797, -1.0008818362042764, 0.0145497476033456, 0.0199516348354895]|  0.1458946307348944|      0.00390625|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      13|[0.4962629777326326, 1.4973971884343797, -1.0008818362042764, 0.0145497476033456, 0.0199516348354895]|  0.1458946307348944|      0.00195312|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[0.4962629777326326, 1.4973971884343797, -1.0008818362042764, 0.0145497476033456, 0.0199516348354895]|  0.1458946307348944|      0.00097656|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[0.4962629777326326, 1.4973971884343797, -1.0008818362042764, 0.0145497476033456, 0.0199516348354895]|  0.1458946307348944|      0.00048828|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[0.4961904449088765, 1.4974116823657626, -1.0009679795933115, 0.014260825273814, 0.020328530973114]|  0.1449237685063183|      0.00097656|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      17|[0.4961904449088765, 1.4974116823657626, -1.0009679795933115, 0.014260825273814, 0.020328530973114]|  0.1449237685063183|      0.00048828|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[0.4960490220954765, 1.4974327067092672, -1.000980581586886, 0.0147122859274644, 0.0204468551544771]|  0.1422375733436582|      0.00097656|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      19|[0.4962915720072234, 1.4971201669172949, -1.001173983367782, 0.0146819653744432, 0.0213179688958235]|  0.1382870618987231|      0.00195312|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      20|[0.4962915720072234, 1.4971201669172949, -1.001173983367782, 0.0146819653744432, 0.0213179688958235]|  0.1382870618987231|      0.00097656|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[0.4962915720072234, 1.4971201669172949, -1.001173983367782, 0.0146819653744432, 0.0213179688958235]|  0.1382870618987231|      0.00048828|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[0.49620760763139, 1.4973264073835584, -1.0013603694574549, 0.0150679867717199, 0.0213892510057028]|  0.1371377886449423|      0.00097656|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[0.4955605488566363, 1.4967491823841763, -1.001337640126414, 0.0146708819901933, 0.0215980373283107]|  0.1358120836005019|      0.00195312|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      24|[0.4955605488566363, 1.4967491823841763, -1.001337640126414, 0.0146708819901933, 0.0215980373283107]|  0.1358120836005019|      0.00097656|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[0.4955605488566363, 1.4967491823841763, -1.001337640126414, 0.0146708819901933, 0.0215980373283107]|  0.1358120836005019|      0.00048828|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
