k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[19.794983240890854, 2.0498870230057977, 2.656535759370246, 2.1522765674562407, 0.9079915656926154]|9050.8782130371910171|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[19.794983240890854, 2.0498870230057977, 2.656535759370246, 2.1522765674562407, 0.9079915656926154]|9050.8782130371910171|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[19.794983240890854, 2.0498870230057977, 2.656535759370246, 2.1522765674562407, 0.9079915656926154]|9050.8782130371910171|      0.50000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[19.73242249193822, 2.101840187967421, 2.7934493615898517, 2.0875414816931226, 0.4384694090914077]|4476.8712103988209492|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[19.73242249193822, 2.101840187967421, 2.7934493615898517, 2.0875414816931226, 0.4384694090914077]|4476.8712103988209492|      0.50000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[19.73242249193822, 2.101840187967421, 2.7934493615898517, 2.0875414816931226, 0.4384694090914077]|4476.8712103988209492|      0.25000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[19.73242249193822, 2.101840187967421, 2.7934493615898517, 2.0875414816931226, 0.4384694090914077]|4476.8712103988209492|      0.12500000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[19.734827344870666, 2.0919153746146173, 2.7942918670909123, 2.0923990425275254, 0.5629539826316905]|3665.7579945178508751|      0.25000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       9|[19.734827344870666, 2.0919153746146173, 2.7942918670909123, 2.0923990425275254, 0.5629539826316905]|3665.7579945178508751|      0.12500000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[19.734827344870666, 2.0919153746146173, 2.7942918670909123, 2.0923990425275254, 0.5629539826316905]|3665.7579945178508751|      0.06250000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[19.73265067908133, 2.1476286039120214, 2.8079849991737014, 2.1110756893568055, 0.5791165691905935]|3565.0677501884924823|      0.12500000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      12|[19.73265067908133, 2.1476286039120214, 2.8079849991737014, 2.1110756893568055, 0.5791165691905935]|3565.0677501884924823|      0.06250000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[19.73799551971042, 2.1669753700536236, 2.8084993597083647, 2.116620859052364, 0.5201897345157223]|3517.4497141444890076|      0.12500000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[19.73799551971042, 2.1669753700536236, 2.8084993597083647, 2.116620859052364, 0.5201897345157223]|3517.4497141444890076|      0.06250000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[19.74206984919698, 2.209601143061175, 2.804732184010469, 2.1214960992076466, 0.5652977574765343]|3403.0242795476001447|      0.12500000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      16|[19.74206984919698, 2.209601143061175, 2.804732184010469, 2.1214960992076466, 0.5652977574765343]|3403.0242795476001447|      0.06250000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[19.74206984919698, 2.209601143061175, 2.804732184010469, 2.1214960992076466, 0.5652977574765343]|3403.0242795476001447|      0.03125000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
