k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[10, 0, 1, 4]                                                              |  | used linear model with 10 points | iterate failure | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.25000000|[20, 0, 2, 8]                                                              |  | used linear model with 10 points | iterate failure | actual_k=0
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.12500000|[30, 0, 3, 12]                                                             |  | used linear model with 10 points | iterate failure | actual_k=0
       4|[0.0236222365327449, 0.0194691027799516, -0.0353041905171644, -0.0075774629161036, 0.1143344971311658, 0.0108527362386691, -0.0070541584210325, -0.0104666821541307, 0.0058879929832044]|557364.4922474744962528|      0.25000000|[40, 0, 4, 16]                                                             |  | used linear model with 10 points | iterate success | actual_k=0
       5|[0.1000171437894116, 0.0212795598532566, -0.0447109545974441, -0.1137003299546094, 0.3143882531241888, -0.0025078193636615, 0.0483409725273415, -0.0426236947884751, -0.0258497848883598]|228979.8058775604877155|      0.50000000|[50, 0, 5, 20]                                                             |  | used linear model with 10 points | iterate success | actual_k=0
       6|[0.1000171437894116, 0.0212795598532566, -0.0447109545974441, -0.1137003299546094, 0.3143882531241888, -0.0025078193636615, 0.0483409725273415, -0.0426236947884751, -0.0258497848883598]|228979.8058775604877155|      0.25000000|[60, 0, 6, 24]                                                             |  | used linear model with 10 points | iterate failure | actual_k=0
       7|[0.1677689134901271, 0.0953153269596817, 0.0182837644256072, -0.0279274410752217, 0.4419380287110121, -0.1117511719257949, 0.0134728792640432, -0.130872452529344, -0.088270913506699]|124182.4329064465855481|      0.50000000|[70, 0, 7, 28]                                                             |  | used linear model with 10 points | iterate success | actual_k=0
       8|[0.1677689134901271, 0.0953153269596817, 0.0182837644256072, -0.0279274410752217, 0.4419380287110121, -0.1117511719257949, 0.0134728792640432, -0.130872452529344, -0.088270913506699]|124182.4329064465855481|      0.25000000|[80, 0, 8, 32]                                                             |  | used linear model with 10 points | iterate failure | actual_k=0
       9|[0.1445948226373261, -0.0349720421294717, 0.0630209442570393, 0.0990438196944666, 0.5268529105628776, -0.0618880699635325, -0.0604922477145966, -0.0239392462745726, -0.0720650521549628]|69834.8253126222116407|      0.50000000|[90, 0, 9, 36]                                                             |  | used linear model with 10 points | iterate success | actual_k=0
      10|[0.1445948226373261, -0.0349720421294717, 0.0630209442570393, 0.0990438196944666, 0.5268529105628776, -0.0618880699635325, -0.0604922477145966, -0.0239392462745726, -0.0720650521549628]|69834.8253126222116407|      0.25000000|[100, 0, 10, 40]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      11|[0.1445948226373261, -0.0349720421294717, 0.0630209442570393, 0.0990438196944666, 0.5268529105628776, -0.0618880699635325, -0.0604922477145966, -0.0239392462745726, -0.0720650521549628]|69834.8253126222116407|      0.12500000|[110, 0, 11, 44]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
