k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.50000000|[43, 6, 1, 4]                                                              |  | used linear model with 49 points | iterate failure | actual_k=2
       2|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.25000000|[86, 12, 2, 8]                                                             |  | used linear model with 49 points | iterate failure | actual_k=2
       3|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.12500000|[129, 18, 3, 12]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
       4|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.06250000|[172, 24, 4, 16]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
       5|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.03125000|[215, 30, 5, 20]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
       6|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.01562500|[258, 36, 6, 24]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
       7|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00781250|[301, 42, 7, 28]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
       8|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00390625|[344, 48, 8, 32]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
       9|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00195312|[387, 54, 9, 36]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
      10|[107.46993412718405, 0.0937172834399747, 0.9087415855257005, 102.39998028665023, 0.1816136178617023, 0.8180898329114502, 97.44000614276095, 0.2839255132906993, 0.7160510773416777, 96.29983928117774, 0.3051039150197753, 0.6949979139614786, 93.99024757791416, 0.3565625986283618, 0.6434339411461331, 89.71996844236753, 0.4680502898831952, 0.5321652381902726, 83.71000947096834, 0.6577742817473186, 0.342025494925417, 78.30986209045902, 0.8762826362759212, 0.1236034102883594, 886.369877267492, 910.0099240529291, 922.5198407241794, 926.4600688770734, 935.5598702406351, 952.8300728135195, 975.7302636197037]|  0.5374893681737051|      0.00390625|[430, 60, 10, 40]                                                          |  | used linear model with 49 points | iterate success | actual_k=2
      11|[107.46993412718405, 0.0937172834399747, 0.9087415855257005, 102.39998028665023, 0.1816136178617023, 0.8180898329114502, 97.44000614276095, 0.2839255132906993, 0.7160510773416777, 96.29983928117774, 0.3051039150197753, 0.6949979139614786, 93.99024757791416, 0.3565625986283618, 0.6434339411461331, 89.71996844236753, 0.4680502898831952, 0.5321652381902726, 83.71000947096834, 0.6577742817473186, 0.342025494925417, 78.30986209045902, 0.8762826362759212, 0.1236034102883594, 886.369877267492, 910.0099240529291, 922.5198407241794, 926.4600688770734, 935.5598702406351, 952.8300728135195, 975.7302636197037]|  0.5374893681737051|      0.00195312|[473, 66, 11, 44]                                                          |  | used linear model with 49 points | iterate failure | actual_k=2
