k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 5.0, -5.0, -1.0]                                                         |7926693.3369958801195025|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.46049968803844, 4.170256598422697, -4.884542845993854, -0.9155313873613116] |6049248.0089204553514719|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[23.389893326501088, 2.5264138861672474, -4.589030267795201, -0.662044756300062]|3645105.7581763546913862|      4.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[20.85640618327963, -0.143575253244808, -3.3413865290099922, 0.2845206094424886]|2907158.9498927765525877|      8.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[20.85640618327963, -0.143575253244808, -3.3413865290099922, 0.2845206094424886]|2907158.9498927765525877|      4.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[21.140991916380163, 2.538070820816122, -1.2663583213233536, 2.387386090469273] |2332372.2961773308925331|      8.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       6|[15.616573030930681, 3.320978465788781, -3.0731765489809693, 7.828273838781736] |1420825.1603496596217155|     16.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[15.616573030930681, 3.320978465788781, -3.0731765489809693, 7.828273838781736] |1420825.1603496596217155|      8.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[15.616573030930681, 3.320978465788781, -3.0731765489809693, 7.828273838781736] |1420825.1603496596217155|      4.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[15.616573030930681, 3.320978465788781, -3.0731765489809693, 7.828273838781736] |1420825.1603496596217155|      2.00000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[14.263397343417324, 3.4688908929116926, -4.484347059314839, 7.433767484727189] |1318357.1628380084875971|      4.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      11|[14.263397343417324, 3.4688908929116926, -4.484347059314839, 7.433767484727189] |1318357.1628380084875971|      2.00000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[13.913073043427566, 5.330017396690286, -4.581670715612756, 6.798150361220937]  |1207654.2940311625134200|      4.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[12.97850776901987, 4.685371412356268, -0.761332992920102, 6.457505403347194]   |1026342.5019061358179897|      8.00000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[6.294740864879553, 7.863766591625007, 0.3340155294839846, 3.624613652858484]   |509100.3022938549402170|     16.00000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
