k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.25000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[1.4273632061394668, 0.5319832964742705, 0.7175664165677551, 0.7307316722400214, 0.5491241293300494, 3.06624273731514, 5.004923739853787, 6.889660200654603, 2.0433971547970025, 4.573486848856718, 5.519540114835811]|  2.4470904198571821|      0.50000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       4|[1.4273632061394668, 0.5319832964742705, 0.7175664165677551, 0.7307316722400214, 0.5491241293300494, 3.06624273731514, 5.004923739853787, 6.889660200654603, 2.0433971547970025, 4.573486848856718, 5.519540114835811]|  2.4470904198571821|      0.25000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       5|[1.4137262001368383, 0.399809400821314, 0.7500455900070384, 0.6299298598095083, 0.6233660031118125, 3.1166389091016735, 5.072306501170256, 6.880329720125339, 2.1203057793009505, 4.540043754163929, 5.637504896995598]|  1.9937798380629910|      0.50000000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       6|[1.4137262001368383, 0.399809400821314, 0.7500455900070384, 0.6299298598095083, 0.6233660031118125, 3.1166389091016735, 5.072306501170256, 6.880329720125339, 2.1203057793009505, 4.540043754163929, 5.637504896995598]|  1.9937798380629910|      0.25000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[1.4137262001368383, 0.399809400821314, 0.7500455900070384, 0.6299298598095083, 0.6233660031118125, 3.1166389091016735, 5.072306501170256, 6.880329720125339, 2.1203057793009505, 4.540043754163929, 5.637504896995598]|  1.9937798380629910|      0.12500000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[1.4371267288783363, 0.3531783344108925, 0.7679631375861284, 0.666087513368843, 0.5298928957316302, 3.1149594845079753, 5.05927375927362, 6.882506543432363, 2.149547584917418, 4.557971314932103, 5.671905923953295]|  1.4901239189357627|      0.25000000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
       9|[1.3898217481706145, 0.2242569424028573, 0.731385634922585, 0.7839353903449433, 0.4027999123410737, 3.1275476567333844, 5.079681989642779, 6.92087051356351, 2.1791967288350267, 4.577656155928975, 5.766507902768987]|  1.1841281071135563|      0.50000000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
      10|[1.3898217481706145, 0.2242569424028573, 0.731385634922585, 0.7839353903449433, 0.4027999123410737, 3.1275476567333844, 5.079681989642779, 6.92087051356351, 2.1791967288350267, 4.577656155928975, 5.766507902768987]|  1.1841281071135563|      0.25000000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[1.255451647997397, 0.2226158464819478, 0.6678963010407429, 0.7657692838937371, 0.4856904158443958, 3.0948946894780676, 5.130172133641094, 6.948030643681804, 2.3142684744054667, 4.668904093394211, 5.7186901409065625]|  0.9397885528448506|      0.50000000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
