k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.25000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.12500000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.06250000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.03125000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.01562500|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00781250|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00390625|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[0.4978352010021015, 1.4997256615224308, -1.0007782548333326, 0.011445985736603, 0.0172070414566525]|  0.3023556720465412|      0.00781250|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
      10|[0.4978352010021015, 1.4997256615224308, -1.0007782548333326, 0.011445985736603, 0.0172070414566525]|  0.3023556720465412|      0.00390625|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[0.4978352010021015, 1.4997256615224308, -1.0007782548333326, 0.011445985736603, 0.0172070414566525]|  0.3023556720465412|      0.00195312|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[0.4978866419788509, 1.4997672536851145, -1.0007858512701262, 0.0133150913265674, 0.0166442735015849]|  0.1749586385314317|      0.00390625|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[0.4978866419788509, 1.4997672536851145, -1.0007858512701262, 0.0133150913265674, 0.0166442735015849]|  0.1749586385314317|      0.00195312|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[0.4978866419788509, 1.4997672536851145, -1.0007858512701262, 0.0133150913265674, 0.0166442735015849]|  0.1749586385314317|      0.00097656|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[0.4978866419788509, 1.4997672536851145, -1.0007858512701262, 0.0133150913265674, 0.0166442735015849]|  0.1749586385314317|      0.00048828|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[0.4978866419788509, 1.4997672536851145, -1.0007858512701262, 0.0133150913265674, 0.0166442735015849]|  0.1749586385314317|      0.00024414|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[0.4978807600889689, 1.4997391008251246, -1.0007819050258981, 0.0132417952523439, 0.0168753353488923]|  0.1730253262359478|      0.00048828|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
