k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[33, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[65, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[119.97799111047686, -0.0120120540897344, 0.8291777441301, 110.00993141240508, 0.1585538713965255, 0.7367593729490792, 99.99887601727923, 0.2591208684040485, 0.745573055897983, 88.00538934800748, 0.3003877973348355, 0.7485118153491599, 85.97430735466821, 0.2903301803711601, 0.6338174188095893, 83.99474271951999, 0.5241152560741997, 0.5638697843393962, 80.0084517349564, 0.7057567937404233, 0.337856315356166, 76.0356392831729, 0.8718951250495824, 0.1881808358406603, 886.3919257364284, 909.9565975328529, 922.4903640351592, 926.4487230975142, 935.6175038676332, 952.8071619048766, 975.8192661463472]|1656.1546630859375000|      0.50000000|[97, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       4|[119.97799111047686, -0.0120120540897344, 0.8291777441301, 110.00993141240508, 0.1585538713965255, 0.7367593729490792, 99.99887601727923, 0.2591208684040485, 0.745573055897983, 88.00538934800748, 0.3003877973348355, 0.7485118153491599, 85.97430735466821, 0.2903301803711601, 0.6338174188095893, 83.99474271951999, 0.5241152560741997, 0.5638697843393962, 80.0084517349564, 0.7057567937404233, 0.337856315356166, 76.0356392831729, 0.8718951250495824, 0.1881808358406603, 886.3919257364284, 909.9565975328529, 922.4903640351592, 926.4487230975142, 935.6175038676332, 952.8071619048766, 975.8192661463472]|1656.1546630859375000|      0.25000000|[129, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[119.97799111047686, -0.0120120540897344, 0.8291777441301, 110.00993141240508, 0.1585538713965255, 0.7367593729490792, 99.99887601727923, 0.2591208684040485, 0.745573055897983, 88.00538934800748, 0.3003877973348355, 0.7485118153491599, 85.97430735466821, 0.2903301803711601, 0.6338174188095893, 83.99474271951999, 0.5241152560741997, 0.5638697843393962, 80.0084517349564, 0.7057567937404233, 0.337856315356166, 76.0356392831729, 0.8718951250495824, 0.1881808358406603, 886.3919257364284, 909.9565975328529, 922.4903640351592, 926.4487230975142, 935.6175038676332, 952.8071619048766, 975.8192661463472]|1656.1546630859375000|      0.12500000|[161, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[119.97799111047686, -0.0120120540897344, 0.8291777441301, 110.00993141240508, 0.1585538713965255, 0.7367593729490792, 99.99887601727923, 0.2591208684040485, 0.745573055897983, 88.00538934800748, 0.3003877973348355, 0.7485118153491599, 85.97430735466821, 0.2903301803711601, 0.6338174188095893, 83.99474271951999, 0.5241152560741997, 0.5638697843393962, 80.0084517349564, 0.7057567937404233, 0.337856315356166, 76.0356392831729, 0.8718951250495824, 0.1881808358406603, 886.3919257364284, 909.9565975328529, 922.4903640351592, 926.4487230975142, 935.6175038676332, 952.8071619048766, 975.8192661463472]|1656.1546630859375000|      0.06250000|[193, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[119.97460389304347, 0.0116794968428448, 0.8344348198476379, 110.00763021164883, 0.1335756651033241, 0.7304316036018419, 100.00634809068538, 0.235231563603241, 0.7326349938510999, 88.00843724694624, 0.3038495003607257, 0.7438845537305286, 85.99220567975443, 0.2971418794963206, 0.6451358957361666, 84.00128475507093, 0.5310131466470049, 0.5512227744116448, 80.0098638772815, 0.69833351704125, 0.3395640614905443, 76.03726707604051, 0.8860970935235776, 0.1702698293866405, 886.4038763386905, 909.9435262260519, 922.4899529528147, 926.4555408285742, 935.6108664453046, 952.8037170022284, 975.8265734603062]|1420.3962402343750000|      0.12500000|[225, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       8|[119.97460389304347, 0.0116794968428448, 0.8344348198476379, 110.00763021164883, 0.1335756651033241, 0.7304316036018419, 100.00634809068538, 0.235231563603241, 0.7326349938510999, 88.00843724694624, 0.3038495003607257, 0.7438845537305286, 85.99220567975443, 0.2971418794963206, 0.6451358957361666, 84.00128475507093, 0.5310131466470049, 0.5512227744116448, 80.0098638772815, 0.69833351704125, 0.3395640614905443, 76.03726707604051, 0.8860970935235776, 0.1702698293866405, 886.4038763386905, 909.9435262260519, 922.4899529528147, 926.4555408285742, 935.6108664453046, 952.8037170022284, 975.8265734603062]|1420.3962402343750000|      0.06250000|[257, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[119.96428467755604, -0.0095330860941898, 0.8319356925492226, 110.01485728652555, 0.1249654100254048, 0.7591946717398966, 100.0095401924716, 0.2202721150746669, 0.718620242447128, 87.99752125402783, 0.3014746763739866, 0.735334181946499, 85.99085205571392, 0.3041019477923255, 0.6392082239671294, 83.99810827900019, 0.5223923376200902, 0.5486453459890904, 80.01797261934306, 0.7075223722107675, 0.3527049486753083, 76.01970444808488, 0.8743943844133245, 0.1645992938026337, 886.4061498331241, 909.9453689977911, 922.4959630000095, 926.464181853444, 935.6003189389195, 952.7843538135161, 975.8399579573847]|1079.6109619140625000|      0.12500000|[289, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      10|[119.96428467755604, -0.0095330860941898, 0.8319356925492226, 110.01485728652555, 0.1249654100254048, 0.7591946717398966, 100.0095401924716, 0.2202721150746669, 0.718620242447128, 87.99752125402783, 0.3014746763739866, 0.735334181946499, 85.99085205571392, 0.3041019477923255, 0.6392082239671294, 83.99810827900019, 0.5223923376200902, 0.5486453459890904, 80.01797261934306, 0.7075223722107675, 0.3527049486753083, 76.01970444808488, 0.8743943844133245, 0.1645992938026337, 886.4061498331241, 909.9453689977911, 922.4959630000095, 926.464181853444, 935.6003189389195, 952.7843538135161, 975.8399579573847]|1079.6109619140625000|      0.06250000|[321, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
