k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.25000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.12500000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.06250000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.03125000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.01562500|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00781250|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00390625|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00195312|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00097656|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00048828|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00024414|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00012207|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00006104|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00003052|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00001526|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00000763|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      18|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00000381|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      19|[3.817773001e-07, -2.7796822618e-06, 0.0099993978229737, 0.0003702444814147, 100000.00000005544, 0.09797938144347, 0.0001647371104385, 99999.99999902112]|3358.2576826020590488|      0.00000763|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      20|[3.817773001e-07, -2.7796822618e-06, 0.0099993978229737, 0.0003702444814147, 100000.00000005544, 0.09797938144347, 0.0001647371104385, 99999.99999902112]|3358.2576826020590488|      0.00000381|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      21|[-1.3806763669e-06, -2.8331878707e-06, 0.0099981309478971, 0.0003724886921775, 99999.9999985185, 0.0979803731581582, 0.0001647211567112, 100000.00000022752]|3355.7575996956147719|      0.00000763|[147, 42, 21, 63]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      22|[-1.3806763669e-06, -2.8331878707e-06, 0.0099981309478971, 0.0003724886921775, 99999.9999985185, 0.0979803731581582, 0.0001647211567112, 100000.00000022752]|3355.7575996956147719|      0.00000381|[154, 44, 22, 66]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      23|[-1.3806763669e-06, -2.8331878707e-06, 0.0099981309478971, 0.0003724886921775, 99999.9999985185, 0.0979803731581582, 0.0001647211567112, 100000.00000022752]|3355.7575996956147719|      0.00000191|[161, 46, 23, 69]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      24|[-1.4749247088e-06, -2.816153945e-06, 0.00999883467024, 0.0003723088400388, 99999.99999890199, 0.0979800504205003, 0.0001662628036994, 99999.99999953952]|3354.8578627098158904|      0.00000381|[168, 48, 24, 72]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      25|[-1.4749247088e-06, -2.816153945e-06, 0.00999883467024, 0.0003723088400388, 99999.99999890199, 0.0979800504205003, 0.0001662628036994, 99999.99999953952]|3354.8578627098158904|      0.00000191|[175, 50, 25, 75]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      26|[-1.4749247088e-06, -2.816153945e-06, 0.00999883467024, 0.0003723088400388, 99999.99999890199, 0.0979800504205003, 0.0001662628036994, 99999.99999953952]|3354.8578627098158904|      0.00000095|[182, 52, 26, 78]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      27|[-1.372931334e-06, -2.9875776314e-06, 0.0099985931183498, 0.0003725140028559, 99999.99999902917, 0.0979801707480478, 0.0001656411589139, 100000.00000013296]|3354.3972117166354110|      0.00000191|[189, 54, 27, 81]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
