k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.12500000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.06250000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03125000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.2291470256342791, 0.3703659516970712, 0.4225618060788295, 0.3800481561423512]|  0.0038894003622226|      0.06250000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[0.2291470256342791, 0.3703659516970712, 0.4225618060788295, 0.3800481561423512]|  0.0038894003622226|      0.03125000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.2291470256342791, 0.3703659516970712, 0.4225618060788295, 0.3800481561423512]|  0.0038894003622226|      0.01562500|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.2320582095867476, 0.3842266734448608, 0.4223767841621914, 0.3734518092354939]|  0.0035749376032419|      0.03125000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[0.2320582095867476, 0.3842266734448608, 0.4223767841621914, 0.3734518092354939]|  0.0035749376032419|      0.01562500|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.2238601265697737, 0.3923707025543915, 0.4217285557231937, 0.3629548263546469]|  0.0031043509476217|      0.03125000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[0.2238601265697737, 0.3923707025543915, 0.4217285557231937, 0.3629548263546469]|  0.0031043509476217|      0.01562500|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.2238601265697737, 0.3923707025543915, 0.4217285557231937, 0.3629548263546469]|  0.0031043509476217|      0.00781250|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[0.2292336158600914, 0.3962857307201431, 0.4204189278663262, 0.3590666135988]   |  0.0030442535507167|      0.01562500|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[0.2191283550793089, 0.3950226619865481, 0.4214242502431021, 0.3472590603448297]|  0.0027533971347005|      0.03125000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      16|[0.21431496237919, 0.4133546826131597, 0.4230028775221608, 0.3224631190161819]  |  0.0020063305328142|      0.06250000|[64, 16, 16, 32]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      17|[0.21431496237919, 0.4133546826131597, 0.4230028775221608, 0.3224631190161819]  |  0.0020063305328142|      0.03125000|[68, 17, 17, 34]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      18|[0.21431496237919, 0.4133546826131597, 0.4230028775221608, 0.3224631190161819]  |  0.0020063305328142|      0.01562500|[72, 18, 18, 36]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      19|[0.21431496237919, 0.4133546826131597, 0.4230028775221608, 0.3224631190161819]  |  0.0020063305328142|      0.00781250|[76, 19, 19, 38]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      20|[0.2128351706841718, 0.4170125406216946, 0.4174937070703153, 0.3185753833627116]|  0.0018758075697907|      0.01562500|[80, 20, 20, 40]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
