k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, 0.0]                                                                | 25.2430323198307036|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8932761380874426, -0.4655124408638228, -0.838411036680172]                   | 12.9673242568969727|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[2.049856507272975, -0.2720093663408766, -2.458558687286383]                    |  2.4599165916442871|      4.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[2.049856507272975, -0.2720093663408766, -2.458558687286383]                    |  2.4599165916442871|      2.00000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[2.049856507272975, -0.2720093663408766, -2.458558687286383]                    |  2.4599165916442871|      1.00000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[2.049856507272975, -0.2720093663408766, -2.458558687286383]                    |  2.4599165916442871|      0.50000000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[1.7734854650277057, -0.6670148504225875, -2.325932466071885]                   |  1.3527045249938965|      1.00000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[1.7734854650277057, -0.6670148504225875, -2.325932466071885]                   |  1.3527045249938965|      0.50000000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[1.7734854650277057, -0.6670148504225875, -2.325932466071885]                   |  1.3527045249938965|      0.25000000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[2.0219176392200913, -0.6903358034731074, -2.341346355096389]                   |  0.7247840762138367|      0.50000000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[2.3307041119621643, -1.0003951015396657, -2.5832433288971828]                  |  0.3388130664825439|      1.00000000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[2.3307041119621643, -1.0003951015396657, -2.5832433288971828]                  |  0.3388130664825439|      0.50000000|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[2.3307041119621643, -1.0003951015396657, -2.5832433288971828]                  |  0.3388130664825439|      0.25000000|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[2.3307041119621643, -1.0003951015396657, -2.5832433288971828]                  |  0.3388130664825439|      0.12500000|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[2.4427861809583016, -1.003832362698964, -2.6384773315157504]                   |  0.2228168845176697|      0.25000000|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[2.4427861809583016, -1.003832362698964, -2.6384773315157504]                   |  0.2228168845176697|      0.12500000|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
