k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[46, 3, 0, 3]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[91, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[119.97295529313949, 0.073432955618791, 0.8685011804329412, 109.95140322537678, 0.1682213291620304, 0.8168606374939008, 99.9737267035347, 0.1906799914567132, 0.7586912406276863, 87.97635928641708, 0.3732914969264717, 0.6471749192365251, 86.07245373446409, 0.4201855096862777, 0.6303600864446012, 84.03026661419601, 0.4163340847551078, 0.5394558084581834, 80.01652558676264, 0.6690528554077223, 0.274878625092197, 75.92175850707764, 0.8705606248589876, 0.1643727319942679, 886.400370356286, 909.9727789476568, 922.4946830071843, 926.4579064534728, 935.4711936405891, 952.7886213832699, 975.7150510661834]|2814.8583984375000000|      0.50000000|[121, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | iterate success | actual_k=1
       4|[119.97295529313949, 0.073432955618791, 0.8685011804329412, 109.95140322537678, 0.1682213291620304, 0.8168606374939008, 99.9737267035347, 0.1906799914567132, 0.7586912406276863, 87.97635928641708, 0.3732914969264717, 0.6471749192365251, 86.07245373446409, 0.4201855096862777, 0.6303600864446012, 84.03026661419601, 0.4163340847551078, 0.5394558084581834, 80.01652558676264, 0.6690528554077223, 0.274878625092197, 75.92175850707764, 0.8705606248589876, 0.1643727319942679, 886.400370356286, 909.9727789476568, 922.4946830071843, 926.4579064534728, 935.4711936405891, 952.7886213832699, 975.7150510661834]|2814.8583984375000000|      0.25000000|[166, 11, 0, 11]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[119.97295529313949, 0.073432955618791, 0.8685011804329412, 109.95140322537678, 0.1682213291620304, 0.8168606374939008, 99.9737267035347, 0.1906799914567132, 0.7586912406276863, 87.97635928641708, 0.3732914969264717, 0.6471749192365251, 86.07245373446409, 0.4201855096862777, 0.6303600864446012, 84.03026661419601, 0.4163340847551078, 0.5394558084581834, 80.01652558676264, 0.6690528554077223, 0.274878625092197, 75.92175850707764, 0.8705606248589876, 0.1643727319942679, 886.400370356286, 909.9727789476568, 922.4946830071843, 926.4579064534728, 935.4711936405891, 952.7886213832699, 975.7150510661834]|2814.8583984375000000|      0.12500000|[211, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[119.98881145810593, 0.0057971871768063, 0.8414015007362315, 109.93894291951945, 0.1326488333380536, 0.8452691817764381, 99.96130865148149, 0.1722105850233583, 0.7738810162005734, 87.96009960596244, 0.3737914895902011, 0.6535266689088235, 86.07097474689998, 0.39476066135738, 0.6351404285366884, 84.03013705478644, 0.4256328036101475, 0.5809080431983178, 80.00838137508293, 0.6566257170961382, 0.2599253940078219, 75.91573070916681, 0.8921343880427307, 0.1333110727205811, 886.3713754234636, 909.9482650666025, 922.466614068922, 926.4682032249289, 935.4654639469389, 952.7871660041294, 975.7081082943415]|1058.6784667968750000|      0.25000000|[241, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       7|[119.98881145810593, 0.0057971871768063, 0.8414015007362315, 109.93894291951945, 0.1326488333380536, 0.8452691817764381, 99.96130865148149, 0.1722105850233583, 0.7738810162005734, 87.96009960596244, 0.3737914895902011, 0.6535266689088235, 86.07097474689998, 0.39476066135738, 0.6351404285366884, 84.03013705478644, 0.4256328036101475, 0.5809080431983178, 80.00838137508293, 0.6566257170961382, 0.2599253940078219, 75.91573070916681, 0.8921343880427307, 0.1333110727205811, 886.3713754234636, 909.9482650666025, 922.466614068922, 926.4682032249289, 935.4654639469389, 952.7871660041294, 975.7081082943415]|1058.6784667968750000|      0.12500000|[286, 19, 0, 19]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[119.99645675003659, -0.0257128532583429, 0.8621825242403137, 109.93227233326942, 0.0895278769766031, 0.8018027586338237, 99.94253525118899, 0.2190988667689597, 0.8026827210315449, 87.97072804203471, 0.3880738769923185, 0.606301373940405, 86.05122036272944, 0.3884097431760318, 0.6426797031548286, 84.03978438265301, 0.4104755326974192, 0.548751788226968, 80.02227219466855, 0.6520915612418947, 0.2488314768116291, 75.946627354267, 0.8867577571700004, 0.1270290947938333, 886.3718655215898, 909.93596704291, 922.4738834987133, 926.493487671285, 935.4529864077772, 952.8011127604024, 975.7129313587021]|530.9231567382812500|      0.25000000|[316, 21, 0, 21]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       9|[119.99645675003659, -0.0257128532583429, 0.8621825242403137, 109.93227233326942, 0.0895278769766031, 0.8018027586338237, 99.94253525118899, 0.2190988667689597, 0.8026827210315449, 87.97072804203471, 0.3880738769923185, 0.606301373940405, 86.05122036272944, 0.3884097431760318, 0.6426797031548286, 84.03978438265301, 0.4104755326974192, 0.548751788226968, 80.02227219466855, 0.6520915612418947, 0.2488314768116291, 75.946627354267, 0.8867577571700004, 0.1270290947938333, 886.3718655215898, 909.93596704291, 922.4738834987133, 926.493487671285, 935.4529864077772, 952.8011127604024, 975.7129313587021]|530.9231567382812500|      0.12500000|[361, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[119.99645675003659, -0.0257128532583429, 0.8621825242403137, 109.93227233326942, 0.0895278769766031, 0.8018027586338237, 99.94253525118899, 0.2190988667689597, 0.8026827210315449, 87.97072804203471, 0.3880738769923185, 0.606301373940405, 86.05122036272944, 0.3884097431760318, 0.6426797031548286, 84.03978438265301, 0.4104755326974192, 0.548751788226968, 80.02227219466855, 0.6520915612418947, 0.2488314768116291, 75.946627354267, 0.8867577571700004, 0.1270290947938333, 886.3718655215898, 909.93596704291, 922.4738834987133, 926.493487671285, 935.4529864077772, 952.8011127604024, 975.7129313587021]|530.9231567382812500|      0.06250000|[406, 27, 0, 27]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
