k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[33, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[65, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[100.07952612864754, 0.088839546812938, 0.1558717797648192, 0.9517540493997809, 100.02639902715555, 0.0562451655324702, 0.149275020154837, 0.7692319756452576, 99.93044628220922, -0.018509959195939, 0.3070554972872753, 0.7850775246452008, 99.98508998455895, 0.1752474323501521, 0.3376217360511397, 0.6399283972863369, 99.99108383026673, 0.2976986702297819, 0.4857915316054653, 0.2449669938009067, 100.04276401355868, 0.5612230160352712, 0.6034726382709099, -0.0567199680408612, 299.99708028697466, 299.9704005398027, 300.0343562601697, 299.95869809656256, 299.937298432128]|470.6454467773437500|      0.50000000|[97, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       4|[100.07952612864754, 0.088839546812938, 0.1558717797648192, 0.9517540493997809, 100.02639902715555, 0.0562451655324702, 0.149275020154837, 0.7692319756452576, 99.93044628220922, -0.018509959195939, 0.3070554972872753, 0.7850775246452008, 99.98508998455895, 0.1752474323501521, 0.3376217360511397, 0.6399283972863369, 99.99108383026673, 0.2976986702297819, 0.4857915316054653, 0.2449669938009067, 100.04276401355868, 0.5612230160352712, 0.6034726382709099, -0.0567199680408612, 299.99708028697466, 299.9704005398027, 300.0343562601697, 299.95869809656256, 299.937298432128]|470.6454467773437500|      0.25000000|[129, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[100.07952612864754, 0.088839546812938, 0.1558717797648192, 0.9517540493997809, 100.02639902715555, 0.0562451655324702, 0.149275020154837, 0.7692319756452576, 99.93044628220922, -0.018509959195939, 0.3070554972872753, 0.7850775246452008, 99.98508998455895, 0.1752474323501521, 0.3376217360511397, 0.6399283972863369, 99.99108383026673, 0.2976986702297819, 0.4857915316054653, 0.2449669938009067, 100.04276401355868, 0.5612230160352712, 0.6034726382709099, -0.0567199680408612, 299.99708028697466, 299.9704005398027, 300.0343562601697, 299.95869809656256, 299.937298432128]|470.6454467773437500|      0.12500000|[161, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[100.11514470523085, 0.1267920460744598, 0.1922711636371196, 0.9709529234327772, 100.05894808292611, 0.0926701248783495, 0.176320389190139, 0.7856824443423532, 99.93803208474316, 0.0262152390368901, 0.3248867229073373, 0.8006095375940054, 99.97851966180602, 0.1584362525174732, 0.3216009517488574, 0.6446115123336309, 99.96904893467234, 0.2996183708580412, 0.4772775501156562, 0.2456182225374912, 100.06653757411834, 0.5648323841767322, 0.6111463426449739, -0.0246459735585962, 300.0190649164558, 299.9969229259831, 300.0434293898396, 299.9771140406174, 299.965163436712]|321.1479187011718750|      0.25000000|[193, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       7|[100.11514470523085, 0.1267920460744598, 0.1922711636371196, 0.9709529234327772, 100.05894808292611, 0.0926701248783495, 0.176320389190139, 0.7856824443423532, 99.93803208474316, 0.0262152390368901, 0.3248867229073373, 0.8006095375940054, 99.97851966180602, 0.1584362525174732, 0.3216009517488574, 0.6446115123336309, 99.96904893467234, 0.2996183708580412, 0.4772775501156562, 0.2456182225374912, 100.06653757411834, 0.5648323841767322, 0.6111463426449739, -0.0246459735585962, 300.0190649164558, 299.9969229259831, 300.0434293898396, 299.9771140406174, 299.965163436712]|321.1479187011718750|      0.12500000|[225, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[100.13241326060371, 0.1458708793523928, 0.2309864445134737, 0.9947362103911821, 100.02384104635584, 0.088339833687242, 0.1776422498010065, 0.8107589000893067, 99.9336694331049, 0.0594541212085608, 0.3229391543421216, 0.7886802653140523, 99.96302265064884, 0.1329039299581285, 0.3056426079729719, 0.6023139984943604, 99.98357630118554, 0.2481210883573191, 0.4457472196644341, 0.2366054857796451, 100.03299420857472, 0.5647653517840494, 0.6176550927421597, -0.009660139767665, 300.0450274214706, 300.00110522519435, 300.0221974299094, 299.97889239559925, 299.94686929388934]|250.8492736816406250|      0.25000000|[257, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       9|[100.13241326060371, 0.1458708793523928, 0.2309864445134737, 0.9947362103911821, 100.02384104635584, 0.088339833687242, 0.1776422498010065, 0.8107589000893067, 99.9336694331049, 0.0594541212085608, 0.3229391543421216, 0.7886802653140523, 99.96302265064884, 0.1329039299581285, 0.3056426079729719, 0.6023139984943604, 99.98357630118554, 0.2481210883573191, 0.4457472196644341, 0.2366054857796451, 100.03299420857472, 0.5647653517840494, 0.6176550927421597, -0.009660139767665, 300.0450274214706, 300.00110522519435, 300.0221974299094, 299.97889239559925, 299.94686929388934]|250.8492736816406250|      0.12500000|[289, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[100.13241326060371, 0.1458708793523928, 0.2309864445134737, 0.9947362103911821, 100.02384104635584, 0.088339833687242, 0.1776422498010065, 0.8107589000893067, 99.9336694331049, 0.0594541212085608, 0.3229391543421216, 0.7886802653140523, 99.96302265064884, 0.1329039299581285, 0.3056426079729719, 0.6023139984943604, 99.98357630118554, 0.2481210883573191, 0.4457472196644341, 0.2366054857796451, 100.03299420857472, 0.5647653517840494, 0.6176550927421597, -0.009660139767665, 300.0450274214706, 300.00110522519435, 300.0221974299094, 299.97889239559925, 299.94686929388934]|250.8492736816406250|      0.06250000|[321, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
