k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.00594567456646, 149.9162083865689, -100.05888251932741, 1.0318590478492904, 2.018783332858555]|84514.8812871347618056|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[49.00594567456646, 149.9162083865689, -100.05888251932741, 1.0318590478492904, 2.018783332858555]|84514.8812871347618056|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[48.009304282142715, 149.85857243638506, -100.1170426408927, 1.0310788970830769, 2.0178757104988723]|81243.7823859209602233|      2.00000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[48.009304282142715, 149.85857243638506, -100.1170426408927, 1.0310788970830769, 2.0178757104988723]|81243.7823859209602233|      1.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[47.01627138816211, 149.79504788973352, -100.21017473578732, 1.0649077565225986, 2.012190236483846]|78042.1715700158820255|      2.00000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       6|[47.01627138816211, 149.79504788973352, -100.21017473578732, 1.0649077565225986, 2.012190236483846]|78042.1715700158820255|      1.00000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[46.044617420549976, 149.82130347068858, -100.2649217889592, 1.2671156622379323, 2.118557217862135]|74996.6227576061501168|      2.00000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[44.1336969917921, 149.85849835414888, -100.7203300403121, 1.6407059743458068, 2.1127901649745096]|69122.5816237537947018|      4.00000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[44.1336969917921, 149.85849835414888, -100.7203300403121, 1.6407059743458068, 2.1127901649745096]|69122.5816237537947018|      2.00000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[42.15697712473543, 149.82885550144246, -100.88957062978189, 1.8796281304274807, 2.0355004847054667]|63345.7836185694177402|      4.00000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      11|[38.18016602813644, 149.4694576196551, -101.11467559962537, 1.825404549461107, 1.988657978870974]|52478.5685824099491583|      8.00000000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[38.18016602813644, 149.4694576196551, -101.11467559962537, 1.825404549461107, 1.988657978870974]|52478.5685824099491583|      4.00000000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[38.18016602813644, 149.4694576196551, -101.11467559962537, 1.825404549461107, 1.988657978870974]|52478.5685824099491583|      2.00000000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[36.19683575100516, 149.40132404612365, -101.2687069876728, 2.010724139541084, 1.9279141808256675]|47464.2237164503167151|      4.00000000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
