k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.7, 90.0, 1500.0, 10.0]                                                       |29053.0023566288800794|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.8745976018904473, 90.43597011533414, 1499.7622172412173, 10.268514989071747] |26681.9553275282596587|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[1.8745976018904473, 90.43597011533414, 1499.7622172412173, 10.268514989071747] |26681.9553275282596587|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.8577007654004516, 90.66527992478132, 1500.1553425650238, 11.158786850915059] |22439.3607327768040705|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[1.8577007654004516, 90.66527992478132, 1500.1553425650238, 11.158786850915059] |22439.3607327768040705|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[1.999579219413245, 91.04382929081264, 1499.7513257877422, 11.979360629096663]  |18380.1246175684718764|      2.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[3.0540200530242005, 90.30484533692139, 1499.0356440171777, 13.332082643254317] |14724.7444348342833109|      4.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[3.0540200530242005, 90.30484533692139, 1499.0356440171777, 13.332082643254317] |14724.7444348342833109|      2.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[3.0540200530242005, 90.30484533692139, 1499.0356440171777, 13.332082643254317] |14724.7444348342833109|      1.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[2.50664723043036, 90.38693768971828, 1498.3584180569437, 13.81685974407803]    |10055.8758170973669621|      2.00000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[2.50664723043036, 90.38693768971828, 1498.3584180569437, 13.81685974407803]    |10055.8758170973669621|      1.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[2.50664723043036, 90.38693768971828, 1498.3584180569437, 13.81685974407803]    |10055.8758170973669621|      0.50000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[2.7417955981354627, 90.5628990710669, 1498.6736843423353, 14.070532775232307]  |9716.2103093959067337|      1.00000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[2.3378402131652334, 89.6755369943024, 1498.8655199479624, 14.182816754888602]  |9086.5675253127228643|      2.00000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[2.3378402131652334, 89.6755369943024, 1498.8655199479624, 14.182816754888602]  |9086.5675253127228643|      1.00000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[2.71692050104817, 89.12526150472159, 1499.6093108428854, 14.199252251076821]   |8642.6982480926126300|      2.00000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      16|[2.71692050104817, 89.12526150472159, 1499.6093108428854, 14.199252251076821]   |8642.6982480926126300|      1.00000000|[64, 16, 16, 32]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      17|[2.71692050104817, 89.12526150472159, 1499.6093108428854, 14.199252251076821]   |8642.6982480926126300|      0.50000000|[68, 17, 17, 34]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      18|[2.71692050104817, 89.12526150472159, 1499.6093108428854, 14.199252251076821]   |8642.6982480926126300|      0.25000000|[72, 18, 18, 36]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      19|[2.5200416390918687, 89.13687099476354, 1499.7031842002866, 14.320873491927193] |8171.3414352498803055|      0.50000000|[76, 19, 19, 38]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      20|[2.5200416390918687, 89.13687099476354, 1499.7031842002866, 14.320873491927193] |8171.3414352498803055|      0.25000000|[80, 20, 20, 40]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
