k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.25000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.12500000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.06250000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.03125000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.01562500|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00781250|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00390625|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00195312|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00097656|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00048828|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00024414|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00012207|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00006104|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00003052|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00001526|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00000763|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      18|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00000381|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      19|[5.130608111e-07, -9.231932002e-07, 0.0100006031058574, 0.0003728313685884, 100000.00000001657, 0.0979786393223117, 0.0001651450978765, 99999.9999994824]|3354.6876348978730675|      0.00000763|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      20|[5.130608111e-07, -9.231932002e-07, 0.0100006031058574, 0.0003728313685884, 100000.00000001657, 0.0979786393223117, 0.0001651450978765, 99999.9999994824]|3354.6876348978730675|      0.00000381|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      21|[5.130608111e-07, -9.231932002e-07, 0.0100006031058574, 0.0003728313685884, 100000.00000001657, 0.0979786393223117, 0.0001651450978765, 99999.9999994824]|3354.6876348978730675|      0.00000191|[147, 42, 21, 63]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      22|[5.130608111e-07, -9.231932002e-07, 0.0100006031058574, 0.0003728313685884, 100000.00000001657, 0.0979786393223117, 0.0001651450978765, 99999.9999994824]|3354.6876348978730675|      0.00000095|[154, 44, 22, 66]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      23|[3.062486265e-07, -9.092508735e-07, 0.0100007748280447, 0.0003729802411856, 99999.99999998785, 0.0979789066887801, 0.0001660031057823, 99999.99999940247]|3354.3886032168293241|      0.00000191|[161, 46, 23, 69]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      24|[3.062486265e-07, -9.092508735e-07, 0.0100007748280447, 0.0003729802411856, 99999.99999998785, 0.0979789066887801, 0.0001660031057823, 99999.99999940247]|3354.3886032168293241|      0.00000095|[168, 48, 24, 72]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      25|[3.062486265e-07, -9.092508735e-07, 0.0100007748280447, 0.0003729802411856, 99999.99999998785, 0.0979789066887801, 0.0001660031057823, 99999.99999940247]|3354.3886032168293241|      0.00000048|[175, 50, 25, 75]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      26|[4.180705284e-07, -9.921053501e-07, 0.0100007148472873, 0.0003728904048999, 99999.99999998228, 0.0979789299360616, 0.0001655607026612, 99999.9999993958]|3354.2832714444725752|      0.00000095|[182, 52, 26, 78]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      27|[4.180705284e-07, -9.921053501e-07, 0.0100007148472873, 0.0003728904048999, 99999.99999998228, 0.0979789299360616, 0.0001655607026612, 99999.9999993958]|3354.2832714444725752|      0.00000048|[189, 54, 27, 81]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
