k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.699351691327758, -1.1857622694992294, 0.3066401946445394, 0.0894036937933128, -0.9260776926938753, 0.184549242471601, 0.0064431857780544]|5323.4999473771968042|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[9.699351691327758, -1.1857622694992294, 0.3066401946445394, 0.0894036937933128, -0.9260776926938753, 0.184549242471601, 0.0064431857780544]|5323.4999473771968042|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[9.699351691327758, -1.1857622694992294, 0.3066401946445394, 0.0894036937933128, -0.9260776926938753, 0.184549242471601, 0.0064431857780544]|5323.4999473771968042|      0.50000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[9.699351691327758, -1.1857622694992294, 0.3066401946445394, 0.0894036937933128, -0.9260776926938753, 0.184549242471601, 0.0064431857780544]|5323.4999473771968042|      0.25000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[9.699351691327758, -1.1857622694992294, 0.3066401946445394, 0.0894036937933128, -0.9260776926938753, 0.184549242471601, 0.0064431857780544]|5323.4999473771968042|      0.12500000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[9.699351691327758, -1.1857622694992294, 0.3066401946445394, 0.0894036937933128, -0.9260776926938753, 0.184549242471601, 0.0064431857780544]|5323.4999473771968042|      0.06250000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[9.699351691327758, -1.1857622694992294, 0.3066401946445394, 0.0894036937933128, -0.9260776926938753, 0.184549242471601, 0.0064431857780544]|5323.4999473771968042|      0.03125000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[9.699351691327758, -1.1857622694992294, 0.3066401946445394, 0.0894036937933128, -0.9260776926938753, 0.184549242471601, 0.0064431857780544]|5323.4999473771968042|      0.01562500|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[9.699351691327758, -1.1857622694992294, 0.3066401946445394, 0.0894036937933128, -0.9260776926938753, 0.184549242471601, 0.0064431857780544]|5323.4999473771968042|      0.00781250|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[9.699351691327758, -1.1857622694992294, 0.3066401946445394, 0.0894036937933128, -0.9260776926938753, 0.184549242471601, 0.0064431857780544]|5323.4999473771968042|      0.00390625|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[9.699351691327758, -1.1857622694992294, 0.3066401946445394, 0.0894036937933128, -0.9260776926938753, 0.184549242471601, 0.0064431857780544]|5323.4999473771968042|      0.00195312|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[9.69966736940997, -1.1852796052569428, 0.3067803658420504, 0.0899162556383513, -0.9258849918523944, 0.1839910910085865, 0.0047546818356012]|3220.2494762995520432|      0.00390625|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[9.69966736940997, -1.1852796052569428, 0.3067803658420504, 0.0899162556383513, -0.9258849918523944, 0.1839910910085865, 0.0047546818356012]|3220.2494762995520432|      0.00195312|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[9.69966736940997, -1.1852796052569428, 0.3067803658420504, 0.0899162556383513, -0.9258849918523944, 0.1839910910085865, 0.0047546818356012]|3220.2494762995520432|      0.00097656|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[9.69966736940997, -1.1852796052569428, 0.3067803658420504, 0.0899162556383513, -0.9258849918523944, 0.1839910910085865, 0.0047546818356012]|3220.2494762995520432|      0.00048828|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[9.699887409335812, -1.185505631743391, 0.306788907947887, 0.0899005524902008, -0.9259519869070804, 0.1840903686066233, 0.0051071716968784]|3126.3188797329507906|      0.00097656|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      17|[9.699887409335812, -1.185505631743391, 0.306788907947887, 0.0899005524902008, -0.9259519869070804, 0.1840903686066233, 0.0051071716968784]|3126.3188797329507906|      0.00048828|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      18|[9.699887409335812, -1.185505631743391, 0.306788907947887, 0.0899005524902008, -0.9259519869070804, 0.1840903686066233, 0.0051071716968784]|3126.3188797329507906|      0.00024414|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
