k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.50000000|[97, 32, 1, 3]                                                             |  | used linear model with 129 points | iterate failure | actual_k=16
       2|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.25000000|[194, 64, 2, 6]                                                            |  | used linear model with 129 points | iterate failure | actual_k=16
       3|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.12500000|[291, 96, 3, 9]                                                            |  | used linear model with 129 points | iterate failure | actual_k=16
       4|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.06250000|[388, 128, 4, 12]                                                          |  | used linear model with 129 points | iterate failure | actual_k=16
       5|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.03125000|[485, 160, 5, 15]                                                          |  | used linear model with 129 points | iterate failure | actual_k=16
       6|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.01562500|[582, 192, 6, 18]                                                          |  | used linear model with 129 points | iterate failure | actual_k=16
       7|[0.5969119617369611, 0.0198818537233631, 1.887008208867332, 0.6515475923450359, 0.0180505593449345, 2.0018617850647784, 1.298793795671997, 0.0196623244749495, 2.1185480952766675, -0.0208351517522374, 0.022388675125257, 2.164284482162495, 1.2346602096590678, 0.02099667762614, 2.219021857994018, 0.2185812879785405, 0.0208462498176406, 2.28111236299452, 1.3325958006964653, 0.0210602278058849, 2.391403253074497, 4.5067808894196775, 0.025438810993699, 2.489998669679639, 0.6606889332245496, 0.0207759811098173, 2.5584583488929495, 4.388158513727001, 0.0283866633531223, 2.705838994140509, 0.2273816475311976, 0.0207090829734099, 2.9412437707081094, 0.2345576601998873, 0.0218413915137438, 2.9659657975497855, 0.7127182124356808, 0.0208781274512498, 3.127699241681224, 0.204927534208673, 0.020537815873675, 3.2257570254608794, -0.0673987856141769, 0.0182613665449727, 3.253232893894222, 1.3781767806798237, 0.020645355058359, 3.381753322482342, 0.2415095018098886, 0.0200242334241752, 3.669917448995329, 0.0603350292067839, 0.0199980312002309, 3.7221538614469227, 0.0167085552231431, 0.0180611087345356, 3.8313688838766398, 0.4157198939785328, 0.0221379632990782, 3.9587944238828228, 0.2608089093846256, 0.0222369990052397, 4.053914424804143, 0.81827384449398, 0.020535494791403, 4.175017744118962, 0.9640281653976931, 0.0196078261897704, 4.432013910637815, 0.7445738306545845, 0.0192270941259135, 4.560305724011083, 0.2136529548741727, 0.020332345690944, 4.601718258036644, 0.5003373736797504, 0.0222632637791683, 4.703844191222584, 0.0487652209657662, 0.0202208503765096, 4.8001848194318, 0.3675231255451855, 0.0219865199970858, 4.968995533675524, 0.161288504728591, 0.0205581838516054, 5.396841390292807, 0.2894163611764657, 0.0202943372862831, 5.419101128981624, 0.0950599820894578, 0.0212411049299342, 2.587914674684699, -0.0004524774282947, 0.0191852907763158, 3.8619585764755873, 0.1561331736657223, 0.0184378607197011, 5.196425879128923]|407735.0929439243045636|      0.03125000|[679, 224, 7, 21]                                                          |  | used linear model with 129 points | iterate success | actual_k=16
       8|[0.5969119617369611, 0.0198818537233631, 1.887008208867332, 0.6515475923450359, 0.0180505593449345, 2.0018617850647784, 1.298793795671997, 0.0196623244749495, 2.1185480952766675, -0.0208351517522374, 0.022388675125257, 2.164284482162495, 1.2346602096590678, 0.02099667762614, 2.219021857994018, 0.2185812879785405, 0.0208462498176406, 2.28111236299452, 1.3325958006964653, 0.0210602278058849, 2.391403253074497, 4.5067808894196775, 0.025438810993699, 2.489998669679639, 0.6606889332245496, 0.0207759811098173, 2.5584583488929495, 4.388158513727001, 0.0283866633531223, 2.705838994140509, 0.2273816475311976, 0.0207090829734099, 2.9412437707081094, 0.2345576601998873, 0.0218413915137438, 2.9659657975497855, 0.7127182124356808, 0.0208781274512498, 3.127699241681224, 0.204927534208673, 0.020537815873675, 3.2257570254608794, -0.0673987856141769, 0.0182613665449727, 3.253232893894222, 1.3781767806798237, 0.020645355058359, 3.381753322482342, 0.2415095018098886, 0.0200242334241752, 3.669917448995329, 0.0603350292067839, 0.0199980312002309, 3.7221538614469227, 0.0167085552231431, 0.0180611087345356, 3.8313688838766398, 0.4157198939785328, 0.0221379632990782, 3.9587944238828228, 0.2608089093846256, 0.0222369990052397, 4.053914424804143, 0.81827384449398, 0.020535494791403, 4.175017744118962, 0.9640281653976931, 0.0196078261897704, 4.432013910637815, 0.7445738306545845, 0.0192270941259135, 4.560305724011083, 0.2136529548741727, 0.020332345690944, 4.601718258036644, 0.5003373736797504, 0.0222632637791683, 4.703844191222584, 0.0487652209657662, 0.0202208503765096, 4.8001848194318, 0.3675231255451855, 0.0219865199970858, 4.968995533675524, 0.161288504728591, 0.0205581838516054, 5.396841390292807, 0.2894163611764657, 0.0202943372862831, 5.419101128981624, 0.0950599820894578, 0.0212411049299342, 2.587914674684699, -0.0004524774282947, 0.0191852907763158, 3.8619585764755873, 0.1561331736657223, 0.0184378607197011, 5.196425879128923]|407735.0929439243045636|      0.01562500|[776, 256, 8, 24]                                                          |  | used linear model with 129 points | iterate failure | actual_k=16
       9|[0.5972900847777256, 0.0209257898761318, 1.8869215786072595, 0.652277764320828, 0.0189307018400709, 2.001750062560954, 1.297579048771677, 0.0205607469392672, 2.1177709223847687, -0.0209545503290376, 0.0244495340664993, 2.163888714493744, 1.2345326556186424, 0.0220688670892474, 2.2179492272041417, 0.2185006567853324, 0.0205968744150221, 2.281368099245625, 1.332321263416907, 0.0206482909575053, 2.3895982291262823, 4.50647963795344, 0.0342871771615378, 2.492195592977472, 0.6604201682983983, 0.0214922802578634, 2.5590821372475485, 4.388529842771411, 0.0373684009903779, 2.7072152097500797, 0.2281236186487222, 0.0209562287282669, 2.941022633626672, 0.2343816453281757, 0.021180305549973, 2.966152346145853, 0.711615069912075, 0.0231339430311279, 3.12791995815355, 0.2047005771042782, 0.0213075547473643, 3.22679754348163, -0.0687871127494102, 0.0183311997556191, 3.2536360266066167, 1.3792978824788305, 0.0217503689581204, 3.3829024494883684, 0.2417918291047528, 0.0207222629132786, 3.671170826304091, 0.0598222076316531, 0.0200326706776622, 3.7207210315140906, 0.0157964372894521, 0.0185463095597009, 3.8313927133228094, 0.4154688298936505, 0.0221303974800545, 3.9594152983046786, 0.2600383611863223, 0.0217768991701602, 4.054440130880183, 0.818301071616565, 0.0218956210440756, 4.175628321414598, 0.9646949725412706, 0.0204747656388319, 4.432396592772366, 0.7456328936014043, 0.0222412712074829, 4.56229898044685, 0.2127639955827287, 0.0214556211633195, 4.600595632282037, 0.5009861087723336, 0.0224415430525771, 4.7046697377636715, 0.0489652754309258, 0.0189660308606664, 4.801887019425028, 0.368075577518998, 0.0227559333034292, 4.968826241653834, 0.1624988955150645, 0.0210782643988279, 5.3969842026182056, 0.2896804524451263, 0.0197563817483115, 5.418417599045623, 0.094796538102594, 0.021357780252279, 2.586522925137077, 0.0017519632412925, 0.0199853499253869, 3.861375445385385, 0.1557699490266081, 0.0182681979507321, 5.195421541505662]|353204.1092937209759839|      0.03125000|[873, 288, 9, 27]                                                          |  | used linear model with 129 points | iterate success | actual_k=16
      10|[0.5985774274104536, 0.0224852952349833, 1.8875061368726331, 0.6549031901929585, 0.0144691915479157, 1.9980396530988611, 1.2969387308119458, 0.0203285315752602, 2.1187957880787907, -0.0171205598984456, 0.0199151777279514, 2.1658053127835513, 1.2314479582029045, 0.0260861688213079, 2.2207812241388907, 0.2204913675491352, 0.0250980740301904, 2.2825263734869337, 1.3323839288786181, 0.0271195528363435, 2.3927265248817093, 4.504004919697534, 0.0453717887118884, 2.495057153400255, 0.6622197067122926, 0.0241231401787294, 2.5618892652522143, 4.389746806157186, 0.0478877435667731, 2.708650429916141, 0.2290431436022641, 0.0262728457249393, 2.9361436563224093, 0.2368808873994171, 0.017073332522251, 2.9640989336794594, 0.7127915406126236, 0.0264266997682231, 3.1280948481318522, 0.2046838617489467, 0.017979339483929, 3.2294485301501044, -0.0699316733628851, 0.0179575810119979, 3.2498552166624113, 1.3806456674045013, 0.0249487174616478, 3.381112804492298, 0.2377538484934098, 0.020104158654568, 3.6741372601190063, 0.06117444085901, 0.0261831800986188, 3.725264262058472, 0.0205784578447118, 0.0165259903636141, 3.828822995811404, 0.4183299288150104, 0.019719219633859, 3.9627883390317624, 0.2617609601122581, 0.0182880424891099, 4.055983550686289, 0.8180685585391165, 0.0228859240904991, 4.177879903488631, 0.9630362401723781, 0.0211518996281573, 4.4340625908039275, 0.7504539404073317, 0.019703792938195, 4.561128329890571, 0.2153349282171141, 0.0174009600112223, 4.601854105140169, 0.5004865648193201, 0.0214708900740871, 4.70694952900199, 0.0504888585990936, 0.0165015779381246, 4.801679853693823, 0.3637040305882133, 0.0259911244012187, 4.964954242876597, 0.165168572036768, 0.0241526727377611, 5.396627735058566, 0.2879629943380456, 0.0169043307464767, 5.4216356158597385, 0.0957806855716547, 0.0209684007584197, 2.5874049003698856, 0.0039812327296769, 0.0197076978380686, 3.8575719671654087, 0.1541628684528171, 0.0151451149741684, 5.198230567403827]|317798.6432164023281075|      0.06250000|[970, 320, 10, 30]                                                         |  | used linear model with 129 points | iterate success | actual_k=16
      11|[0.5985774274104536, 0.0224852952349833, 1.8875061368726331, 0.6549031901929585, 0.0144691915479157, 1.9980396530988611, 1.2969387308119458, 0.0203285315752602, 2.1187957880787907, -0.0171205598984456, 0.0199151777279514, 2.1658053127835513, 1.2314479582029045, 0.0260861688213079, 2.2207812241388907, 0.2204913675491352, 0.0250980740301904, 2.2825263734869337, 1.3323839288786181, 0.0271195528363435, 2.3927265248817093, 4.504004919697534, 0.0453717887118884, 2.495057153400255, 0.6622197067122926, 0.0241231401787294, 2.5618892652522143, 4.389746806157186, 0.0478877435667731, 2.708650429916141, 0.2290431436022641, 0.0262728457249393, 2.9361436563224093, 0.2368808873994171, 0.017073332522251, 2.9640989336794594, 0.7127915406126236, 0.0264266997682231, 3.1280948481318522, 0.2046838617489467, 0.017979339483929, 3.2294485301501044, -0.0699316733628851, 0.0179575810119979, 3.2498552166624113, 1.3806456674045013, 0.0249487174616478, 3.381112804492298, 0.2377538484934098, 0.020104158654568, 3.6741372601190063, 0.06117444085901, 0.0261831800986188, 3.725264262058472, 0.0205784578447118, 0.0165259903636141, 3.828822995811404, 0.4183299288150104, 0.019719219633859, 3.9627883390317624, 0.2617609601122581, 0.0182880424891099, 4.055983550686289, 0.8180685585391165, 0.0228859240904991, 4.177879903488631, 0.9630362401723781, 0.0211518996281573, 4.4340625908039275, 0.7504539404073317, 0.019703792938195, 4.561128329890571, 0.2153349282171141, 0.0174009600112223, 4.601854105140169, 0.5004865648193201, 0.0214708900740871, 4.70694952900199, 0.0504888585990936, 0.0165015779381246, 4.801679853693823, 0.3637040305882133, 0.0259911244012187, 4.964954242876597, 0.165168572036768, 0.0241526727377611, 5.396627735058566, 0.2879629943380456, 0.0169043307464767, 5.4216356158597385, 0.0957806855716547, 0.0209684007584197, 2.5874049003698856, 0.0039812327296769, 0.0197076978380686, 3.8575719671654087, 0.1541628684528171, 0.0151451149741684, 5.198230567403827]|317798.6432164023281075|      0.03125000|[1067, 352, 11, 33]                                                        |  | used linear model with 129 points | iterate failure | actual_k=16
