k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.903017896571145, -1.0214023703366095, -0.4676420432565369, 0.790192163547528, 0.2532098299574272, -0.074725862182332, -0.0096476963476464]|2011624.6237455178052187|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[8.940554141508033, 0.2893274461167619, -0.2685080452922736, 0.6194207772049184, 1.0052554430705738, -0.8204091379325931, 0.3968218609071968]|45557.8880938907022937|      4.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       3|[8.940554141508033, 0.2893274461167619, -0.2685080452922736, 0.6194207772049184, 1.0052554430705738, -0.8204091379325931, 0.3968218609071968]|45557.8880938907022937|      2.00000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[8.940554141508033, 0.2893274461167619, -0.2685080452922736, 0.6194207772049184, 1.0052554430705738, -0.8204091379325931, 0.3968218609071968]|45557.8880938907022937|      1.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[8.940554141508033, 0.2893274461167619, -0.2685080452922736, 0.6194207772049184, 1.0052554430705738, -0.8204091379325931, 0.3968218609071968]|45557.8880938907022937|      0.50000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[8.940554141508033, 0.2893274461167619, -0.2685080452922736, 0.6194207772049184, 1.0052554430705738, -0.8204091379325931, 0.3968218609071968]|45557.8880938907022937|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[8.909180418862306, 0.251166176335347, -0.2777102635580464, 0.7309002290862584, 1.0146620002589515, -0.7580992101502007, 0.1880730942405192]|32836.8936812097163056|      0.50000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[8.909180418862306, 0.251166176335347, -0.2777102635580464, 0.7309002290862584, 1.0146620002589515, -0.7580992101502007, 0.1880730942405192]|32836.8936812097163056|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[8.909180418862306, 0.251166176335347, -0.2777102635580464, 0.7309002290862584, 1.0146620002589515, -0.7580992101502007, 0.1880730942405192]|32836.8936812097163056|      0.12500000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[8.899194904636637, 0.2504723550687504, -0.2806625760355012, 0.7805738686388035, 1.0144166108010673, -0.7547657279931719, 0.0738914443003427]|14406.3861653975345689|      0.25000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      11|[8.899194904636637, 0.2504723550687504, -0.2806625760355012, 0.7805738686388035, 1.0144166108010673, -0.7547657279931719, 0.0738914443003427]|14406.3861653975345689|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[8.899194904636637, 0.2504723550687504, -0.2806625760355012, 0.7805738686388035, 1.0144166108010673, -0.7547657279931719, 0.0738914443003427]|14406.3861653975345689|      0.06250000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[8.899194904636637, 0.2504723550687504, -0.2806625760355012, 0.7805738686388035, 1.0144166108010673, -0.7547657279931719, 0.0738914443003427]|14406.3861653975345689|      0.03125000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[8.899194904636637, 0.2504723550687504, -0.2806625760355012, 0.7805738686388035, 1.0144166108010673, -0.7547657279931719, 0.0738914443003427]|14406.3861653975345689|      0.01562500|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[8.899194904636637, 0.2504723550687504, -0.2806625760355012, 0.7805738686388035, 1.0144166108010673, -0.7547657279931719, 0.0738914443003427]|14406.3861653975345689|      0.00781250|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[8.899194904636637, 0.2504723550687504, -0.2806625760355012, 0.7805738686388035, 1.0144166108010673, -0.7547657279931719, 0.0738914443003427]|14406.3861653975345689|      0.00390625|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[8.90040557670834, 0.2495207604442837, -0.2776164543495823, 0.7806603415782762, 1.0137430710799649, -0.7530013930975654, 0.0737052680571187]|14387.1052113230471150|      0.00781250|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      18|[8.901542611934717, 0.2486769180681551, -0.2760426517080717, 0.7864339931386449, 1.012907008564316, -0.7483436119621946, 0.0727973008450654]|14296.3230425217079755|      0.01562500|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      19|[8.901542611934717, 0.2486769180681551, -0.2760426517080717, 0.7864339931386449, 1.012907008564316, -0.7483436119621946, 0.0727973008450654]|14296.3230425217079755|      0.00781250|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[8.901542611934717, 0.2486769180681551, -0.2760426517080717, 0.7864339931386449, 1.012907008564316, -0.7483436119621946, 0.0727973008450654]|14296.3230425217079755|      0.00390625|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[8.901742864769206, 0.2477855351218744, -0.2756021173776981, 0.7873114552858499, 1.013518448768848, -0.7471117630915833, 0.0761985951910607]|14275.8113492021366255|      0.00781250|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      22|[8.901742864769206, 0.2477855351218744, -0.2756021173776981, 0.7873114552858499, 1.013518448768848, -0.7471117630915833, 0.0761985951910607]|14275.8113492021366255|      0.00390625|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      23|[8.901742864769206, 0.2477855351218744, -0.2756021173776981, 0.7873114552858499, 1.013518448768848, -0.7471117630915833, 0.0761985951910607]|14275.8113492021366255|      0.00195312|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[8.90180923503382, 0.2473946108831228, -0.2756153612034304, 0.7881124412740388, 1.0134835683436245, -0.746444811978486, 0.0745955742586847]|14222.5395898025217321|      0.00390625|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      25|[8.90180923503382, 0.2473946108831228, -0.2756153612034304, 0.7881124412740388, 1.0134835683436245, -0.746444811978486, 0.0745955742586847]|14222.5395898025217321|      0.00195312|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      26|[8.901083229822502, 0.2470468099225097, -0.2754652450748729, 0.7892465946661867, 1.013400245554239, -0.7456731700440911, 0.0734751120953615]|14211.9614203466862818|      0.00390625|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      27|[8.901083229822502, 0.2470468099225097, -0.2754652450748729, 0.7892465946661867, 1.013400245554239, -0.7456731700440911, 0.0734751120953615]|14211.9614203466862818|      0.00195312|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      28|[8.901393285650215, 0.2466465516581589, -0.2751716697045025, 0.7899467297191743, 1.0135893353842504, -0.745010561094439, 0.0750585181698297]|14189.7370445073211158|      0.00390625|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      29|[8.901393285650215, 0.2466465516581589, -0.2751716697045025, 0.7899467297191743, 1.0135893353842504, -0.745010561094439, 0.0750585181698297]|14189.7370445073211158|      0.00195312|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      30|[8.901393285650215, 0.2466465516581589, -0.2751716697045025, 0.7899467297191743, 1.0135893353842504, -0.745010561094439, 0.0750585181698297]|14189.7370445073211158|      0.00097656|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      31|[8.901532757871825, 0.2465969620944669, -0.2752138332187957, 0.7903871224857882, 1.0135836348425775, -0.7443897996206319, 0.0744663511016671]|14172.9486466762900818|      0.00195312|[465, 62, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      32|[8.901289252167814, 0.2466884776529473, -0.2756033845372921, 0.7917358755537691, 1.0136621281796594, -0.743431989749999, 0.0735429979081834]|14157.2793866007668839|      0.00390625|[480, 64, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      33|[8.900603229252084, 0.2471135077434865, -0.2759562564295013, 0.7936806395694694, 1.0152759756699212, -0.7405917387760145, 0.0737143340620185]|14097.2398492293086747|      0.00781250|[495, 66, 33, 66]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      34|[8.900603229252084, 0.2471135077434865, -0.2759562564295013, 0.7936806395694694, 1.0152759756699212, -0.7405917387760145, 0.0737143340620185]|14097.2398492293086747|      0.00390625|[510, 68, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      35|[8.902303266080352, 0.2485621882723211, -0.2760153219627259, 0.796767432999233, 1.015474687429554, -0.7401525039481641, 0.07442552500526]|14054.0078522053463530|      0.00781250|[525, 70, 35, 70]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
