k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      0.50000000|[11, 1, 1, 2]                                                              |  | used linear model with 12 points | iterate failure | actual_k=2
       2|[9.808998388799203, -1.3629917290038653, -0.0620616595878475, -0.0759314496318012, -0.063924325704864, -0.2342213281438626, -0.0889422562853115]|49987.9674473732884508|      1.00000000|[21, 3, 2, 4]                                                              |  | used linear model with 12 points | iterate success | actual_k=2
       3|[9.562851513908104, -0.8375618481537582, 0.2808740888600035, -0.5334933821362045, 0.0589385150726383, -0.797711913192866, -0.0277018319909806]|3320.6031745089776450|      2.00000000|[32, 4, 3, 6]                                                              |  | used linear model with 12 points | iterate success | actual_k=2
       4|[9.562851513908104, -0.8375618481537582, 0.2808740888600035, -0.5334933821362045, 0.0589385150726383, -0.797711913192866, -0.0277018319909806]|3320.6031745089776450|      1.00000000|[44, 4, 4, 8]                                                              |  | used linear model with 12 points | iterate failure | actual_k=2
       5|[9.562851513908104, -0.8375618481537582, 0.2808740888600035, -0.5334933821362045, 0.0589385150726383, -0.797711913192866, -0.0277018319909806]|3320.6031745089776450|      0.50000000|[54, 6, 5, 10]                                                             |  | used linear model with 12 points | iterate failure | actual_k=2
       6|[9.562851513908104, -0.8375618481537582, 0.2808740888600035, -0.5334933821362045, 0.0589385150726383, -0.797711913192866, -0.0277018319909806]|3320.6031745089776450|      0.25000000|[65, 7, 6, 12]                                                             |  | used linear model with 12 points | iterate failure | actual_k=2
       7|[9.562851513908104, -0.8375618481537582, 0.2808740888600035, -0.5334933821362045, 0.0589385150726383, -0.797711913192866, -0.0277018319909806]|3320.6031745089776450|      0.12500000|[76, 8, 7, 14]                                                             |  | used linear model with 12 points | iterate failure | actual_k=2
       8|[9.562851513908104, -0.8375618481537582, 0.2808740888600035, -0.5334933821362045, 0.0589385150726383, -0.797711913192866, -0.0277018319909806]|3320.6031745089776450|      0.06250000|[87, 9, 8, 16]                                                             |  | used linear model with 12 points | iterate failure | actual_k=2
       9|[9.562851513908104, -0.8375618481537582, 0.2808740888600035, -0.5334933821362045, 0.0589385150726383, -0.797711913192866, -0.0277018319909806]|3320.6031745089776450|      0.03125000|[98, 10, 9, 18]                                                            |  | used linear model with 12 points | iterate failure | actual_k=2
      10|[9.562851513908104, -0.8375618481537582, 0.2808740888600035, -0.5334933821362045, 0.0589385150726383, -0.797711913192866, -0.0277018319909806]|3320.6031745089776450|      0.01562500|[109, 11, 10, 20]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      11|[9.562851513908104, -0.8375618481537582, 0.2808740888600035, -0.5334933821362045, 0.0589385150726383, -0.797711913192866, -0.0277018319909806]|3320.6031745089776450|      0.00781250|[120, 12, 11, 22]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      12|[9.562851513908104, -0.8375618481537582, 0.2808740888600035, -0.5334933821362045, 0.0589385150726383, -0.797711913192866, -0.0277018319909806]|3320.6031745089776450|      0.00390625|[131, 13, 12, 24]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      13|[9.563199363550146, -0.8380404124427837, 0.2802670141664235, -0.533815319355781, 0.0583200761413381, -0.7957271784117143, -0.0308822319328283]|3005.5323608338130725|      0.00781250|[142, 14, 13, 26]                                                          |  | used linear model with 12 points | iterate success | actual_k=2
      14|[9.563199363550146, -0.8380404124427837, 0.2802670141664235, -0.533815319355781, 0.0583200761413381, -0.7957271784117143, -0.0308822319328283]|3005.5323608338130725|      0.00390625|[154, 14, 14, 28]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      15|[9.563199363550146, -0.8380404124427837, 0.2802670141664235, -0.533815319355781, 0.0583200761413381, -0.7957271784117143, -0.0308822319328283]|3005.5323608338130725|      0.00195312|[164, 16, 15, 30]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      16|[9.563199363550146, -0.8380404124427837, 0.2802670141664235, -0.533815319355781, 0.0583200761413381, -0.7957271784117143, -0.0308822319328283]|3005.5323608338130725|      0.00097656|[174, 18, 16, 32]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      17|[9.56327900213111, -0.8378799272714444, 0.2801594007161139, -0.5338349856297584, 0.0584560448727734, -0.7958577573410055, -0.0299473144215548]|2989.5972977573765093|      0.00195312|[185, 19, 17, 34]                                                          |  | used linear model with 12 points | iterate success | actual_k=2
      18|[9.56327900213111, -0.8378799272714444, 0.2801594007161139, -0.5338349856297584, 0.0584560448727734, -0.7958577573410055, -0.0299473144215548]|2989.5972977573765093|      0.00097656|[196, 20, 18, 36]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      19|[9.56327900213111, -0.8378799272714444, 0.2801594007161139, -0.5338349856297584, 0.0584560448727734, -0.7958577573410055, -0.0299473144215548]|2989.5972977573765093|      0.00048828|[206, 22, 19, 38]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      20|[9.563169006410739, -0.8379018323881371, 0.2802880569063685, -0.5336790910462479, 0.0585763974107264, -0.7958112855048504, -0.0303576067381516]|2986.0500624439673629|      0.00097656|[218, 22, 20, 40]                                                          |  | used linear model with 12 points | iterate success | actual_k=2
      21|[9.563169006410739, -0.8379018323881371, 0.2802880569063685, -0.5336790910462479, 0.0585763974107264, -0.7958112855048504, -0.0303576067381516]|2986.0500624439673629|      0.00048828|[228, 24, 21, 42]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      22|[9.563197157936775, -0.8378732844228769, 0.2801799769491566, -0.5332416895466822, 0.058634780243276, -0.7959353562786566, -0.0302351011328094]|2982.5746257987934769|      0.00097656|[239, 25, 22, 44]                                                          |  | used linear model with 12 points | iterate success | actual_k=2
      23|[9.563197157936775, -0.8378732844228769, 0.2801799769491566, -0.5332416895466822, 0.058634780243276, -0.7959353562786566, -0.0302351011328094]|2982.5746257987934769|      0.00048828|[250, 26, 23, 46]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      24|[9.563197157936775, -0.8378732844228769, 0.2801799769491566, -0.5332416895466822, 0.058634780243276, -0.7959353562786566, -0.0302351011328094]|2982.5746257987934769|      0.00024414|[262, 26, 24, 48]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      25|[9.563197157936775, -0.8378732844228769, 0.2801799769491566, -0.5332416895466822, 0.058634780243276, -0.7959353562786566, -0.0302351011328094]|2982.5746257987934769|      0.00012207|[272, 28, 25, 50]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      26|[9.563222949348305, -0.8378317616734321, 0.2801938159202151, -0.533190516302582, 0.0586449486405066, -0.7959960171697611, -0.0301581695559363]|2982.0304949642682004|      0.00024414|[282, 30, 26, 52]                                                          |  | used linear model with 12 points | iterate success | actual_k=2
      27|[9.563390952026179, -0.8378240288752618, 0.2801235747703565, -0.5331549095183284, 0.0587569923210005, -0.7960989207948866, -0.0301137247113057]|2981.7164293125056247|      0.00048828|[292, 32, 27, 54]                                                          |  | used linear model with 12 points | iterate success | actual_k=2
      28|[9.563390952026179, -0.8378240288752618, 0.2801235747703565, -0.5331549095183284, 0.0587569923210005, -0.7960989207948866, -0.0301137247113057]|2981.7164293125056247|      0.00024414|[302, 34, 28, 56]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      29|[9.563380404070518, -0.837719303291147, 0.2801710498195604, -0.5329931527168665, 0.0587294327119532, -0.796205658044141, -0.0302029122771055]|2980.3133495216752635|      0.00048828|[312, 36, 29, 58]                                                          |  | used linear model with 12 points | iterate success | actual_k=2
      30|[9.563380404070518, -0.837719303291147, 0.2801710498195604, -0.5329931527168665, 0.0587294327119532, -0.796205658044141, -0.0302029122771055]|2980.3133495216752635|      0.00024414|[322, 38, 30, 60]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      31|[9.563437604088856, -0.8376703374996185, 0.2800992157272407, -0.5327823497221849, 0.0587949420974867, -0.796205060364332, -0.0301961834037082]|2979.2655628853472081|      0.00048828|[333, 39, 31, 62]                                                          |  | used linear model with 12 points | iterate success | actual_k=2
      32|[9.56341874234574, -0.8376853233957714, 0.2803670103611631, -0.5325907827380127, 0.0587444964812336, -0.7965362854717241, -0.0303272235857756]|2978.5612461231862653|      0.00097656|[343, 41, 32, 64]                                                          |  | used linear model with 12 points | iterate success | actual_k=2
      33|[9.56341874234574, -0.8376853233957714, 0.2803670103611631, -0.5325907827380127, 0.0587444964812336, -0.7965362854717241, -0.0303272235857756]|2978.5612461231862653|      0.00048828|[354, 42, 33, 66]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      34|[9.56341874234574, -0.8376853233957714, 0.2803670103611631, -0.5325907827380127, 0.0587444964812336, -0.7965362854717241, -0.0303272235857756]|2978.5612461231862653|      0.00024414|[364, 44, 34, 68]                                                          |  | used linear model with 12 points | iterate failure | actual_k=2
      35|[9.563502276822636, -0.8377091073491002, 0.2803721904403532, -0.5325331809477483, 0.0587631664550166, -0.7965659531108468, -0.0301093074934026]|2976.6128363698835528|      0.00048828|[375, 45, 35, 70]                                                          |  | used linear model with 12 points | iterate success | actual_k=2
