k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.516346279904953, 3.1639264353078134, 0.2527473331628408, 39.96642318389884, -0.6903304400178399, -1.423926550137284, 25.559278432589178, -0.5254199974182199, 0.8542087501678856]|928.8174438476562500|      2.00000000|[28, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[10.516346279904953, 3.1639264353078134, 0.2527473331628408, 39.96642318389884, -0.6903304400178399, -1.423926550137284, 25.559278432589178, -0.5254199974182199, 0.8542087501678856]|928.8174438476562500|      1.00000000|[54, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[10.516346279904953, 3.1639264353078134, 0.2527473331628408, 39.96642318389884, -0.6903304400178399, -1.423926550137284, 25.559278432589178, -0.5254199974182199, 0.8542087501678856]|928.8174438476562500|      0.50000000|[80, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[10.679564063572624, 3.0350210965845403, 0.409863066055123, 40.058783884715865, -0.4990428493658932, -1.5020106707716718, 25.87611524341781, -0.640136990886601, 0.7227025121165881]|876.8378906250000000|      1.00000000|[107, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | iterate success | actual_k=2
       5|[10.679564063572624, 3.0350210965845403, 0.409863066055123, 40.058783884715865, -0.4990428493658932, -1.5020106707716718, 25.87611524341781, -0.640136990886601, 0.7227025121165881]|876.8378906250000000|      0.50000000|[135, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[10.679564063572624, 3.0350210965845403, 0.409863066055123, 40.058783884715865, -0.4990428493658932, -1.5020106707716718, 25.87611524341781, -0.640136990886601, 0.7227025121165881]|876.8378906250000000|      0.25000000|[162, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[10.659430394726074, 3.0249449188474746, 0.4473618113378868, 40.119880794087685, -0.486566355680795, -1.410568557384033, 25.956717599253835, -0.7916989332128627, 0.8600671096842305]|863.4139404296875000|      0.50000000|[188, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       8|[10.659430394726074, 3.0249449188474746, 0.4473618113378868, 40.119880794087685, -0.486566355680795, -1.410568557384033, 25.956717599253835, -0.7916989332128627, 0.8600671096842305]|863.4139404296875000|      0.25000000|[215, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[10.632213582713144, 3.0081942030824766, 0.5020366436555043, 40.21135673903226, -0.4829119676564564, -1.4013553141547024, 25.964999607272716, -0.7258163895832193, 1.0736417646837852]|858.7996826171875000|      0.50000000|[242, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[10.632213582713144, 3.0081942030824766, 0.5020366436555043, 40.21135673903226, -0.4829119676564564, -1.4013553141547024, 25.964999607272716, -0.7258163895832193, 1.0736417646837852]|858.7996826171875000|      0.25000000|[269, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
