k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.7, 90.0, 1500.0, 10.0]                                                       |29053.0023566288800794|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.7, 90.0, 1500.0, 10.0]                                                       |29053.0023566288800794|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[2.7, 90.0, 1500.0, 10.0]                                                       |29053.0023566288800794|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[2.7091765073511387, 90.1282962881029, 1499.934483580671, 10.20411627316352]    |27908.2736902988544898|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[2.354645238682581, 90.09889066130333, 1499.9118334109073, 10.554729818906502]  |24063.0470793797467195|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[1.8428291091259363, 89.94535881830303, 1499.550842457689, 11.319031954455756]  |21311.4868213995723636|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[1.8428291091259363, 89.94535881830303, 1499.550842457689, 11.319031954455756]  |21311.4868213995723636|      1.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[1.8428291091259363, 89.94535881830303, 1499.550842457689, 11.319031954455756]  |21311.4868213995723636|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[2.2481458442616646, 89.90869923312937, 1499.5598486822726, 11.609365051006181] |18526.7819982477158192|      1.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[2.784421134171297, 90.20129948463016, 1499.9007355946715, 12.323920870525633]  |16634.2789369295860524|      2.00000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[2.784421134171297, 90.20129948463016, 1499.9007355946715, 12.323920870525633]  |16634.2789369295860524|      1.00000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[2.784421134171297, 90.20129948463016, 1499.9007355946715, 12.323920870525633]  |16634.2789369295860524|      0.50000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[2.784421134171297, 90.20129948463016, 1499.9007355946715, 12.323920870525633]  |16634.2789369295860524|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[2.567439486055518, 90.13343173139586, 1499.880928105032, 12.42600219010013]    |15143.5943630094334367|      0.50000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[2.567439486055518, 90.13343173139586, 1499.880928105032, 12.42600219010013]    |15143.5943630094334367|      0.25000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[2.4875319484690053, 90.0657780766757, 1499.8972173150837, 12.652436352884266]  |14052.2694110585762246|      0.50000000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      16|[2.3749261862690747, 90.01907984234646, 1499.9395106684065, 13.135500002411547] |12300.7143558908865089|      1.00000000|[80, 0, 16, 32]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      17|[2.3749261862690747, 90.01907984234646, 1499.9395106684065, 13.135500002411547] |12300.7143558908865089|      0.50000000|[85, 0, 17, 34]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      18|[2.3749261862690747, 90.01907984234646, 1499.9395106684065, 13.135500002411547] |12300.7143558908865089|      0.25000000|[90, 0, 18, 36]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      19|[2.5656694254456096, 89.95382986246301, 1499.9060478768165, 13.279512843549615] |11708.4917390555638121|      0.50000000|[95, 0, 19, 38]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      20|[2.2672379477340368, 89.96361414436453, 1499.6076417890097, 13.547461957558873] |11217.6411841574390564|      1.00000000|[100, 0, 20, 40]                                                           |  | used linear model with 5 points | iterate success | actual_k=0
