k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-2000.0, 50.0, 0.8]                                                            |66022.4466591572272591|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-2000.0, 50.0, 0.8]                                                            |66022.4466591572272591|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[-2000.0, 50.0, 0.8]                                                            |66022.4466591572272591|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[-2000.118823433408, 49.92173397217559, 1.0055612331198664]                     |174.0028683889291869|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[-2000.118823433408, 49.92173397217559, 1.0055612331198664]                     |174.0028683889291869|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[-2000.118823433408, 49.92173397217559, 1.0055612331198664]                     |174.0028683889291869|      0.12500000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[-2000.118823433408, 49.92173397217559, 1.0055612331198664]                     |174.0028683889291869|      0.06250000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[-2000.118823433408, 49.92173397217559, 1.0055612331198664]                     |174.0028683889291869|      0.03125000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[-2000.118823433408, 49.92173397217559, 1.0055612331198664]                     |174.0028683889291869|      0.01562500|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[-2000.13241357739, 49.92327409980207, 0.9980063262084546]                      |  0.9247891135153579|      0.03125000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[-2000.13241357739, 49.92327409980207, 0.9980063262084546]                      |  0.9247891135153579|      0.01562500|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[-2000.13241357739, 49.92327409980207, 0.9980063262084546]                      |  0.9247891135153579|      0.00781250|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[-2000.13241357739, 49.92327409980207, 0.9980063262084546]                      |  0.9247891135153579|      0.00390625|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[-2000.13241357739, 49.92327409980207, 0.9980063262084546]                      |  0.9247891135153579|      0.00195312|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[-2000.13241357739, 49.92327409980207, 0.9980063262084546]                      |  0.9247891135153579|      0.00097656|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[-2000.13241357739, 49.92327409980207, 0.9980063262084546]                      |  0.9247891135153579|      0.00048828|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
