k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      0.50000000|[31, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[0.0821926822839773, 1.1728877124252601, 0.0084795476733997, 0.9757039922706847, 1.0435093011862748, 1.4578968418855534, 1.0322540421659423, 1.0094394288213584]| 84.0354385375976562|      1.00000000|[61, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       3|[0.0821926822839773, 1.1728877124252601, 0.0084795476733997, 0.9757039922706847, 1.0435093011862748, 1.4578968418855534, 1.0322540421659423, 1.0094394288213584]| 84.0354385375976562|      0.50000000|[91, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.0821926822839773, 1.1728877124252601, 0.0084795476733997, 0.9757039922706847, 1.0435093011862748, 1.4578968418855534, 1.0322540421659423, 1.0094394288213584]| 84.0354385375976562|      0.25000000|[121, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.1096804924893799, 1.19640933625571, 0.0372822759549664, 1.0720084147765927, 1.0512068214217345, 1.603899580908957, 1.0325622839031434, 1.1818078363639022]| 59.2906036376953125|      0.50000000|[151, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       6|[0.1096804924893799, 1.19640933625571, 0.0372822759549664, 1.0720084147765927, 1.0512068214217345, 1.603899580908957, 1.0325622839031434, 1.1818078363639022]| 59.2906036376953125|      0.25000000|[181, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.1096804924893799, 1.19640933625571, 0.0372822759549664, 1.0720084147765927, 1.0512068214217345, 1.603899580908957, 1.0325622839031434, 1.1818078363639022]| 59.2906036376953125|      0.12500000|[211, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.0285770363368594, 1.2040613996740155, 0.0362009935572169, 1.0791683465170636, 1.053395983137237, 1.697211211532881, 1.0466177276803057, 1.1869879129001415]| 55.0699119567871094|      0.25000000|[241, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       9|[0.0285770363368594, 1.2040613996740155, 0.0362009935572169, 1.0791683465170636, 1.053395983137237, 1.697211211532881, 1.0466177276803057, 1.1869879129001415]| 55.0699119567871094|      0.12500000|[271, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.0285770363368594, 1.2040613996740155, 0.0362009935572169, 1.0791683465170636, 1.053395983137237, 1.697211211532881, 1.0466177276803057, 1.1869879129001415]| 55.0699119567871094|      0.06250000|[301, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.0041977189546455, 1.1829158779569366, 0.0258293628196454, 1.0462142491538424, 1.0462568692842535, 1.7011290374866188, 1.0442607037812643, 1.1469960303533253]| 53.2826385498046875|      0.12500000|[331, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      12|[-0.0637536896747514, 1.138517115520061, -0.0050286809119674, 0.9670463387705476, 1.0274818429946417, 1.6735157155085494, 1.0190915856852236, 1.1552481448328074]| 52.4086418151855469|      0.25000000|[361, 0, 0, 24]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
