k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.25000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.12500000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[-4.005037417785594, -0.0383942399600715, 4.006770967782768, 0.0163112584896442, -1.9632131428343687, -0.0416782164922134]|  3.8783841451472827|      0.25000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[-4.005037417785594, -0.0383942399600715, 4.006770967782768, 0.0163112584896442, -1.9632131428343687, -0.0416782164922134]|  3.8783841451472827|      0.12500000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[-4.005037417785594, -0.0383942399600715, 4.006770967782768, 0.0163112584896442, -1.9632131428343687, -0.0416782164922134]|  3.8783841451472827|      0.06250000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[-4.005037417785594, -0.0383942399600715, 4.006770967782768, 0.0163112584896442, -1.9632131428343687, -0.0416782164922134]|  3.8783841451472827|      0.03125000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[-4.010752740324698, -0.0624151860509681, 4.001739523689644, 0.0321815651716423, -1.9574007600883263, -0.049156577284717]|  0.7390070293842684|      0.06250000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       9|[-4.010752740324698, -0.0624151860509681, 4.001739523689644, 0.0321815651716423, -1.9574007600883263, -0.049156577284717]|  0.7390070293842684|      0.03125000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[-4.010752740324698, -0.0624151860509681, 4.001739523689644, 0.0321815651716423, -1.9574007600883263, -0.049156577284717]|  0.7390070293842684|      0.01562500|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[-4.010752740324698, -0.0624151860509681, 4.001739523689644, 0.0321815651716423, -1.9574007600883263, -0.049156577284717]|  0.7390070293842684|      0.00781250|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[-4.012374205741701, -0.0682038947884597, 4.00365084472962, 0.0363195812922012, -1.9567592167421937, -0.0510824417418177]|  0.4923902929582875|      0.01562500|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[-4.012374205741701, -0.0682038947884597, 4.00365084472962, 0.0363195812922012, -1.9567592167421937, -0.0510824417418177]|  0.4923902929582875|      0.00781250|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[-4.015830775178063, -0.0743467608578181, 4.005907089184568, 0.0345248098706958, -1.9569812440218848, -0.0528119910549829]|  0.4197441437019853|      0.01562500|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      15|[-4.015830775178063, -0.0743467608578181, 4.005907089184568, 0.0345248098706958, -1.9569812440218848, -0.0528119910549829]|  0.4197441437019853|      0.00781250|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[-4.015830775178063, -0.0743467608578181, 4.005907089184568, 0.0345248098706958, -1.9569812440218848, -0.0528119910549829]|  0.4197441437019853|      0.00390625|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[-4.01670416140702, -0.0762409389585878, 4.007361308447369, 0.0342402689713906, -1.9581506969504772, -0.0501018734301812]|  0.4145774840676064|      0.00781250|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      18|[-4.01670416140702, -0.0762409389585878, 4.007361308447369, 0.0342402689713906, -1.9581506969504772, -0.0501018734301812]|  0.4145774840676064|      0.00390625|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      19|[-4.01670416140702, -0.0762409389585878, 4.007361308447369, 0.0342402689713906, -1.9581506969504772, -0.0501018734301812]|  0.4145774840676064|      0.00195312|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      20|[-4.0169843861296215, -0.0779764627843023, 4.007104511376994, 0.0335164455692704, -1.958365527760967, -0.0498050383060816]|  0.4110194336058257|      0.00390625|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
