k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.50000000|[76, 5, 1, 6]                                                              |  | used linear model with 81 points | iterate failure | actual_k=1
       2|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.25000000|[152, 10, 2, 12]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       3|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.12500000|[228, 15, 3, 18]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       4|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.06250000|[304, 20, 4, 24]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       5|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.03125000|[380, 25, 5, 30]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       6|[4.136469649280858, 0.0431920049442038, 0.1758528020749837, 0.023847966917375, 1.6564290951560416, 0.0229245385276278, 1.188050036021994, 0.0250264489382236, 0.2959425429910029, 0.0206176914568471, 0.3320692658334063, 0.0219126488910039, 0.0836058943508399, 0.0182424986260361, 0.2556440386207847, 0.0193777862769889, 1.3978107361282568, 0.019719415614421, 1.1783484242389317, 0.0227173177054587, 0.0880164522394222, 0.0186026494028493, 0.1294859232251913, 0.0210108031066822, 0.3035658156313728, 0.0208138059000388, 0.1069367313377517, 0.0207542634453696, 0.1211469275454287, 0.0194605214867777, 0.5424269497613906, 0.0152115260200576, 0.0068995040492139, 0.0200060846937909, 0.0933798305778394, 0.0165502596495871, 0.1109463095480315, 0.0216921873133006, 0.0372650504126331, 0.0190155593050182, 0.0975870922979501, 0.0187934850266296, 0.280724883770961, 0.0180549564831276, 0.4221990560137581, 0.0150766181643526, 0.1629323724891072, 0.0241648936063133, 0.0702011074062088, 0.0223947643614217, 0.3169924014136408, 0.016918126517337, 0.1385563110000943, 0.0182674943547516, 0.284596480517183, 0.0188028194801909, 0.0707166015338665, 0.0153388087635136, 0.1524116468704844, 0.0194778489005355, 0.1904938827279601, 0.0228098820498255, 0.1556959875521897, 0.0229697515066768, 0.3909644029966083, 0.0190732298076968]|181605.6350044349092059|      0.06250000|[456, 30, 6, 36]                                                           |  | used linear model with 81 points | iterate success | actual_k=1
       7|[4.136469649280858, 0.0431920049442038, 0.1758528020749837, 0.023847966917375, 1.6564290951560416, 0.0229245385276278, 1.188050036021994, 0.0250264489382236, 0.2959425429910029, 0.0206176914568471, 0.3320692658334063, 0.0219126488910039, 0.0836058943508399, 0.0182424986260361, 0.2556440386207847, 0.0193777862769889, 1.3978107361282568, 0.019719415614421, 1.1783484242389317, 0.0227173177054587, 0.0880164522394222, 0.0186026494028493, 0.1294859232251913, 0.0210108031066822, 0.3035658156313728, 0.0208138059000388, 0.1069367313377517, 0.0207542634453696, 0.1211469275454287, 0.0194605214867777, 0.5424269497613906, 0.0152115260200576, 0.0068995040492139, 0.0200060846937909, 0.0933798305778394, 0.0165502596495871, 0.1109463095480315, 0.0216921873133006, 0.0372650504126331, 0.0190155593050182, 0.0975870922979501, 0.0187934850266296, 0.280724883770961, 0.0180549564831276, 0.4221990560137581, 0.0150766181643526, 0.1629323724891072, 0.0241648936063133, 0.0702011074062088, 0.0223947643614217, 0.3169924014136408, 0.016918126517337, 0.1385563110000943, 0.0182674943547516, 0.284596480517183, 0.0188028194801909, 0.0707166015338665, 0.0153388087635136, 0.1524116468704844, 0.0194778489005355, 0.1904938827279601, 0.0228098820498255, 0.1556959875521897, 0.0229697515066768, 0.3909644029966083, 0.0190732298076968]|181605.6350044349092059|      0.03125000|[532, 35, 7, 42]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       8|[4.138620254387323, 0.0581623204155802, 0.1779608436498419, 0.0226398341905288, 1.6578739817785426, 0.0358189988682912, 1.1854414991243518, 0.0314905573111384, 0.2947018611144731, 0.0219475724306487, 0.3341740719664967, 0.0190460455065534, 0.0819105033812646, 0.0169398070341572, 0.250551497607217, 0.0264772854526581, 1.3962031049791237, 0.0239653173807714, 1.1740130520093308, 0.0272681508297741, 0.0874246656164081, 0.0140148407135866, 0.1289056235292708, 0.0209777563649193, 0.301184208639349, 0.0211411296622593, 0.1105959597124668, 0.0235375282635919, 0.1203463706860245, 0.023366405534887, 0.5469678452737513, 0.015920648571868, 0.0110137795033075, 0.0264426374892247, 0.0945195316110249, 0.0149034897503152, 0.1092582332309444, 0.0181072836578137, 0.0416091197909696, 0.0153665394108424, 0.0940631222785947, 0.0158320754238754, 0.2805891379796638, 0.0204320235279593, 0.4207183696135684, 0.0191371321242677, 0.1672777238870219, 0.0249111328462616, 0.0712447677437558, 0.0240573192312958, 0.3134024448885989, 0.0179064462403903, 0.1362810895307938, 0.0198894470878627, 0.283876372850846, 0.0195117001932959, 0.070806750715119, 0.0135753412365487, 0.1535722022153348, 0.0194861794413307, 0.1955144248986324, 0.0244620976542735, 0.1596543121847027, 0.0261903389660151, 0.3954142466494502, 0.0205923042493538]|152017.9403666175494436|      0.06250000|[608, 40, 8, 48]                                                           |  | used linear model with 81 points | iterate success | actual_k=1
       9|[4.138620254387323, 0.0581623204155802, 0.1779608436498419, 0.0226398341905288, 1.6578739817785426, 0.0358189988682912, 1.1854414991243518, 0.0314905573111384, 0.2947018611144731, 0.0219475724306487, 0.3341740719664967, 0.0190460455065534, 0.0819105033812646, 0.0169398070341572, 0.250551497607217, 0.0264772854526581, 1.3962031049791237, 0.0239653173807714, 1.1740130520093308, 0.0272681508297741, 0.0874246656164081, 0.0140148407135866, 0.1289056235292708, 0.0209777563649193, 0.301184208639349, 0.0211411296622593, 0.1105959597124668, 0.0235375282635919, 0.1203463706860245, 0.023366405534887, 0.5469678452737513, 0.015920648571868, 0.0110137795033075, 0.0264426374892247, 0.0945195316110249, 0.0149034897503152, 0.1092582332309444, 0.0181072836578137, 0.0416091197909696, 0.0153665394108424, 0.0940631222785947, 0.0158320754238754, 0.2805891379796638, 0.0204320235279593, 0.4207183696135684, 0.0191371321242677, 0.1672777238870219, 0.0249111328462616, 0.0712447677437558, 0.0240573192312958, 0.3134024448885989, 0.0179064462403903, 0.1362810895307938, 0.0198894470878627, 0.283876372850846, 0.0195117001932959, 0.070806750715119, 0.0135753412365487, 0.1535722022153348, 0.0194861794413307, 0.1955144248986324, 0.0244620976542735, 0.1596543121847027, 0.0261903389660151, 0.3954142466494502, 0.0205923042493538]|152017.9403666175494436|      0.03125000|[684, 45, 9, 54]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
      10|[4.137175441595002, 0.0726607052505499, 0.1778730582116612, 0.0243159221801152, 1.6556456788175056, 0.0444063062118335, 1.1857215234431775, 0.0402557158667135, 0.2935911196375965, 0.0196964284308828, 0.3326085716451807, 0.023299403407593, 0.0759714581184152, 0.0184130690212578, 0.2509846964431499, 0.0282369567693455, 1.392092879210311, 0.0326926412741375, 1.1723337290830604, 0.0342163843274945, 0.0904170726913515, 0.0151579475892589, 0.1313684161130577, 0.0173320091830584, 0.3017261589285274, 0.0263985822202305, 0.1111245012768605, 0.0215469161535053, 0.1222324157592611, 0.0257855054456904, 0.5412873750583698, 0.0179891750345411, 0.009712043966311, 0.0311703028947497, 0.0951618688940015, 0.0148038263945584, 0.1056820067605471, 0.0219711911772398, 0.0376625802016904, 0.0148193005323806, 0.093461958419225, 0.0165201960902448, 0.2818163938375917, 0.0195072996062668, 0.417014901409927, 0.0204286261336356, 0.1634323403242431, 0.0243380548166499, 0.0719695476393296, 0.0213674739370315, 0.3155235014629504, 0.016226750756041, 0.1322173256190098, 0.022246744081448, 0.2821038094450124, 0.0221400361184851, 0.0682650958974399, 0.0174878158245949, 0.1506637418014943, 0.0136310097389656, 0.1957111537607882, 0.0318257015692833, 0.1605424229766615, 0.0266677066483733, 0.3995069913689042, 0.0215227524363949]|133455.4104608966154046|      0.06250000|[760, 50, 10, 60]                                                          |  | used linear model with 81 points | iterate success | actual_k=1
      11|[4.137175441595002, 0.0726607052505499, 0.1778730582116612, 0.0243159221801152, 1.6556456788175056, 0.0444063062118335, 1.1857215234431775, 0.0402557158667135, 0.2935911196375965, 0.0196964284308828, 0.3326085716451807, 0.023299403407593, 0.0759714581184152, 0.0184130690212578, 0.2509846964431499, 0.0282369567693455, 1.392092879210311, 0.0326926412741375, 1.1723337290830604, 0.0342163843274945, 0.0904170726913515, 0.0151579475892589, 0.1313684161130577, 0.0173320091830584, 0.3017261589285274, 0.0263985822202305, 0.1111245012768605, 0.0215469161535053, 0.1222324157592611, 0.0257855054456904, 0.5412873750583698, 0.0179891750345411, 0.009712043966311, 0.0311703028947497, 0.0951618688940015, 0.0148038263945584, 0.1056820067605471, 0.0219711911772398, 0.0376625802016904, 0.0148193005323806, 0.093461958419225, 0.0165201960902448, 0.2818163938375917, 0.0195072996062668, 0.417014901409927, 0.0204286261336356, 0.1634323403242431, 0.0243380548166499, 0.0719695476393296, 0.0213674739370315, 0.3155235014629504, 0.016226750756041, 0.1322173256190098, 0.022246744081448, 0.2821038094450124, 0.0221400361184851, 0.0682650958974399, 0.0174878158245949, 0.1506637418014943, 0.0136310097389656, 0.1957111537607882, 0.0318257015692833, 0.1605424229766615, 0.0266677066483733, 0.3995069913689042, 0.0215227524363949]|133455.4104608966154046|      0.03125000|[836, 55, 11, 66]                                                          |  | used linear model with 81 points | iterate failure | actual_k=1
