k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[0.0662665000410384, -0.1683717523592939, 0.9928706655330075, 0.7255792217645478, 0.8748073830901837, 0.6447129024102477]|497.1737336250910175|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       3|[0.3642961033684566, 0.1730536516941172, 0.9575962647519866, 0.2345924360234408, 1.2357230545443847, -0.0049290143280322]|434.2822004864540304|      2.00000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       4|[0.3642961033684566, 0.1730536516941172, 0.9575962647519866, 0.2345924360234408, 1.2357230545443847, -0.0049290143280322]|434.2822004864540304|      1.00000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[1.0565739859746264, -0.0274246792837972, 1.616437810851546, 0.2254074904096735, 1.1183850991888593, -0.1855806963097598]|315.9686253554572204|      2.00000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=0
       6|[1.0565739859746264, -0.0274246792837972, 1.616437810851546, 0.2254074904096735, 1.1183850991888593, -0.1855806963097598]|315.9686253554572204|      1.00000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[0.9274871495644514, 0.1631762441279042, 1.7444287236454885, 0.2964907614837073, 1.980227975574076, 0.2419707367364462]|181.5346100358090951|      2.00000000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       8|[0.9274871495644514, 0.1631762441279042, 1.7444287236454885, 0.2964907614837073, 1.980227975574076, 0.2419707367364462]|181.5346100358090951|      1.00000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[0.9274871495644514, 0.1631762441279042, 1.7444287236454885, 0.2964907614837073, 1.980227975574076, 0.2419707367364462]|181.5346100358090951|      0.50000000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[0.9274871495644514, 0.1631762441279042, 1.7444287236454885, 0.2964907614837073, 1.980227975574076, 0.2419707367364462]|181.5346100358090951|      0.25000000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[0.9388573622778974, -0.014219235566345, 1.8467486930757762, 0.2654307888516985, 1.8419292444341573, 0.2604348903284892]|145.4969901644075776|      0.50000000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      12|[0.9388573622778974, -0.014219235566345, 1.8467486930757762, 0.2654307888516985, 1.8419292444341573, 0.2604348903284892]|145.4969901644075776|      0.25000000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[0.9388573622778974, -0.014219235566345, 1.8467486930757762, 0.2654307888516985, 1.8419292444341573, 0.2604348903284892]|145.4969901644075776|      0.12500000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[0.9548898668523339, 0.0263692801903466, 1.903419129022621, 0.2975440207103773, 1.9375627169622447, 0.2786549931587238]|142.2310429123483004|      0.25000000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      15|[0.9548898668523339, 0.0263692801903466, 1.903419129022621, 0.2975440207103773, 1.9375627169622447, 0.2786549931587238]|142.2310429123483004|      0.12500000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      16|[0.8356397057536753, 0.0210969716083767, 1.8941893351348338, 0.3271791658206357, 1.9198398706841882, 0.2886084668763632]|138.4171011159704392|      0.25000000|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      17|[0.8356397057536753, 0.0210969716083767, 1.8941893351348338, 0.3271791658206357, 1.9198398706841882, 0.2886084668763632]|138.4171011159704392|      0.12500000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
