k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0]                                                                 | 29.5000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.592196569373824, 1.2292690733037404, 1.5104387672584294]                     |  9.3349618911743164|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[0.4344856482645056, 0.6872624088509526, -0.0277205869155706]                   |  1.6656347513198853|      4.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[0.4344856482645056, 0.6872624088509526, -0.0277205869155706]                   |  1.6656347513198853|      2.00000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.4344856482645056, 0.6872624088509526, -0.0277205869155706]                   |  1.6656347513198853|      1.00000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.4344856482645056, 0.6872624088509526, -0.0277205869155706]                   |  1.6656347513198853|      0.50000000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.1136969277924886, 0.3432896017539921, -0.19735933483527]                     |  1.1669653654098511|      1.00000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[0.1136969277924886, 0.3432896017539921, -0.19735933483527]                     |  1.1669653654098511|      0.50000000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.0190712230157818, 0.0127055604199326, 0.1656284991354464]                    |  1.0283528566360474|      1.00000000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[0.0190712230157818, 0.0127055604199326, 0.1656284991354464]                    |  1.0283528566360474|      0.50000000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.0190712230157818, 0.0127055604199326, 0.1656284991354464]                    |  1.0283528566360474|      0.25000000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.0190712230157818, 0.0127055604199326, 0.1656284991354464]                    |  1.0283528566360474|      0.12500000|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[0.0118760252532563, -0.0007351002083907, 0.0415616712924151]                   |  1.0019305944442749|      0.25000000|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[0.0118760252532563, -0.0007351002083907, 0.0415616712924151]                   |  1.0019305944442749|      0.12500000|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[0.0118760252532563, -0.0007351002083907, 0.0415616712924151]                   |  1.0019305944442749|      0.06250000|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[-0.0207890230628077, -0.0156938296129058, -0.0095801025633254]                 |  1.0007951259613037|      0.12500000|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
