k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0]                                                                      |  5.9900000000000002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 2.0]                                                                      |  5.9900000000000002|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[2.149924406122616, 1.5230066326993834]                                         |  0.3338398819483996|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[2.149924406122616, 1.5230066326993834]                                         |  0.3338398819483996|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[2.149924406122616, 1.5230066326993834]                                         |  0.3338398819483996|      0.25000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[2.149924406122616, 1.5230066326993834]                                         |  0.3338398819483996|      0.12500000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[2.030210631384639, 1.4870398127400803]                                         |  0.2360305183215367|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[2.030210631384639, 1.4870398127400803]                                         |  0.2360305183215367|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[2.030210631384639, 1.4870398127400803]                                         |  0.2360305183215367|      0.06250000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[2.030210631384639, 1.4870398127400803]                                         |  0.2360305183215367|      0.03125000|[36, 9, 8, 17]                                                             |  | used linear model with 5 points | actual_k=1
      10|[1.999897156148931, 1.4946329490574468]                                         |  0.2273203759362949|      0.06250000|[39, 10, 9, 19]                                                            |  | used linear model with 5 points | iterate success | actual_k=1
      11|[1.999897156148931, 1.4946329490574468]                                         |  0.2273203759362949|      0.03125000|[43, 11, 10, 21]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
