k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 10.0, 1.0, 1.0]                                                         |3066308.1922855651937425|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[99.9466434962548, 10.174540337561067, 1.9716860916725318, 0.8499503638047881]  |2672838.0968899172730744|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[99.9466434962548, 10.174540337561067, 1.9716860916725318, 0.8499503638047881]  |2672838.0968899172730744|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[100.13774657738907, 10.854645903120648, 2.4736532487625293, 1.3489142956464133]|2641783.5679307882674038|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[100.13774657738907, 10.854645903120648, 2.4736532487625293, 1.3489142956464133]|2641783.5679307882674038|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[100.46489603755525, 10.76632867647329, 2.7314886960148947, 2.253731503888206]  |2629903.2675902778282762|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[100.46489603755525, 10.76632867647329, 2.7314886960148947, 2.253731503888206]  |2629903.2675902778282762|      1.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[100.85006137701657, 10.69849663259909, 3.3436442806949964, 1.5664819020356766] |2624282.3808392249047756|      2.00000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[100.85006137701657, 10.69849663259909, 3.3436442806949964, 1.5664819020356766] |2624282.3808392249047756|      1.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[101.63915195142856, 10.122875787745587, 3.2389585187039187, 1.753665233506832] |2615889.7517685047350824|      2.00000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[103.3233041039003, 10.01854966547151, 2.884823108792999, 0.7400895338261093]   |2603251.7368809543550014|      4.00000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[103.3233041039003, 10.01854966547151, 2.884823108792999, 0.7400895338261093]   |2603251.7368809543550014|      2.00000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[103.3233041039003, 10.01854966547151, 2.884823108792999, 0.7400895338261093]   |2603251.7368809543550014|      1.00000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[103.10025169858973, 9.890588961511876, 3.2850894731033513, 1.6196692745711416] |2601208.6922701811417937|      2.00000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[105.0468061359414, 9.642160236302042, 3.439421935254182, 1.2655640895715228]   |2582000.1850692247971892|      4.00000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[105.0468061359414, 9.642160236302042, 3.439421935254182, 1.2655640895715228]   |2582000.1850692247971892|      2.00000000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      16|[106.88863995390054, 9.463351648677941, 3.227104805413851, 0.5371431176121294]  |2565142.8678624504245818|      4.00000000|[80, 0, 16, 32]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      17|[106.88863995390054, 9.463351648677941, 3.227104805413851, 0.5371431176121294]  |2565142.8678624504245818|      2.00000000|[85, 0, 17, 34]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      18|[106.88863995390054, 9.463351648677941, 3.227104805413851, 0.5371431176121294]  |2565142.8678624504245818|      1.00000000|[90, 0, 18, 36]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      19|[106.88863995390054, 9.463351648677941, 3.227104805413851, 0.5371431176121294]  |2565142.8678624504245818|      0.50000000|[95, 0, 19, 38]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      20|[107.35377815619105, 9.46166217106425, 3.3479909493130915, 0.6750928861821177]  |2559650.2241562311537564|      1.00000000|[100, 0, 20, 40]                                                           |  | used linear model with 5 points | iterate success | actual_k=0
