k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.215698840915334, -0.5985301314836518, -0.1256240484852187, 0.7867271229761608, 0.0735047860454149, 0.2147203995444871, -0.2856003807215335]|75844.3354532446392113|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[10.215698840915334, -0.5985301314836518, -0.1256240484852187, 0.7867271229761608, 0.0735047860454149, 0.2147203995444871, -0.2856003807215335]|75844.3354532446392113|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[10.215698840915334, -0.5985301314836518, -0.1256240484852187, 0.7867271229761608, 0.0735047860454149, 0.2147203995444871, -0.2856003807215335]|75844.3354532446392113|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[10.215698840915334, -0.5985301314836518, -0.1256240484852187, 0.7867271229761608, 0.0735047860454149, 0.2147203995444871, -0.2856003807215335]|75844.3354532446392113|      0.25000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[10.201893169533909, -0.5953075428382103, -0.1620051804358176, 0.6992876450126764, 0.0165154646618281, 0.2055561350628158, -0.5092027125437778]|65176.6692899683694122|      0.50000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       6|[10.230512516630641, -0.5886495274942765, -0.1308716315198303, 0.4639376025232389, 0.0804283745763056, 0.2583964577387541, -0.9403647513195947]|58877.3861431512195850|      1.00000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       7|[9.927783306815455, -0.44908130647084, -0.249375113620384, -0.256608497320695, -0.057813362549861, 0.4195161587658251, -1.4976578914102041]|54361.5149823988685966|      2.00000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[9.523146350253983, -0.8073701781123441, -0.5406230410975723, -1.6969701211599142, -0.3267209193502163, 0.4767591321548826, -0.2840504495051781]|23802.8351991950730735|      4.00000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       9|[9.523146350253983, -0.8073701781123441, -0.5406230410975723, -1.6969701211599142, -0.3267209193502163, 0.4767591321548826, -0.2840504495051781]|23802.8351991950730735|      2.00000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[9.523146350253983, -0.8073701781123441, -0.5406230410975723, -1.6969701211599142, -0.3267209193502163, 0.4767591321548826, -0.2840504495051781]|23802.8351991950730735|      1.00000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[9.523146350253983, -0.8073701781123441, -0.5406230410975723, -1.6969701211599142, -0.3267209193502163, 0.4767591321548826, -0.2840504495051781]|23802.8351991950730735|      0.50000000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[9.523146350253983, -0.8073701781123441, -0.5406230410975723, -1.6969701211599142, -0.3267209193502163, 0.4767591321548826, -0.2840504495051781]|23802.8351991950730735|      0.25000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[9.570614497013208, -0.9341335866895231, -0.524956801488327, -1.7123064442237894, -0.1699949176534149, 0.4107397231038494, -0.1624956164411964]|11470.1358070504775242|      0.50000000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      14|[9.570614497013208, -0.9341335866895231, -0.524956801488327, -1.7123064442237894, -0.1699949176534149, 0.4107397231038494, -0.1624956164411964]|11470.1358070504775242|      0.25000000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[9.570614497013208, -0.9341335866895231, -0.524956801488327, -1.7123064442237894, -0.1699949176534149, 0.4107397231038494, -0.1624956164411964]|11470.1358070504775242|      0.12500000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[9.491187027645356, -0.9755709329298137, -0.5269968086003822, -1.7815150249170262, -0.1452609394730951, 0.3675175962618802, -0.1444592018744435]|9450.6426696185517358|      0.25000000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      17|[9.491187027645356, -0.9755709329298137, -0.5269968086003822, -1.7815150249170262, -0.1452609394730951, 0.3675175962618802, -0.1444592018744435]|9450.6426696185517358|      0.12500000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[9.491187027645356, -0.9755709329298137, -0.5269968086003822, -1.7815150249170262, -0.1452609394730951, 0.3675175962618802, -0.1444592018744435]|9450.6426696185517358|      0.06250000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[9.491187027645356, -0.9755709329298137, -0.5269968086003822, -1.7815150249170262, -0.1452609394730951, 0.3675175962618802, -0.1444592018744435]|9450.6426696185517358|      0.03125000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[9.491187027645356, -0.9755709329298137, -0.5269968086003822, -1.7815150249170262, -0.1452609394730951, 0.3675175962618802, -0.1444592018744435]|9450.6426696185517358|      0.01562500|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[9.49113591001378, -0.976198787130916, -0.526910345103008, -1.7834912747925082, -0.1456870136864262, 0.3674124906667132, -0.1289789504177721]|9130.4528679162795015|      0.03125000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      22|[9.49113591001378, -0.976198787130916, -0.526910345103008, -1.7834912747925082, -0.1456870136864262, 0.3674124906667132, -0.1289789504177721]|9130.4528679162795015|      0.01562500|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
