k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.40294001821794, 3.0923670301368715, 0.2059764058369231, 40.20626454419436, -0.5257350590829166, -1.0337027893999164, 25.164671633068917, -0.3918693240838931, 0.7924198980131211]|1004.5651245117187500|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[10.40294001821794, 3.0923670301368715, 0.2059764058369231, 40.20626454419436, -0.5257350590829166, -1.0337027893999164, 25.164671633068917, -0.3918693240838931, 0.7924198980131211]|1004.5651245117187500|      1.00000000|[21, 0, 0, 5]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[10.40294001821794, 3.0923670301368715, 0.2059764058369231, 40.20626454419436, -0.5257350590829166, -1.0337027893999164, 25.164671633068917, -0.3918693240838931, 0.7924198980131211]|1004.5651245117187500|      0.50000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[10.432551406593578, 3.191566168040175, 0.3181453221721187, 40.03120884217476, -0.6707937468590082, -1.0009395047111507, 25.387318564103182, -0.7328134797486365, 0.7022738874941791]|947.1135864257812500|      1.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[10.432551406593578, 3.191566168040175, 0.3181453221721187, 40.03120884217476, -0.6707937468590082, -1.0009395047111507, 25.387318564103182, -0.7328134797486365, 0.7022738874941791]|947.1135864257812500|      0.50000000|[53, 0, 0, 13]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[10.548351963148205, 3.3096159095428335, 0.1957793232169138, 40.32329752688528, -0.6347377568871673, -1.0464001456113028, 25.676475228480708, -0.9052114770328088, 0.7775460728692496]|900.7837524414062500|      1.00000000|[61, 0, 0, 15]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[10.548351963148205, 3.3096159095428335, 0.1957793232169138, 40.32329752688528, -0.6347377568871673, -1.0464001456113028, 25.676475228480708, -0.9052114770328088, 0.7775460728692496]|900.7837524414062500|      0.50000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[10.548351963148205, 3.3096159095428335, 0.1957793232169138, 40.32329752688528, -0.6347377568871673, -1.0464001456113028, 25.676475228480708, -0.9052114770328088, 0.7775460728692496]|900.7837524414062500|      0.25000000|[85, 0, 0, 21]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[10.468801906338074, 3.171488585728079, 0.1296397711624938, 40.31869401196193, -0.7453130883197929, -1.1350824788143776, 25.76790743091188, -0.8946615589635641, 0.841845292345161]|895.5697021484375000|      0.50000000|[93, 0, 0, 23]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[10.541628287286711, 3.25657399306598, 0.2187527103490678, 40.39827584833728, -0.5986447679457261, -1.5731910757623264, 25.83671022610427, -0.9587008075068385, 0.8717922151153197]|877.8850097656250000|      1.00000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | iterate success | actual_k=0
      11|[10.541628287286711, 3.25657399306598, 0.2187527103490678, 40.39827584833728, -0.5986447679457261, -1.5731910757623264, 25.83671022610427, -0.9587008075068385, 0.8717922151153197]|877.8850097656250000|      0.50000000|[117, 0, 0, 29]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[10.541628287286711, 3.25657399306598, 0.2187527103490678, 40.39827584833728, -0.5986447679457261, -1.5731910757623264, 25.83671022610427, -0.9587008075068385, 0.8717922151153197]|877.8850097656250000|      0.25000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[10.599749773139429, 3.2987945336793074, 0.2885376205188305, 40.541634038535, -0.5655140900179473, -1.465379459155859, 25.789944011744637, -0.9916349763137662, 0.9979868650519701]|875.8758544921875000|      0.50000000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[10.791295238100043, 3.0922766379177125, 0.3854302647118118, 40.49677501633457, -0.7051095865097023, -1.3995831581637788, 25.8422093221398, -0.6328579398095568, 0.9348085716809633]|871.8903808593750000|      1.00000000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[10.791295238100043, 3.0922766379177125, 0.3854302647118118, 40.49677501633457, -0.7051095865097023, -1.3995831581637788, 25.8422093221398, -0.6328579398095568, 0.9348085716809633]|871.8903808593750000|      0.50000000|[157, 0, 0, 39]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[10.858258324670508, 2.9457041968785185, 0.3783545942845522, 40.43324293646789, -0.5162371070194445, -1.3003641995006385, 26.18887704933074, -0.4008129592125913, 0.954944929783076]|866.6908569335937500|      1.00000000|[165, 0, 0, 41]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      17|[10.858258324670508, 2.9457041968785185, 0.3783545942845522, 40.43324293646789, -0.5162371070194445, -1.3003641995006385, 26.18887704933074, -0.4008129592125913, 0.954944929783076]|866.6908569335937500|      0.50000000|[177, 0, 0, 44]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      18|[10.865134317774762, 2.889685839825212, 0.5548633539163561, 40.43768622950868, -0.5583428793418985, -1.5631889327947142, 26.374731049903815, -0.6452182581983976, 1.1796985351306735]|861.3609619140625000|      1.00000000|[189, 0, 0, 47]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | iterate success | actual_k=0
      19|[10.865134317774762, 2.889685839825212, 0.5548633539163561, 40.43768622950868, -0.5583428793418985, -1.5631889327947142, 26.374731049903815, -0.6452182581983976, 1.1796985351306735]|861.3609619140625000|      0.50000000|[201, 0, 0, 50]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      20|[10.865134317774762, 2.889685839825212, 0.5548633539163561, 40.43768622950868, -0.5583428793418985, -1.5631889327947142, 26.374731049903815, -0.6452182581983976, 1.1796985351306735]|861.3609619140625000|      0.25000000|[213, 0, 0, 53]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      21|[10.865134317774762, 2.889685839825212, 0.5548633539163561, 40.43768622950868, -0.5583428793418985, -1.5631889327947142, 26.374731049903815, -0.6452182581983976, 1.1796985351306735]|861.3609619140625000|      0.12500000|[225, 0, 0, 56]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      22|[10.799583438354807, 2.864705649324887, 0.5954736151439939, 40.36785654563516, -0.5172688701785224, -1.522292527012541, 26.35225792831659, -0.6343682541877042, 1.1937106801280244]|856.7038574218750000|      0.25000000|[233, 0, 0, 58]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      23|[10.643319187116328, 2.953270936273786, 0.601754546715, 40.305200153456866, -0.4761529518312568, -1.4624810401334305, 26.307250240931246, -0.7324775525592743, 1.2904233530068603]|851.4426879882812500|      0.50000000|[241, 0, 0, 60]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
