k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.50000000|[165, 24, 0, 3]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       2|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.25000000|[328, 48, 0, 6]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       3|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.12500000|[492, 72, 0, 9]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       4|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.06250000|[654, 96, 0, 12]                                                           |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 110 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       5|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.03125000|[817, 120, 0, 15]                                                          |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       6|[1.0237818323127685, 0.02123462537166, 0.0164878261466661, 0.0220053632496111, 0.4255277638343639, 0.0227085640408062, 0.8055488303990171, 0.0173181602166444, 0.2180253783185896, 0.0252098885435379, 2.6871590309193207, 0.0247015597954443, 0.8081751592811948, 0.0195187560170548, 2.2677616208261684, 0.0163428642302407, 14.352880503496763, 0.0351243769402368, 12.169351389547124, 0.028717204110189, 0.2782510331545573, 0.0221187064371689, 0.2426707728305696, 0.0252938661342448, 1.1661936645701387, 0.0222721186327465, 0.181846900927206, 0.0192861836028617, 0.1222910201566314, 0.0209209579993298, 3.7486722173236413, 0.0244241554248618, 0.8361783820382288, 0.0189932892632759, 0.1626603748061126, 0.0216479922441811, 0.3838385574281731, 0.0164823550396047, 0.9209206695658007, 0.0195288054104089, 0.2605757379149626, 0.0209224491847437, 2.0715830425400816, 0.0223002407064597, 1.94168069871878, 0.0261642975292305, 1.483534238285, 0.0251414940842563, 0.4851983680959528, 0.0217350811164193, 0.4875235645544527, 0.0208482113556172, 0.3292693283405233, 0.0204541344309936, 0.8381102539924865, 0.0202813492334895, 0.4655444923440549, 0.0161234605664418, 0.487355860868282, 0.015865729175668, 0.9874388711265804, 0.0236146083271067, -0.0190981968847877, 0.0206080775255699, 0.2680116081691474, 0.025383111135361]|2506413.2500000000000000|      0.06250000|[926, 136, 0, 17]                                                          |  | trying linear partial model with 57 points | iterate success | actual_k=8
       7|[1.0237818323127685, 0.02123462537166, 0.0164878261466661, 0.0220053632496111, 0.4255277638343639, 0.0227085640408062, 0.8055488303990171, 0.0173181602166444, 0.2180253783185896, 0.0252098885435379, 2.6871590309193207, 0.0247015597954443, 0.8081751592811948, 0.0195187560170548, 2.2677616208261684, 0.0163428642302407, 14.352880503496763, 0.0351243769402368, 12.169351389547124, 0.028717204110189, 0.2782510331545573, 0.0221187064371689, 0.2426707728305696, 0.0252938661342448, 1.1661936645701387, 0.0222721186327465, 0.181846900927206, 0.0192861836028617, 0.1222910201566314, 0.0209209579993298, 3.7486722173236413, 0.0244241554248618, 0.8361783820382288, 0.0189932892632759, 0.1626603748061126, 0.0216479922441811, 0.3838385574281731, 0.0164823550396047, 0.9209206695658007, 0.0195288054104089, 0.2605757379149626, 0.0209224491847437, 2.0715830425400816, 0.0223002407064597, 1.94168069871878, 0.0261642975292305, 1.483534238285, 0.0251414940842563, 0.4851983680959528, 0.0217350811164193, 0.4875235645544527, 0.0208482113556172, 0.3292693283405233, 0.0204541344309936, 0.8381102539924865, 0.0202813492334895, 0.4655444923440549, 0.0161234605664418, 0.487355860868282, 0.015865729175668, 0.9874388711265804, 0.0236146083271067, -0.0190981968847877, 0.0206080775255699, 0.2680116081691474, 0.025383111135361]|2506413.2500000000000000|      0.03125000|[1090, 160, 0, 20]                                                         |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       8|[1.0171641823373754, 0.0166195749802135, 0.0154638331025995, 0.0237108762773869, 0.422082980897128, 0.0209709927431317, 0.8133166238757699, 0.0151678007374178, 0.217508569641518, 0.0213272621132167, 2.6835831208691183, 0.0217440867737877, 0.8071411469877665, 0.0171021353500334, 2.266568138843943, 0.0139517505766847, 14.351445323632218, 0.0446626316572083, 12.16853267705199, 0.0470513411456557, 0.2797740372029849, 0.0185748793569484, 0.2409876151621567, 0.0268264167212151, 1.1662671512998684, 0.0214706690212935, 0.1869972011245437, 0.0151756148124949, 0.1189646671973487, 0.0227449078449526, 3.7477730191471244, 0.023110188923711, 0.8425185116794255, 0.0169817028903759, 0.1644709176246521, 0.0225290317953208, 0.3803020836516919, 0.0186797148471411, 0.9235161690882147, 0.0159043792310577, 0.2592707926922677, 0.017719136237259, 2.0656689535302464, 0.0229353006940415, 1.9392693750141206, 0.025452802990673, 1.4824259297368445, 0.0211052757210788, 0.4873705775185669, 0.0209840904305298, 0.4849866351546069, 0.0203555589910749, 0.3283040604583123, 0.018280947871218, 0.8379892596701446, 0.0149984185733531, 0.4624476102302432, 0.0200978429919168, 0.4918854458443135, 0.0182377512211515, 0.9869675869115278, 0.0243944875445462, -0.0163831824071712, 0.0225546771020414, 0.2682814969092202, 0.0254786989394229]|2084809.7500000000000000|      0.06250000|[1199, 176, 0, 22]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
       9|[1.0171641823373754, 0.0166195749802135, 0.0154638331025995, 0.0237108762773869, 0.422082980897128, 0.0209709927431317, 0.8133166238757699, 0.0151678007374178, 0.217508569641518, 0.0213272621132167, 2.6835831208691183, 0.0217440867737877, 0.8071411469877665, 0.0171021353500334, 2.266568138843943, 0.0139517505766847, 14.351445323632218, 0.0446626316572083, 12.16853267705199, 0.0470513411456557, 0.2797740372029849, 0.0185748793569484, 0.2409876151621567, 0.0268264167212151, 1.1662671512998684, 0.0214706690212935, 0.1869972011245437, 0.0151756148124949, 0.1189646671973487, 0.0227449078449526, 3.7477730191471244, 0.023110188923711, 0.8425185116794255, 0.0169817028903759, 0.1644709176246521, 0.0225290317953208, 0.3803020836516919, 0.0186797148471411, 0.9235161690882147, 0.0159043792310577, 0.2592707926922677, 0.017719136237259, 2.0656689535302464, 0.0229353006940415, 1.9392693750141206, 0.025452802990673, 1.4824259297368445, 0.0211052757210788, 0.4873705775185669, 0.0209840904305298, 0.4849866351546069, 0.0203555589910749, 0.3283040604583123, 0.018280947871218, 0.8379892596701446, 0.0149984185733531, 0.4624476102302432, 0.0200978429919168, 0.4918854458443135, 0.0182377512211515, 0.9869675869115278, 0.0243944875445462, -0.0163831824071712, 0.0225546771020414, 0.2682814969092202, 0.0254786989394229]|2084809.7500000000000000|      0.03125000|[1362, 200, 0, 25]                                                         |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      10|[1.0147617745576807, 0.014381358343849, 0.0158549875754932, 0.029178043490136, 0.4193231827307194, 0.0191315286900722, 0.8134732422030188, 0.018090187092237, 0.2148638003657804, 0.023624455725951, 2.684364675448203, 0.0258232277493689, 0.8059387062958083, 0.0151914902503446, 2.2718231506092184, 0.0255064925616338, 14.348539559854423, 0.0571841787315793, 12.172951753134589, 0.0547139410032558, 0.2845950720508169, 0.0202608105544369, 0.2446038721993673, 0.0245543508893153, 1.166298134267426, 0.0290010502455577, 0.187171997717659, 0.0149694906496346, 0.121448093834008, 0.0264185421092461, 3.74784548572028, 0.0342244923947193, 0.8439928121174815, 0.019315583929385, 0.1631540521190016, 0.0243329522798551, 0.3831693638032596, 0.0172407263553626, 0.9233786700683659, 0.0182178500224971, 0.2555567640536105, 0.0183883371249885, 2.0656496772394792, 0.0216052037110099, 1.9420299803431722, 0.0256325878310565, 1.4808668362186814, 0.0254036087291591, 0.4877332576727584, 0.0255458695278707, 0.4834253211463007, 0.0142246990958655, 0.3286824407122181, 0.0210780289331623, 0.8390872939010525, 0.016999893216867, 0.4642332626757892, 0.0161417967591907, 0.4947277185322023, 0.0159275381421652, 0.9865768096438886, 0.0269768954858006, -0.0149908856048419, 0.0161980927374719, 0.2668673961284158, 0.0239812927801933]|1849040.7500000000000000|      0.06250000|[1471, 216, 0, 27]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
