k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.035310847965675, 149.93309430341694, -100.09439772597152, 1.1698300105848918, 2.1647583216355697]|84607.5847530218452448|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[49.035310847965675, 149.93309430341694, -100.09439772597152, 1.1698300105848918, 2.1647583216355697]|84607.5847530218452448|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[48.107527980552526, 149.63875133672298, -100.238692179137, 1.2671193002497922, 2.015442971471532]|81494.4583662168006413|      2.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[46.18475223306661, 149.59543236976072, -100.24002511633762, 1.8145746912756995, 2.052154142746603]|75393.0418275653501041|      4.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[46.18475223306661, 149.59543236976072, -100.24002511633762, 1.8145746912756995, 2.052154142746603]|75393.0418275653501041|      2.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[44.19300736830181, 149.52486424387675, -100.40090165406107, 1.8511972958039775, 2.0247669607092376]|69296.1895218587451382|      4.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[44.19300736830181, 149.52486424387675, -100.40090165406107, 1.8511972958039775, 2.0247669607092376]|69296.1895218587451382|      2.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[42.40390793976584, 149.2195867684919, -99.69396944072234, 2.1218404913105147, 1.6601740311221005]|64155.2032871957708267|      4.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       9|[42.40390793976584, 149.2195867684919, -99.69396944072234, 2.1218404913105147, 1.6601740311221005]|64155.2032871957708267|      2.00000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[40.41772994573929, 149.07871053852392, -99.7105644164536, 1.96220984186904, 1.5627393021284974]|58584.6743423964871909|      4.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      11|[40.41772994573929, 149.07871053852392, -99.7105644164536, 1.96220984186904, 1.5627393021284974]|58584.6743423964871909|      2.00000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[39.21843727346166, 149.6886811584802, -100.21116869911828, 3.1154468837065354, 0.7823082632000008]|55380.5901070895051816|      4.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[39.21843727346166, 149.6886811584802, -100.21116869911828, 3.1154468837065354, 0.7823082632000008]|55380.5901070895051816|      2.00000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[39.21843727346166, 149.6886811584802, -100.21116869911828, 3.1154468837065354, 0.7823082632000008]|55380.5901070895051816|      1.00000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[38.25434484338843, 149.50254250173793, -100.10224704350205, 3.1536690393020925, 0.6321306133943776]|52836.7560493675337057|      2.00000000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      16|[38.25434484338843, 149.50254250173793, -100.10224704350205, 3.1536690393020925, 0.6321306133943776]|52836.7560493675337057|      1.00000000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[37.744228796905105, 149.44072522313334, -100.14147396444356, 3.8841455437381542, 1.0802662717908775]|51524.0994470071382239|      2.00000000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
